Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/16/2022,10/17/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-7.29,
10/14/2022,10/17/2022,THE 13TH STEP,Food & Drink,Sale,-35.49,
10/15/2022,10/16/2022,DISCORD* NITROCLASSICM,Professional Services,Sale,-4.99,
10/13/2022,10/14/2022,BJS WHOLESALE #0027,Shopping,Sale,-106.57,
10/13/2022,10/14/2022,SP HEART AND SOIL,Personal,Sale,-52.83,
10/12/2022,10/13/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-17.98,
10/10/2022,10/12/2022,SUNOCO 0327962700,Gas,Sale,-44.51,
10/10/2022,10/11/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-67.72,
10/10/2022,10/11/2022,MANSCAPED,Shopping,Sale,-15.98,
10/10/2022,10/11/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-39.30,
10/11/2022,10/11/2022,Peacock C3CC1 PremPlus,Bills & Utilities,Sale,-5.00,
10/08/2022,10/10/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-0.50,
10/08/2022,10/10/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-4.50,
10/08/2022,10/10/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-2.50,
10/08/2022,10/10/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-4.65,
10/08/2022,10/10/2022,SHOPRITE LQRS HOBOKEN,Food & Drink,Sale,-11.72,
10/08/2022,10/09/2022,HP *INSTANT INK,Shopping,Sale,-1.06,
10/07/2022,10/09/2022,LEES LIQUORS,Food & Drink,Sale,-23.31,
10/07/2022,10/09/2022,STAY GOLD CAFE LOUNGE,Food & Drink,Sale,-5.50,
10/08/2022,10/09/2022,TST* Friedmans - Herald,Food & Drink,Sale,-63.15,
10/09/2022,10/09/2022,WILLOW GROCERY LIQUOR,Food & Drink,Sale,-20.86,
10/07/2022,10/09/2022,NOURISHED BY NATURE,Groceries,Sale,-10.48,
