player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Charles Campbell,82592,K,INDIANA,3,3,3,66.3,3.8,26.0,26.0,0,0,190,69.1,199,1,0,0,33.3,26,11.4,2
Chance Poore,82594,K,KENTUCKY,3,20,19,67.2,3.81,24.3,19.2,0,0,202,76.9,1344,6,0,0,30.0,115,72.45,14
Jake Moody,82603,K,MICHIGAN,3,22,19,67.8,4.04,25.0,23.0,0,5,222,84.2,1492,1,0,0,4.5,23,76.78,16
Ethan Mooney,82615,K,N TEXAS,4,24,24,71.2,3.87,26.4,34.7,0,0,251,85.1,1708,3,0,0,12.5,104,92.88,21
Alex Stadthaus,82628,K,USC,3,26,26,66.6,3.89,25.5,25.4,0,1,326,83.1,1731,11,0,0,42.3,279,101.01,14
Dario Longhetto,82633,K,CAL,3,13,12,66.8,3.65,26.8,18.5,0,1,130,75.0,868,4,0,0,30.8,74,43.77,8
Thomas Leo,82634,P,LA LAFAYET,3,17,16,61.8,3.79,25.2,19.2,0,1,207,65.0,1051,10,0,0,58.8,192,60.71,4
Gavin Baechle,82643,K,UTEP,4,15,15,71.8,3.63,24.2,21.7,0,0,330,82.5,1077,3,0,0,20.0,65,54.42,12
Jonathan Cruz,84523,K,OLE MISS,3,18,18,68.7,3.8,24.9,10.0,0,3,226,77.1,1236,1,0,0,5.6,10,68.4,13
Trey Finison,97149,K,LSU,1,1,1,64.0,4.0,21.0,20.0,0,0,211,60.1,64,1,0,0,100.0,20,4.0,0
Michael Hayes,97151,P,GA STATE,3,16,15,68.4,3.91,24.4,14.0,0,0,175,75.6,1095,4,0,0,25.0,56,58.59,11
Luke Pawlak,97267,K,TOLEDO,1,1,1,60.0,3.55,25.0,,0,1,316,60.0,60,0,0,0,0.0,0,3.55,0
Alex Raynor,97397,K,GA SOUTHRN,1,1,1,38.0,3.44,27.0,,0,1,174,60.0,38,0,0,0,0.0,0,3.44,0
Everett Hayes,97578,K,OREGON ST,1,5,5,63.6,3.82,19.6,17.8,0,1,265,66.4,318,4,0,0,80.0,71,19.09,0
Henry Beckett,97587,K,MIAMI OH,1,6,6,64.7,3.76,25.8,20.7,0,2,221,68.5,388,3,0,0,50.0,62,22.54,1
Ivan Mora,97589,P,WAKE,3,23,23,62.6,3.81,26.5,20.1,1,3,339,65.1,1439,12,0,1,52.2,241,87.53,8
Charlie Ham,97766,K,DUKE,3,20,20,68.8,3.94,23.7,13.0,0,1,154,83.3,1376,2,0,0,10.0,26,78.76,17
Jack Martin,97822,P,ALABAMA,1,3,3,55.3,3.82,29.0,15.5,0,0,103,61.3,166,2,0,0,66.7,31,11.46,1
Cory Munson,98204,K,W KENTUCKY,3,22,20,63.6,4.08,25.4,17.2,0,0,346,61.2,1400,10,0,0,45.5,172,81.69,10
Tristian Vandenberg,98352,K,OHIO,3,15,13,63.9,4.0,25.3,20.2,0,4,259,72.8,958,5,0,0,33.3,101,52.02,6
Toby Wilson,98962,K,TENNESSEE,2,5,4,64.4,3.68,30.4,29.3,0,1,307,69.9,322,3,0,0,60.0,88,14.7,1
Caden Davis,98964,K,TEXAS A&M,3,13,12,70.0,4.05,25.6,19.0,0,0,312,72.8,910,1,0,0,7.7,19,48.63,11
Will Reichard,98965,K,ALABAMA,3,22,22,68.4,3.61,23.9,22.0,0,5,103,84.2,1504,3,0,0,13.6,66,79.31,14
Noah Rauschenberg,99361,K,BAYLOR,3,21,20,70.3,3.91,22.4,16.8,0,2,118,83.8,1477,4,0,0,19.0,67,78.2,15
Ben Freehill,99464,K,PURDUE,1,5,5,63.4,3.89,26.0,21.7,0,1,273,59.5,317,3,0,0,60.0,65,19.43,0
Ty Zentner,99465,P,KANSAS ST,3,16,16,64.7,4.08,25.3,21.8,0,1,199,68.2,1035,4,0,0,25.0,87,65.23,11
Ryan Fitzgerald,99867,K,FLORIDA ST,3,19,19,64.9,3.89,22.1,14.8,0,1,167,67.8,1233,8,0,0,42.1,118,73.91,8
Collin Smith,99868,K,NC STATE,3,20,18,66.8,3.78,22.9,17.8,0,0,248,76.9,1336,9,0,0,45.0,160,68.05,11
Jonathan Kim,99875,K,N CAROLINA,3,26,22,70.0,3.96,26.0,26.5,0,0,245,77.0,1820,4,0,0,15.4,106,87.03,22
Thomas Cluckey,100361,K,TOLEDO,3,21,20,62.9,3.71,26.1,18.0,0,5,316,57.3,1320,8,0,0,38.1,144,74.17,6
Tim Horn,100474,K,RICE,3,18,18,68.0,4.0,24.1,18.0,0,1,275,77.1,1224,5,0,0,27.8,90,72.03,12
Jadon Redding,100475,K,UTAH,2,11,9,63.4,3.69,24.2,18.2,0,0,328,70.6,697,6,0,0,54.5,109,33.24,5
Camden Lewis,100476,K,OREGON,1,10,10,67.5,3.58,27.3,25.8,0,0,264,76.7,675,4,0,0,40.0,103,35.81,6
Henry Katleman,100477,K,COLO STATE,3,8,7,67.3,3.76,25.4,24.0,0,1,144,74.5,538,1,0,0,12.5,24,26.34,6
Andrew Boyle,100482,K,OREGON,2,9,6,67.0,3.84,26.8,28.0,0,0,264,70.4,603,3,0,0,33.3,84,23.02,6
Scott Payne,100726,K,MIDDLE TN,3,17,16,62.9,3.57,26.6,20.8,0,1,224,67.4,1069,12,0,0,70.6,250,57.07,4
Andrew Stein,100731,K,SO MISS,1,1,1,48.0,3.31,36.0,19.0,0,0,296,59.8,48,1,0,0,100.0,19,3.31,0
Mark Ramos,100736,K,UTEP,1,1,0,9.0,,80.0,,0,0,330,60.0,9,0,1,0,0.0,0,0.0,0
Alex Bales,100970,K,OREGON,1,1,1,52.0,4.03,27.0,14.0,0,0,264,60.0,52,1,0,0,100.0,14,4.03,0
Kyle Ramsey,100971,K,HOUSTON,1,2,2,64.5,3.82,30.0,,0,0,182,54.6,129,0,0,0,0.0,0,7.63,1
Daniel Davies,100972,P,NAVY,1,3,3,61.0,3.55,25.0,24.3,0,0,237,57.3,183,3,0,0,100.0,73,10.65,0
Spencer Shrader,100974,K,USF,3,18,18,72.6,3.4,24.2,19.0,0,1,327,84.1,1306,1,0,0,5.6,19,61.14,16
Michael Lantz,101472,K,GA SOUTHRN,3,21,20,62.7,3.83,23.7,19.9,0,4,174,65.1,1317,12,0,0,57.1,239,76.62,4
Chris Van Eekeren,101478,K,PURDUE,3,14,13,67.6,3.82,26.4,16.5,0,2,273,67.8,946,2,0,0,14.3,33,49.72,9
Justin Ritter,102043,K,JAMES MAD,2,7,6,59.1,3.61,23.0,14.0,0,5,197,58.2,414,1,0,0,14.3,14,21.63,1
Ryker Casey,102736,K,UCF,3,20,20,67.4,3.94,23.4,13.5,0,5,323,83.3,1348,2,0,0,10.0,27,78.81,13
Ethan Albertson,102737,K,NEW MEX ST,4,8,7,69.6,3.86,27.5,30.3,0,0,242,71.7,557,4,0,0,50.0,121,26.99,4
Tristan Mattson,102741,K,ARK STATE,3,19,19,66.3,3.92,24.3,21.2,0,0,113,72.8,1260,6,0,0,31.6,127,74.51,13
Cole Talley,102744,K,ARMY,3,13,10,62.6,3.59,21.5,13.0,0,2,114,68.6,814,6,0,0,46.2,78,35.89,5
Jake Oldroyd,102747,K,BYU,3,18,17,58.4,3.88,31.6,24.8,0,2,128,61.2,1051,13,0,0,72.2,323,65.92,3
Ben Raybon,103742,K,MISS STATE,3,20,17,66.7,3.74,25.6,19.3,0,1,227,70.4,1334,7,0,0,35.0,135,63.66,12
Jason Stricker,104148,P,LIBERTY,3,15,12,61.7,3.87,28.5,17.8,0,1,206,68.9,926,6,1,0,40.0,107,46.42,7
Ryan Coe,105283,K,CINCINNATI,3,22,22,67.3,4.03,24.2,18.0,0,8,138,72.1,1481,1,0,0,4.5,18,88.67,13
Colton Theaker,105291,K,WASH STATE,3,16,16,68.3,3.79,25.1,19.0,0,1,341,66.3,1092,1,0,0,6.3,19,60.67,12
Reese Burkhardt,121483,K,UAB,3,18,16,68.8,3.84,24.9,23.2,0,0,321,80.6,1239,5,0,0,27.8,116,61.4,13
