player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Will Taylor,144141,WR,CLEMSON,3,3,0,140,3.0,0,100.0,,0,0,0.0,0,1,0,66.7,70.6,0,3,0.0,0,3,1,66.7,2,118.8,1,33.3,1,3,0,0.0,3.0,1.5,0,8.0,0,100.0,,0,0,0.0,0,1,0,70.7,64.5,0,20,0.0,0,9,2,100.0,9,104.2,2,66.7,0,18,2,1.0,9.0,2.0
Ezechiel Tieide,76718,WR,TOLEDO,2,3,0,316,5.0,0,0.0,,0,0,,0,0,0,,58.5,0,0,0.0,0,2,0,100.0,2,39.6,1,33.3,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Josiah Johnson,75883,TE,UMASS,3,3,0,216,1.0,0,100.0,100.0,1,1,0.0,0,0,0,66.7,54.8,0,1,0.0,0,6,1,100.0,6,79.2,1,33.3,0,1,0,0.0,1.0,0.17,0,-1.0,0,100.0,,0,0,0.0,0,0,1,66.7,33.1,0,1,27.3,9,33,1,72.7,24,79.2,1,33.3,0,1,2,2.0,1.0,0.04
Ari Broussard,75824,HB,RICE,3,3,0,275,,0,,,0,0,,0,0,0,,55.6,0,0,33.3,3,9,0,55.6,5,0.0,0,0.0,0,0,0,,,0.0,0,-0.3,2,100.0,,0,0,0.0,0,1,0,73.1,73.6,0,16,15.8,6,38,3,78.9,30,116.7,3,100.0,0,36,37,12.3,12.0,1.2
Treshaun Ward,99619,HB,FLORIDA ST,3,3,0,167,-1.0,0,100.0,,0,0,0.0,0,0,0,66.7,62.0,0,6,33.3,2,6,1,66.7,4,91.7,1,33.3,0,6,7,7.0,6.0,1.5,0,,0,,,0,0,,0,0,0,,54.6,0,0,42.1,8,19,0,57.9,11,0.0,0,0.0,0,0,0,,,0.0
Braheam Murphy,102882,HB,ARMY,3,3,0,114,40.0,0,100.0,,0,0,0.0,0,1,0,66.7,89.0,0,42,16.7,1,6,1,83.3,5,118.8,1,33.3,0,42,2,2.0,42.0,8.4,0,29.5,0,50.0,,0,0,0.0,0,1,0,66.7,89.1,1,73,0.0,0,2,1,100.0,2,95.8,2,66.7,1,73,38,38.0,73.0,36.5
Marquel Tinsley,97865,WR,MIDDLE TN,3,3,0,224,0.0,0,100.0,,0,0,0.0,0,0,0,66.7,56.4,0,1,0.0,0,7,1,85.7,6,79.2,1,33.3,0,1,1,1.0,1.0,0.17,0,10.5,0,0.0,,0,0,,0,0,0,,51.5,0,0,0.0,0,24,0,95.8,23,39.6,2,66.7,0,0,0,,,0.0
Roc Taylor,144283,WR,MEMPHIS,3,3,0,218,,0,,,0,0,,0,0,0,,59.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,22.3,0,66.7,,0,0,0.0,0,1,0,70.7,70.5,0,30,0.0,0,16,2,93.8,15,109.7,3,100.0,0,40,1,0.5,20.0,2.67
Cam Porter,129732,HB,NWESTERN,3,3,0,256,35.0,0,0.0,0.0,0,1,,0,0,0,16.4,34.4,0,0,12.5,2,16,0,56.3,9,39.6,1,33.3,0,0,0,,,0.0,0,1.0,0,100.0,,0,0,0.0,0,0,0,66.7,53.6,0,3,4.8,1,21,1,90.5,19,79.2,1,33.3,0,3,2,2.0,3.0,0.16
Maquel Haywood,144314,FB,NAVY,2,3,0,237,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,22.5,1,100.0,,0,0,0.0,0,2,0,70.7,91.7,0,43,27.3,3,11,2,63.6,7,118.8,2,66.7,0,77,32,16.0,38.5,11.0
Ikaika Ragsdale,73289,HB,N TEXAS,3,3,0,251,-1.0,0,0.0,,0,0,100.0,1,0,0,16.4,28.0,0,0,0.0,0,2,0,100.0,2,39.6,1,33.3,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,54.1,0,0,26.7,4,15,0,73.3,11,0.0,0,0.0,0,0,0,,,0.0
Jonah Morris,40336,WR,ILLINOIS,3,3,0,187,,0,,,0,0,,0,0,0,,54.2,0,0,0.0,0,9,0,100.0,9,0.0,0,0.0,0,0,0,,,0.0,0,7.0,0,66.7,50.0,1,2,0.0,0,1,0,70.7,57.5,0,11,0.0,0,13,2,100.0,13,82.6,3,100.0,0,18,14,7.0,9.0,1.38
George Pettaway,156351,HB,N CAROLINA,3,3,0,245,,0,,,0,0,,0,0,0,,57.6,0,0,57.1,4,7,0,42.9,3,0.0,0,0.0,0,0,0,,,0.0,0,-3.7,2,100.0,,0,0,0.0,0,1,0,73.1,67.6,0,11,22.2,4,18,3,77.8,14,79.2,3,100.0,0,7,18,6.0,2.3,0.5
Dylan Goffney,144361,WR,SMU,3,3,0,287,,0,,,0,0,,0,0,0,,56.8,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,8.3,0,100.0,100.0,1,1,0.0,0,3,0,73.1,65.7,0,15,0.0,0,16,3,93.8,15,108.3,3,100.0,0,30,5,1.7,10.0,2.0
Julian Fleming,129745,WR,OHIO STATE,1,3,0,260,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,6.0,0,100.0,,0,0,0.0,0,0,0,66.7,58.8,0,7,0.0,0,3,1,100.0,3,95.8,1,33.3,0,7,1,1.0,7.0,2.33
Squirrel White,163776,WR,TENNESSEE,2,3,0,307,45.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,82.1,0,47,0.0,0,2,1,100.0,2,118.8,1,33.3,0,47,2,2.0,47.0,23.5,0,4.5,1,100.0,,0,0,0.0,0,1,0,70.7,62.9,0,14,0.0,0,11,2,100.0,11,106.3,2,66.7,0,19,10,5.0,9.5,1.73
