"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"rush_recv_yd","D. Harris","RB","NE","BUF","2021-12-26T18:00:00Z","69.5","over","-115","-0.025722263659535116","null","null","under","-112","-0.03739019755562245","null","null"
"rush_yd","D. Harris","RB","NE","BUF","2021-12-26T18:00:00Z","60.5","over","-118","-0.03728194628951509","null","null","under","-111","-0.03008445288799072","null","null"
"recv_rec","H. Henry","TE","NE","BUF","2021-12-26T18:00:00Z","2.5","over","-175","-0.22486148345454549","null","null","under","135","0.16296556574468085","null","null"
"recv_yd","H. Henry","TE","NE","BUF","2021-12-26T18:00:00Z","30.5","over","-117","-0.07324016914011061","null","null","under","-114","0.0013702478592551026","null","null"
"recv_rec","J. Meyers","WR","NE","BUF","2021-12-26T18:00:00Z","4.5","over","-110","-0.04090952380952384","null","null","under","-120","-0.02835454545454541","null","null"
"recv_yd","J. Meyers","WR","NE","BUF","2021-12-26T18:00:00Z","46.5","over","-107","-0.011656374113849788","null","null","under","-124","-0.05881673677585114","null","null"
"recv_rec","J. Smith","TE","NE","BUF","2021-12-26T18:00:00Z","2.5","over","126","-0.08247608757522124","null","null","under","-166","0.01593784763909778","null","null"
"recv_yd","J. Smith","TE","NE","BUF","2021-12-26T18:00:00Z","17.5","over","-120","-0.042587163396614724","null","null","under","-111","-0.028881396675576543","null","null"
"recv_rec","K. Bourne","WR","NE","BUF","2021-12-26T18:00:00Z","3.5","over","101","-0.09786218905472643","null","null","under","-135","0.025874468085106406","null","null"
"recv_yd","K. Bourne","WR","NE","BUF","2021-12-26T18:00:00Z","37.5","over","-115","-0.046864774255435004","null","null","under","-115","-0.02286225397124997","null","null"
"pass_att","M. Jones","QB","NE","BUF","2021-12-26T18:00:00Z","31","over","-115","-0.05386279088416707","null","null","under","-115","-0.012562790535507073","null","null"
"pass_comp","M. Jones","QB","NE","BUF","2021-12-26T18:00:00Z","20.5","over","-111","-0.01701374407582934","null","null","under","-118","-0.050330275229357735","null","null"
"pass_int","M. Jones","QB","NE","BUF","2021-12-26T18:00:00Z","0.5","over","103","-0.033710837438423624","null","null","under","-135","-0.033368085106383005","null","null"
"pass_td","M. Jones","QB","NE","BUF","2021-12-26T18:00:00Z","1.5","over","129","0.016875109170305602","null","null","under","-168","-0.08042835820895511","null","null"
"pass_yd","M. Jones","QB","NE","BUF","2021-12-26T18:00:00Z","215.5","over","-110","0.0028099491095237017","null","null","under","-120","-0.07196071228181794","null","null"
"rush_yd","M. Jones","QB","NE","BUF","2021-12-26T18:00:00Z","5.5","over","-129","0.0923237443967887","null","null","under","-102","-0.1606152981000355","null","null"
"game_away_home_spread","JAX@NYJ","","JAX","NYJ","2021-12-26T18:00:00Z","-2","away","-110","-0.06228571428571433","49","44","home","-110","0.01571428571428568","51","56"
"game_away_home_win","JAX@NYJ","","JAX","NYJ","2021-12-26T18:00:00Z","","away","107","-0.057642512077294594","20","20","home","-128","0.013280701754386004","80","80"
"game_point_total","JAX@NYJ","","JAX","NYJ","2021-12-26T18:00:00Z","41","over","-110","-0.04642857142857143","82","47","under","-110","0.0005714285714285561","18","53"
"recv_yd","J. O'Shaughnessy","TE","JAX","NYJ","2021-12-26T18:00:00Z","27.5","over","-114","-0.07088070143661057","null","null","under","-114","0.00545599963773602","null","null"
"recv_yd","J. Robinson","RB","JAX","NYJ","2021-12-26T18:00:00Z","17","over","-123","-0.04771609843167002","null","null","under","-103","-0.010302952469111892","null","null"
"rush_recv_yd","J. Robinson","RB","JAX","NYJ","2021-12-26T18:00:00Z","98","over","-114","-0.022984049849181565","null","null","under","-114","-0.04171314022019146","null","null"
"rush_yd","J. Robinson","RB","JAX","NYJ","2021-12-26T18:00:00Z","75.5","over","-130","-0.0532214823370557","null","null","under","-102","-0.016947627904760787","null","null"
"recv_yd","L. Treadwell","WR","JAX","NYJ","2021-12-26T18:00:00Z","43.5","over","-115","-0.0748889831100385","null","null","under","-115","0.005120637961543939","null","null"
"recv_yd","M. Jones Jr.","WR","JAX","NYJ","2021-12-26T18:00:00Z","51.5","over","-115","-0.08699054568528558","null","null","under","-115","0.0172086395670783","null","null"
"pass_att","T. Lawrence","QB","JAX","NYJ","2021-12-26T18:00:00Z","31.5","over","-115","-0.02503349496530749","null","null","under","-115","-0.044727395682341464","null","null"
