"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"787ca742-905c-48cc-9471-61b5926181ff","Dereon","Seabron","-","486.9",,"G","New Orleans Pelicans",,
"112ea23f-02ca-40d3-bd92-a711e44c60bf","Garrett","Temple","-","483.1",,"G",,,
"c0418beb-a9ed-4aef-9d15-ce323f71dffe","Jericho","Sims","-","482.7",,"B","New York Knicks",,
"d806d7b3-bb9e-4530-aa3e-a3d6066327b0","Isaiah","Roby","-","477.8",,"W","New York Knicks",,
"31ace3e4-2692-43f5-8bd8-f44925152b31","Miles","McBride","-","475.7",,"G","New York Knicks",,
"c819b316-f8bb-42b1-aed4-ea3ab6142c28","DaQuan","Jeffries","-","471.0",,"G","New York Knicks",,
"3a1ae01b-e95b-4c87-a188-eb8ce86c1275","Davis","Bertans","-","469.5",,"W","Oklahoma City Thunder",,
"2f45c774-aaac-476d-b485-c0efb40f639c","Kenrich","Williams","-","466.7",,"W","Oklahoma City Thunder",,
"1c40db8c-d433-444f-97f0-c38248a57f31","Isaiah","Joe","-","466.1",,"G","Oklahoma City Thunder",,
"f4969751-8420-4bc7-8083-378c09b9b236","Lindy","Waters","-","465.0",,"G","Oklahoma City Thunder",,
"ba83e274-79cc-4e92-b4f2-87e00a023b82","Aaron","Wiggins","-","464.0",,"G","Oklahoma City Thunder",,
"9806a9fa-b9b0-43c8-b975-ed54ecbb11d8","Goga","Bitadze","-","463.6",,"B","Orlando Magic",,
"c090785d-fd15-433b-96a2-59f9a5bcec0c","Chuma","Okeke","-","461.5",,"W","Orlando Magic",,
"d968f44b-3209-41e7-b67a-41752753b464","Admiral","Schofield","-","460.7",,"W","Orlando Magic",,
"2571b18a-250b-4a6d-9d0e-81501338be6b","Michael","Carter-Williams","-","458.1",,"G","Orlando Magic",,
"78d0ce9e-34a8-47ea-824b-2d8e3cbe9444","Caleb","Houstan","-","452.1",,"W","Orlando Magic",,
"402a9f40-ba0d-45bd-aa2e-4f8214b7a17d","Kevon","Harris","-","450.5",,"G","Orlando Magic",,
"5c17495b-1391-490a-9839-92c194ecc000","Jaden","Springer","-","446.5",,"G","Philadelphia 76ers",,
