player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Lawrence, Thriston",DP World Tour,347,-10,96,-1,-0.814
"Sloan, Roger",Korn Ferry Tour,348,-10,9999,0,-0.816
"Sharma, Shubhankar",DP World Tour,349,50,229,11,-0.823
"Long, Hurly",DP World Tour,350,32,223,4,-0.824
"Ishikawa, Ryo",Other Tours,351,-4,255,2,-0.827
"Higa, Kazuki",Other Tours,352,0,104,1,-0.834
"Haas, Bill",PGA TOUR,353,1,9999,0,-0.839
"Burgoon, Bronson",PGA TOUR,354,56,9999,0,-0.84
"Kawamura, Masahiro",DP World Tour,355,-41,280,-7,-0.842
"Suber, Jackson",Korn Ferry Tour,356,50,9999,0,-0.849
"Vogel, T.J.",Korn Ferry Tour,357,-2,467,-10,-0.85
"Mouw, William",Amateur Events,358,2,9999,0,-0.854
"Mckibbin, Tom",DP World Tour,359,45,335,7,-0.855
"Gligic, Michael",PGA TOUR,360,1,432,-10,-0.855
"Kaewkanjana, Sadom",Other Tours,361,1,98,-1,-0.855
"Lewton, Steve",Other Tours,362,1,265,-5,-0.859
"Els, Ernie",PGA TOUR Champions,363,-53,9999,0,-0.859
"Gabrelcik, Nick",Amateur Events,364,1,9999,0,-0.862
"Coetzee, George",DP World Tour,365,1,261,2,-0.864
"Del Solar, Cristobal",Korn Ferry Tour,366,55,345,23,-0.866
"Gerard, Ryan",PGA TOUR,367,0,257,-4,-0.873
"Flavin, Patrick",Korn Ferry Tour,368,-28,9999,0,-0.874
"Barber, Blayne",Korn Ferry Tour,369,0,9999,0,-0.876
"Schmid, Matthias",PGA TOUR,370,42,251,4,-0.878
"Hoag, Bo",Korn Ferry Tour,371,-23,9999,0,-0.885
"Fitzpatrick, Alex",DP World Tour,372,-15,9999,0,-0.888
"Werenski, Richy",PGA TOUR,373,-23,454,-5,-0.889
"Imahira, Shugo",Other Tours,374,22,156,-6,-0.894
"Andersen, Mason",Korn Ferry Tour,375,23,9999,0,-0.897
"Harrington, Scott",PGA TOUR,376,7,9999,0,-0.904
"Hwang, Junggon",Other Tours,377,24,270,2,-0.908
"Kisner, Kevin",PGA TOUR,378,-32,68,-3,-0.918
"Garber, Joey",Korn Ferry Tour,379,-7,9999,0,-0.918
"Widing, Tim",Korn Ferry Tour,380,6,9999,0,-0.918
"Flores, Martin",Korn Ferry Tour,381,-8,9999,0,-0.92
"Bradbury, Dan",DP World Tour,382,38,375,11,-0.922
"Lin, Yuxin",Amateur Events,383,5,9999,0,-0.927
"Whitnell, Dale",DP World Tour,384,-82,299,-2,-0.93
"Fisher, Ross",DP World Tour,385,-21,364,-1,-0.93
"Wang, Jeunghun",DP World Tour,386,-12,402,-3,-0.931
"Waring, Paul",DP World Tour,387,0,205,-9,-0.933
"Phillips, Trent",Korn Ferry Tour,388,49,9999,0,-0.937
"Compton, Erik",Korn Ferry Tour,389,50,9999,0,-0.939
"Lee, Richard Taehoon",Other Tours,390,21,416,-6,-0.941
"Steelman, Ross",Amateur Events,391,1,9999,0,-0.947
"Horikawa, Mikumu",Other Tours,392,5,171,-2,-0.949
"Katsuragawa, Yuto",Other Tours,393,-25,182,-11,-0.952
"Gribble, Cody",PGA TOUR,394,30,433,14,-0.953
"De Jager, Louis",DP World Tour,395,47,267,8,-0.954
"Jenkins, Carter",Korn Ferry Tour,396,-45,9999,0,-0.96
"Gibson, Rhein",Korn Ferry Tour,397,-13,381,-4,-0.96
"Hopfinger, Brad",Korn Ferry Tour,398,-55,9999,0,-0.962
"Fischer, Zack",Korn Ferry Tour,399,-14,380,-5,-0.966
"Higgs, Harry",PGA TOUR,400,-75,305,-11,-0.968
"Ham, Jeongwoo",Other Tours,401,28,482,-10,-0.968
"Nemecz, Lukas",DP World Tour,402,-49,346,-6,-0.969
"Barjon, Paul",Korn Ferry Tour,403,54,9999,0,-0.969
"Moldovan, Maxwell",Amateur Events,404,-4,9999,0,-0.97
"Levin, Spencer",Korn Ferry Tour,405,-30,360,0,-0.971
"Frittelli, Dylan",PGA TOUR,406,8,227,-2,-0.975
"Kelly, Jerry",PGA TOUR Champions,407,-96,9999,0,-0.976
"Ventura, Kristoffer",Korn Ferry Tour,408,71,9999,0,-0.976
"Knox, Russell",PGA TOUR,409,-38,240,-1,-0.978
"Tarrio Ben, Santiago",DP World Tour,410,-19,343,-13,-0.984
"Van Meijel, Lars",Challenge Tour,411,56,497,0,-0.984
"Grant, Brent",PGA TOUR,412,-7,367,-2,-0.986
"Johnson, Michael",Korn Ferry Tour,413,-11,9999,0,-0.986
"Alexander, Tyson",PGA TOUR,414,9,194,-3,-0.987
"Murray, Grayson",PGA TOUR,415,-25,302,-3,-0.989
"Westmoreland, Kyle",PGA TOUR,416,-3,9999,0,-0.995
"Werbylo, Trevor",PGA TOUR,417,-8,372,-5,-0.996
"Prinsloo, Jaco",Challenge Tour,418,-25,363,-14,-1.004
"Nienaber, Wilco",DP World Tour,419,-60,392,-5,-1.006
"Creel, Joshua",Korn Ferry Tour,420,6,9999,0,-1.013
