player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Kyle Juszczyk,7912,FB,SF,9,3.5,4,78.6,,0,0,0,8.3,1,7,28,0,60.2,73.7,64.1,54.5,64.1,14.0,21,0,35,12.7,19,150,0,11,81.3,122,24.0,36,112.2,14,0,18.0,27,153,114,10.4,13.9,1.25
Kenyan Drake,10707,HB,BLT,8,-3.1,1,78.6,,0,0,0,15.4,2,5,3,0,46.0,87.0,61.1,52.8,60.6,0.0,0,0,15,19.1,25,131,0,11,75.6,99,12.2,16,106.0,14,1,4.6,6,52,87,7.9,4.7,0.53
Marcus Johnson,11074,WR,NYG,7,8.9,0,42.9,25.0,1,4,0,25.0,2,3,21,0,29.7,68.8,51.2,,51.3,0.0,0,0,18,0.0,0,140,1,6,92.1,129,10.7,15,56.5,14,0,89.3,125,63,25,4.2,10.5,0.49
Alexander Mattison,45817,HB,MIN,10,-1.4,3,78.6,50.0,1,2,0,15.4,2,4,18,0,29.8,82.4,67.5,46.6,43.8,5.1,7,0,16,21.7,30,138,0,11,71.0,98,2.2,3,112.5,14,1,5.8,8,74,93,8.5,6.7,0.76
Denzel Mims,47800,WR,NYJ,4,14.7,2,35.7,25.0,1,4,0,28.6,2,4,22,0,29.2,68.0,57.0,,58.4,0.0,0,0,63,0.0,0,99,2,5,98.0,97,23.2,23,69.3,14,0,76.8,76,126,57,11.4,25.2,1.3
Ray-Ray McCloud III,47895,WR,SF,10,18.6,0,71.4,50.0,1,2,1,9.1,1,7,28,0,58.9,57.2,68.2,62.4,69.4,0.0,0,0,33,0.9,1,107,1,10,94.4,101,37.4,40,133.6,14,1,61.7,66,162,36,3.6,16.2,1.6
Keelan Cole,51593,WR,LV,7,19.4,1,28.6,0.0,0,4,0,33.3,2,4,23,0,28.6,79.8,46.7,68.4,48.1,0.0,0,0,21,1.2,2,162,1,4,91.4,148,64.8,105,45.8,14,0,35.2,57,63,16,4.0,15.8,0.43
Jake Ferguson,61081,TE,DAL,10,4.2,2,78.6,100.0,1,1,0,0.0,0,5,9,0,80.0,72.3,60.0,70.4,66.2,68.8,77,0,22,25.9,29,112,1,11,71.4,80,19.6,22,131.0,14,2,8.9,10,83,40,3.6,7.5,1.04
Tanner Hudson,66924,TE,NYG,10,6.9,0,64.3,0.0,0,4,0,0.0,0,7,21,0,77.3,70.6,59.6,30.0,59.2,43.1,75,0,27,6.3,11,174,1,9,87.9,153,25.9,45,92.0,14,0,23.6,41,122,63,7.0,13.6,0.8
Kenneth Gainwell,77737,HB,PHI,10,0.5,3,64.3,100.0,1,1,0,25.0,3,2,24,0,29.5,80.8,52.3,51.7,38.0,1.6,2,1,11,16.8,21,125,0,9,78.4,98,5.6,7,40.8,14,0,6.4,8,50,48,5.3,5.6,0.51
