player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Josh Palmer,62979,WR,LAC,9,1,0,0,0.0,0,0,4,3,4,0,8,69.6,0,1,27,0,0,79.0,67.2,87.4,,64.9,67.1,62.0,50.1,4,0,495,45,354,156,0,0,61,46,0,4,8,8.0,4.0,1.4,0
Jamie Gillan,63303,P,NYG,2,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,21,0,0,13.7,35.2,66.5,,,,60.0,,-3,0,0,0,0,2,0,0,0,1,0,-3,0,0.0,-3.0,,0
Rashid Shaheed,63707,WR,NO,6,1,2,1,100.0,44,0,44,0,0,2,0,0.0,1,1,20,0,0,84.0,74.9,79.1,,,66.3,79.6,60.4,44,0,111,6,53,19,0,0,8,7,1,44,0,0.0,44.0,2.09,0
DeAndre Carter,9859,WR,LAC,10,1,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,0,27,0,0,57.9,63.3,85.8,60.0,67.8,65.8,59.2,33.6,-5,0,379,31,356,133,0,0,40,32,0,-5,0,0.0,-5.0,1.06,0
Gerald Everett,11799,TE,LAC,9,1,0,0,,0,0,0,3,9,0,1,25.7,0,0,27,0,0,77.1,65.7,70.4,,69.7,70.6,,38.3,0,1,364,34,258,100,0,0,52,35,0,0,1,1.0,0.0,1.41,0
Pierre Strong Jr.,66619,HB,NE,3,1,0,0,0.0,0,0,5,0,0,0,3,0.0,0,0,19,0,1,68.2,68.6,73.4,,68.5,58.8,62.8,60.0,5,0,0,0,1,8,0,0,0,1,0,5,3,3.0,5.0,0.0,0
Jordan Howard,10784,HB,NO,2,1,0,0,0.0,0,0,1,0,0,0,2,0.0,0,0,20,0,1,61.9,57.1,66.2,,,57.5,59.3,,1,0,0,0,3,1,0,0,0,1,0,1,2,2.0,1.0,0.0,0
Bennett Skowronek,27948,WR,LA,10,1,0,1,100.0,17,0,17,1,1,0,0,0.0,1,1,26,0,0,76.2,52.6,67.8,,80.6,51.7,63.1,56.2,17,2,250,27,311,180,0,0,41,28,1,17,0,0.0,17.0,0.8,0
Trenton Irwin,48080,WR,CIN,3,1,0,0,0.0,0,0,11,0,1,0,2,28.6,1,1,7,0,0,69.8,69.7,80.4,,,67.8,63.4,60.7,11,0,83,6,70,31,0,0,7,7,0,11,2,2.0,11.0,1.19,0
C.J. Beathard,11859,QB,JAX,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,15,0,0,61.9,60.0,64.6,,,,60.0,,-1,0,0,0,0,1,0,0,0,1,0,-1,0,0.0,-1.0,,0
