player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jacob Zeno,98014,QB,UAB,1,62.5,8,9,5.0,2.17,0,0,0.0,55.6,5,0,2,0.0,9,0,5,321,66.5,56.2,49.8,63.7,0,1,10,0,0.0,71.8,0.0,0,0,0,1,1,0,0.0,56,6.2
Austin Smith,145763,QB,E MICHIGAN,2,66.7,6,8,11.0,3.05,1,0,0.0,50.0,4,0,3,0.0,10,0,4,160,26.0,52.5,40.3,63.2,0,0,10,0,33.3,114.6,10.0,1,1,0,1,1,1,10.0,60,7.5
Quincy Patterson II,77626,QB,TEMPLE,1,50.0,8,8,7.3,2.58,0,0,0.0,37.5,3,0,1,25.0,8,1,2,306,23.3,45.3,44.9,55.5,0,0,8,0,0.0,49.5,0.0,0,0,0,0,0,0,0.0,31,3.9
Dylan Morris,100570,QB,WASHINGTON,2,71.4,7,8,13.4,3.08,1,0,0.0,50.0,4,0,3,20.0,9,1,3,340,65.1,58.4,57.4,,0,0,9,0,33.3,76.6,11.1,1,0,0,0,0,1,11.1,63,7.9
Cole Kramer,101627,QB,MINNESOTA,3,62.5,8,8,6.4,2.26,0,0,0.0,62.5,5,0,1,0.0,8,0,1,225,67.2,71.8,63.3,69.8,0,0,8,0,0.0,75.5,0.0,0,0,0,0,0,0,0.0,41,5.1
Garrett Hable,123480,QB,LA MONROE,3,62.5,8,8,5.9,2.09,0,0,0.0,50.0,4,0,4,20.0,9,1,2,209,67.4,55.5,52.1,60.3,0,0,9,0,0.0,74.0,0.0,0,1,0,0,0,0,0.0,58,7.3
Luke Doty,124230,QB,S CAROLINA,1,62.5,8,8,6.0,2.13,0,0,0.0,62.5,5,0,2,0.0,8,0,4,289,67.2,59.7,49.7,69.2,0,1,8,0,0.0,93.8,0.0,0,0,0,0,1,1,12.5,76,9.5
Christian Veilleux,145086,QB,PENN STATE,2,100.0,8,8,4.0,2.04,0,0,0.0,75.0,6,0,1,25.0,9,2,3,266,68.3,83.1,87.6,58.3,0,0,9,0,100.0,83.9,11.1,1,0,0,0,0,0,0.0,37,4.6
Devin Kargman,156913,QB,KENT STATE,3,42.9,7,8,8.4,2.5,1,0,0.0,37.5,3,0,1,0.0,8,0,2,201,19.0,26.3,28.0,60.0,0,2,10,0,0.0,45.8,0.0,0,0,0,0,1,2,20.0,19,2.4
Noah Fifita,158722,QB,ARIZONA,1,71.4,7,8,9.0,2.98,0,0,0.0,50.0,4,0,2,20.0,8,1,2,109,64.9,78.0,77.5,,0,0,8,0,0.0,72.9,0.0,0,0,0,1,0,0,0.0,56,7.0
Mason Garcia,123811,QB,E CAROLINA,1,71.4,7,7,6.1,3.36,0,0,0.0,71.4,5,0,2,0.0,8,0,2,156,66.2,66.8,67.3,60.1,0,0,8,0,0.0,84.8,0.0,0,1,0,0,0,0,0.0,39,5.6
Cale Millen,98017,QB,UCONN,3,50.0,6,7,3.2,2.59,0,0,0.0,42.9,3,0,1,0.0,7,0,0,146,72.1,60.0,58.0,60.4,0,0,7,0,0.0,50.3,0.0,0,0,0,1,0,0,0.0,20,2.9
