"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","def_rank","cov_rank"
"379","Jordyn Tyson","COL",3000,NA,0,"out for season - Leg","29.5","52",176,71,2.81,"UTAH",43,17
"380","Munir McClain","UTAH",3000,NA,0,"Healthy","-29.5","52",54,49.6,0.37,"COL",131,131
"381","Zach Courtney","COL",3000,NA,0,"Healthy","29.5","52",NA,NA,NA,"UTAH",43,17
"382","Erik Olsen","COL",3000,0.45,0,"Healthy","29.5","52",85,33.4,0.31,"UTAH",43,17
"383","Louis Passarello","COL",3000,NA,0,"Healthy","29.5","52",NA,NA,NA,"UTAH",43,17
"384","Caleb Fauria","COL",3000,NA,0,"out for season - Knee","29.5","52",85,48.2,0.37,"UTAH",43,17
"385","Brady Kopetz","COL",3000,NA,0,"Healthy","29.5","52",NA,NA,NA,"UTAH",43,17
"386","Ty Robinson","COL",3000,1.21,0,"Ques Sat - Undisclosed","29.5","52",63,53.9,0.5,"UTAH",43,17
"387","Grant Page","COL",3000,NA,0,"Healthy","29.5","52",NA,NA,NA,"UTAH",43,17
"388","Chase Sowell","COL",3000,0.45,0,"Out indefinitely - Undisclosed","29.5","52",49,52,0.51,"UTAH",43,17
"389","Chernet Estes","COL",3000,NA,0,"Healthy","29.5","52",NA,NA,NA,"UTAH",43,17
"390","Michael Harrison","COL",3000,NA,0,"Healthy","29.5","52",12,54,0.25,"UTAH",43,17
"391","Cole Boscia","COL",3000,NA,0,"Healthy","29.5","52",NA,NA,NA,"UTAH",43,17
"392","Hayden Erickson","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
"393","Isaac Vaha","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
"394","Landon Morris","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
"395","Deven Johnson","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
"396","Taniela Pututau","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
"397","Luca Caldarella","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
"398","Jett Meine","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
"399","Tiquan Gilmore","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
"400","Tao Johnson","UTAH",3000,NA,0,"Early Dec - Elbow","-29.5","52",NA,NA,NA,"COL",131,131
"401","Sidney Mbanasor","UTAH",3000,NA,0,"Healthy","-29.5","52",NA,NA,NA,"COL",131,131
