player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Sean Harlow,11891,C,NYG,2,0,21,60.0,100.0,1,33.3,1,55.4,0,100.0,3,3,60.0,100.0,1,33.3,1
Travis Homer,45859,HB,CHI,2,0,6,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Stephen Anderson,11160,TE,LAC,2,0,27,,,0,0.0,0,59.3,0,100.0,3,3,56.3,100.0,1,33.3,1
Anthony Walker Jr.,11916,LB,CLV,2,0,8,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Dieter Eiselen,109304,C,HST,2,0,13,60.0,100.0,1,33.3,1,70.1,0,100.0,3,3,66.4,100.0,2,66.7,2
Dareke Young,111900,WR,SEA,3,0,29,83.3,100.0,2,66.7,2,77.8,0,100.0,3,3,,,0,0.0,0
Kwamie Lassiter II,23226,WR,CIN,1,0,7,,,0,0.0,0,60.0,0,100.0,3,3,60.0,100.0,3,100.0,3
Carson Wentz,10636,QB,LA,1,0,26,60.0,100.0,2,66.7,2,60.0,0,100.0,3,3,60.0,100.0,1,33.3,1
Jonathan Taylor,57488,HB,IND,7,0,14,,0.0,0,0.0,37,71.9,0,2.9,3,104,,0.0,0,0.0,64
Justin Skule,38951,T,TB,3,0,30,60.0,100.0,1,33.3,1,59.8,0,100.0,3,3,59.9,100.0,2,66.7,2
Brandon Parker,34693,T,LV,1,0,23,71.5,100.0,3,100.0,3,71.5,0,100.0,3,3,,,0,0.0,0
Raiqwon O'Neal,81811,T,SEA,1,0,29,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Gary Brightwell,57133,HB,NYG,4,0,21,,0.0,0,0.0,4,58.3,0,25.0,3,12,58.3,37.5,3,100.0,8
Nephi Sewell,56107,LB,NO,1,0,20,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Reed Blankenship,56065,S,PHI,1,0,24,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Dare Ogunbowale,12329,HB,HST,4,0,13,,0.0,0,0.0,2,60.0,0,33.3,3,9,,0.0,0,0.0,3
Davis Mills,52269,QB,HST,2,0,13,60.0,100.0,2,66.7,2,60.0,0,100.0,3,3,60.0,100.0,1,33.3,1
Sam Ehlinger,60555,QB,IND,1,0,14,60.0,100.0,2,66.7,2,60.0,0,100.0,3,3,60.0,100.0,1,33.3,1
A.J. McCarron,8799,QB,CIN,1,0,7,60.0,100.0,1,33.3,1,60.0,0,100.0,3,3,60.0,100.0,2,66.7,2
Devine Ozigbo,45903,HB,DET,2,0,11,,,0,0.0,0,60.0,0,50.0,3,6,,0.0,0,0.0,3
Matt Bushman,52008,TE,KC,1,0,16,,,0,0.0,0,57.1,0,100.0,3,3,59.9,100.0,2,66.7,2
Cole Van Lanen,41583,T,JAX,1,0,15,60.0,100.0,1,33.3,1,59.5,0,100.0,3,3,59.9,100.0,2,66.7,2
Ben Brown,59869,G,SEA,1,0,29,,,0,0.0,0,58.7,0,100.0,3,3,58.7,100.0,3,100.0,3
Fred Johnson,46951,T,PHI,1,0,24,,,0,0.0,0,60.2,0,100.0,2,2,60.2,100.0,2,100.0,2
Mason Rudolph,46569,QB,PIT,1,0,25,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Nick Chubb,45783,HB,CLV,2,0,8,,0.0,0,0.0,15,60.0,0,6.3,2,32,60.0,12.5,2,100.0,16
Pat Jones II,43974,ED,MIN,2,0,18,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Godwin Igwebuike,49166,HB,PIT,2,0,25,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Will Harris,51336,CB,DET,2,0,11,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,,,0,0.0,0
Charlie Jones,55038,WR,CIN,2,0,7,60.0,100.0,1,50.0,1,31.1,0,100.0,2,2,60.0,100.0,1,50.0,1
Victor Dimukeje,56347,ED,ARZ,2,0,1,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Doug Kramer,41458,C,ARZ,1,0,1,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Darrell Henderson,41193,HB,LA,4,0,26,,0.0,0,0.0,26,60.0,0,4.2,2,48,,0.0,0,0.0,20
