"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"44","Patrick Rodgers",23516838,7200,57.77,70.91,0,105.63,33.13,57.2,1.9,59.1,0.08,3.95,0.225,54,-0.075,266,0.077,134,0.157,121,0.384,91,9.631,47,-0.05,354,0.477,30,0.008,-0.055,-0.014,-0.032,0.044,-0.093,-0.149,-0.016,-0.258,0.17,0.5238,0.1323,0.0598,0.0261,0.0038,0.53,-0.33,2.37,-0.56,-2.69,0,1,2022-08-07,"Wyndham Championshio"
"45","Doug Ghim",23516839,7200,50.29,69.48,0,104.38,33.13,62.2,2.7,64.9,0.48,3.95,-0.128,300,-0.015,191,0.157,95,0.228,86,0.242,117,-3.058,267,0.062,42,0.022,26,0.021,0.016,0.014,0.169,0.03,0.03,0.18,0.006,0.217,0.488,0.5868,0.1887,0.0916,0.0454,0.0077,1.07,0.21,2.37,0.75,3.48,5,1,2022-08-07,"Wyndham Championshio"
"46","Russell Knox",23516840,7200,54.82,70.01,0,105,33.13,60.9,2.5,63.4,0.38,3.95,-0.207,344,-0.057,244,0.324,50,0.017,176,0.077,146,-5.827,322,0.069,30,0.21,37,-0.014,-0.069,0.036,-0.085,0.056,0.057,0.201,0.01,0.269,0.402,0.569,0.1709,0.0818,0.0384,0.0065,0.9,0.04,2.37,0.73,3.31,5,1,2022-08-07,"Wyndham Championshio"
"47","Stewart Cink",23516841,7200,51.87,67.99,0,103.13,32.5,58,2,59.9,0.14,3.95,-0.138,306,-0.083,275,0.116,116,0.361,49,0.256,112,5.732,106,-0.007,214,0.209,49,-0.054,-0.016,0.021,0.095,-0.04,-0.055,-0.023,0.016,-0.062,0.154,0.5169,0.1372,0.0651,0.0296,0.0054,0.75,-0.11,2.37,-0.33,-1.54,0,1,2022-08-07,"Wyndham Championshio"
"48","Matthew NeSmith",23516842,7200,55.98,70.5,0,105.63,33.13,64.5,3,67.4,0.66,3.95,-0.165,324,-0.04,220,0.332,48,0.318,58,0.445,85,-0.107,218,0.054,53,0.208,28,0.013,0.048,0.026,0.15,0.007,0.002,0.157,0.005,0.163,0.615,0.6139,0.2217,0.1149,0.0567,0.0106,1.47,0.61,2.37,0.73,3.59,5,1,2022-08-07,"Wyndham Championshio"
"49","Stephan Jaeger",23516843,7100,50.61,63.25,0,99.38,31.88,59.5,2.2,61.7,0.3,3.95,-0.012,209,0.256,15,0.185,87,-0.16,245,0.27,108,-4.217,294,-0.004,205,0.2,33,-0.002,0.046,-0.031,0.056,-0.018,0.042,-0.014,-0.03,-0.002,0.249,0.537,0.1502,0.0694,0.0313,0.005,0.7,-0.07,2.37,0.55,2.44,5,1,2022-08-07,"Wyndham Championshio"
"50","Joel Dahmen",23516844,7100,58.15,66.99,0,103.13,32.5,63.5,2.8,66.2,0.62,3.95,-0.139,307,-0.102,291,0.206,81,0.284,72,0.25,113,-4.791,308,0.083,17,0.215,34,-0.007,-0.036,0.018,0.059,-0.003,0.047,0.243,0.013,0.303,0.55,0.5951,0.2004,0.1007,0.0503,0.0094,1.32,0.55,2.37,0.83,4.01,5,1,2022-08-07,"Wyndham Championshio"
"51","Greyson Sigg",23516845,7100,56.26,68.21,0,102.5,32.5,58.5,2,60.5,0.22,3.95,0,198,-0.048,233,0.097,122,0.095,149,0.144,131,-3.806,284,0.021,125,0.044,27,0.017,0.041,0.006,0.036,-0.04,0.038,0.061,0,0.098,0.202,0.5283,0.1401,0.0637,0.0272,0.0046,0.65,-0.12,2.37,0.08,0.3,0,1,2022-08-07,"Wyndham Championshio"
"52","Danny Willett",23516846,7100,51.5,67.65,0,102.5,33.13,54.9,1.6,56.6,-0.04,3.95,0.182,78,0.239,23,-0.207,240,-0.094,221,0.121,135,-0.197,219,-0.018,255,0.123,34,-0.007,0.005,-0.001,0.001,-0.06,0.002,-0.056,-0.029,-0.082,-0.021,0.4831,0.1095,0.0459,0.0191,0.0029,0.41,-0.36,2.37,0.26,0.99,5,1,2022-08-07,"Wyndham Championshio"
"53","Mackenzie Hughes",23516847,7100,53.98,61.05,0,97.5,31.25,55.5,1.7,57.2,-0.01,3.95,0.368,18,0.202,40,-0.155,224,-0.307,299,0.108,138,0.107,216,-0.031,300,0.206,31,0.003,-0.002,-0.008,-0.091,0.022,0,-0.093,-0.045,-0.139,-0.009,0.4854,0.1087,0.0455,0.0195,0.0032,0.45,-0.32,2.37,0.19,0.7,5,1,2022-08-07,"Wyndham Championshio"
