"Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"Carlos Ortiz",22529165,7000,59.83,56.32,2.3,86.5,28.5,64.9,1.9,66.8,0.18,2.63254741663039,0.041,31,0.005,0.065,-0.042,0.073,-0.006,-0.035,0.009,0,-0.025,0.111,0.522,0.0078,0.2117,0.1352,0.0611,0.0269,0.0146,0.0043,38,0.0168,91.5,0.61,0.03,0,2,2022-05-15,"AT&T Byron Nelson"
"Danny Willett",22529166,6900,52.63,54.06,1.2,86,27.5,64.7,1.9,66.6,0.22,2.79662652169547,0.185,34,-0.006,0.005,0.004,-0.049,-0.04,-0.016,0.009,0.008,0.001,0.099,0.5118,0.0081,0.2056,0.1313,0.0596,0.0261,0.0142,0.0042,100,0.0137,27,0.61,0.11,0.02,1,2022-05-15,"AT&T Byron Nelson"
"Stephan Jaeger",22529167,6900,47.47,46.97,1.7,79.5,26,62.6,1.6,64.2,0.04,2.02587340596863,0.022,32,-0.001,0.064,-0.023,-0.152,-0.04,0.043,0.025,0.017,0.085,-0.045,0.4832,0.0073,0.1799,0.1129,0.0497,0.0226,0.0116,0.0034,38,0.0354,107.5,0.49,-0.01,0,2,2022-05-15,"AT&T Byron Nelson"
"Joohyung Kim",22529168,6900,52.5,36.2,0.59,61.58,23,60,1.4,61.4,-0.08,1.82536669863219,-0.185,19,0.042,0,0.006,-0.024,-0.04,0.014,-0.022,-0.011,-0.019,-0.22,0.4276,0.0028,0.1441,0.0872,0.0364,0.0148,0.0079,0.0019,17,0.0044,102,0.28,-0.22,-0.03,1,2022-05-15,"AT&T Byron Nelson"
"Greyson Sigg",22529169,6900,59.53,55.36,0.94,85.58,28.5,64.5,1.8,66.3,0.2,3.0167478225606,0.047,27,0.018,0.043,0.001,0.039,-0.04,0.027,-0.014,0,0.013,0.122,0.5011,0.0045,0.2026,0.1267,0.0551,0.0237,0.0128,0.0034,100,0.0095,22,0.49,-0.01,0,1,2022-05-15,"AT&T Byron Nelson"
"Martin Laird",22529170,6900,55.88,59.2,2.5,88.5,29,62.6,1.6,64.2,0.05,3.22800559473902,0.079,39,-0.022,-0.109,-0.008,0.149,-0.022,0.001,-0.057,-0.006,-0.062,0.005,0.4722,0.0037,0.1774,0.109,0.0469,0.0186,0.0096,0.0025,100,0.0084,29,0.36,-0.14,-0.02,2,2022-05-15,"AT&T Byron Nelson"
"Wyndham Clark",22529171,6900,56.09,47.68,1.8,80,26.5,60.6,1.5,62.1,-0.05,1.61331046857798,-0.274,28,0.014,-0.006,0.016,0.171,-0.014,-0.118,0.056,0,-0.062,-0.155,0.4648,0.0049,0.1599,0.0964,0.0412,0.0176,0.0097,0.0023,100,0.021,34,0.33,-0.17,-0.03,2,2022-05-15,"AT&T Byron Nelson"
"Mark Hubbard",22529172,6900,69.67,59.38,2.6,89,29,68.7,2.4,71.1,0.55,3.49169375337326,0.351,32,-0.001,0.024,0.016,-0.082,-0.004,0.091,-0.018,0.016,0.089,0.393,0.5555,0.0062,0.257,0.1676,0.0813,0.0384,0.0204,0.006,32,0.0327,90,0.87,0.37,0.06,3,2022-05-15,"AT&T Byron Nelson"
"Chez Reavie",22529173,6800,49.92,54.27,0.79,85.5,28,57.1,1.1,58.2,-0.17,1.27422651210524,-0.111,40,-0.026,-0.113,-0.013,-0.122,-0.04,0.107,-0.073,-0.005,0.03,-0.395,0.3978,0.0027,0.1142,0.0662,0.0246,0.0096,0.0047,0.0013,100,0.0143,37,0.19,-0.25,-0.04,1,2022-05-15,"AT&T Byron Nelson"
"Branden Grace",22529174,6800,45.36,55.1,0.87,84.5,28,64.1,1.8,65.9,0.22,2.24272932059296,-0.112,33,-0.004,0.036,-0.007,0.19,-0.04,0.02,0.011,0,0.031,0.095,0.4946,0.0041,0.1942,0.1191,0.0536,0.0231,0.0124,0.0035,38,0.003,87,0.51,0.07,0.01,1,2022-05-15,"AT&T Byron Nelson"
