player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Malcolm Rodriguez,60731,LB,DET,3,6.0,0,100.0,,0,0,0,0.0,0,1,11,0,64.7,61.2,59.1,69.0,57.4,11.1,1,0,6,22.2,2,9,0,1,55.6,5,11.1,1,91.7,1,0,11.1,1,6,0,0.0,6.0,1.2
Cody Thompson,48152,WR,SEA,6,7.0,0,100.0,,0,0,0,0.0,0,0,29,0,64.7,61.2,56.2,,55.8,0.0,0,0,10,0.0,0,7,0,1,100.0,7,14.3,1,108.3,1,0,85.7,6,10,3,3.0,10.0,1.43
Willie Snead IV,8999,WR,SF,3,6.0,0,100.0,,0,0,0,0.0,0,0,28,0,64.7,61.2,69.3,,71.0,0.0,0,0,9,0.0,0,5,0,1,100.0,5,0.0,0,104.2,1,0,100.0,5,9,3,3.0,9.0,1.8
Juwann Winfree,38275,WR,IND,3,20.0,0,0.0,,0,0,0,,0,0,14,0,,,52.8,65.7,54.5,0.0,0,0,0,9.1,1,11,0,0,90.9,10,18.2,2,39.6,1,0,81.8,9,0,0,,,0.0
Chris Rodriguez Jr.,83689,HB,WAS,4,-4.0,0,100.0,,0,0,0,0.0,0,1,32,0,64.7,29.5,70.1,79.3,53.8,0.0,0,0,5,25.0,4,16,0,1,75.0,12,12.5,2,87.5,1,0,6.3,1,5,9,9.0,5.0,0.42
Reggie Gilliam,40951,FB,BUF,10,1.0,0,100.0,,0,0,0,0.0,0,0,4,0,64.7,61.2,66.8,50.5,51.4,18.2,4,0,3,27.3,6,22,1,1,72.7,16,40.9,9,79.2,1,0,9.1,2,3,2,2.0,3.0,0.19
Erik Ezukanma,78148,WR,MIA,2,6.0,0,0.0,,0,0,0,,0,0,17,0,,68.6,60.3,,55.5,0.0,0,0,0,0.0,0,14,0,0,92.9,13,35.7,5,39.6,1,0,50.0,7,0,0,,,0.0
Albert Okwuegbunam,41933,TE,PHI,4,9.0,0,0.0,0.0,0,1,0,,0,0,24,0,,,47.6,,48.1,20.0,8,0,0,0.0,0,40,0,0,95.0,38,67.5,27,39.6,1,0,12.5,5,0,0,,,0.0
Charlie Woerner,42257,TE,SF,11,2.0,0,100.0,,0,0,0,0.0,0,0,28,0,64.7,61.2,62.1,35.0,48.7,76.3,45,0,9,18.6,11,59,1,1,79.7,47,8.5,5,104.2,1,0,13.6,8,9,7,7.0,9.0,0.19
Jeffery Simmons,43742,DI,TEN,2,2.0,0,100.0,,0,0,2,0.0,0,1,31,0,64.7,61.2,80.5,64.9,90.2,100.0,2,0,2,50.0,1,2,6,1,50.0,1,0.0,0,118.8,1,1,0.0,0,2,0,0.0,2.0,2.0
