player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ajay Allen,156470,HB,MIAMI FL,3,26,6,2,23.4,32,0,137,0,0,6,79,70.1,3,9,220,0,8,78.2,72.7,76.5,,78.9,52.6,73.5,60.0,16,0,0,0,23,27,0,0,0,26,2,137,79,3.04,5.3,0.0,18
Elijah Collins,83705,HB,OKLA STATE,5,26,5,1,16.3,17,0,104,0,1,5,76,62.6,1,7,262,0,4,78.2,73.5,77.4,,80.8,62.1,72.8,59.3,17,0,19,2,17,30,0,0,2,28,1,104,76,2.92,4.0,1.12,21
Calvin Hill,97069,HB,TEXAS ST,3,26,4,0,0.0,0,0,71,0,1,4,42,27.9,1,3,314,1,13,42.6,56.3,76.2,,56.1,59.6,56.2,60.0,13,0,20,3,17,30,0,0,3,29,0,71,42,1.62,2.7,1.18,13
Donerio Davenport,134974,HB,TEXAS ST,5,26,10,4,55.7,68,0,122,1,1,10,88,124.1,4,10,314,1,15,42.2,60.8,78.8,,42.1,42.2,68.2,58.1,22,0,39,4,52,31,0,0,5,30,1,122,88,3.38,4.7,0.75,10
Ta'Quan Roberson,101625,QB,UCONN,4,17,2,1,29.4,15,1,33,0,0,1,29,10.0,1,4,146,2,4,75.8,76.4,62.0,77.6,,,60.1,60.0,15,2,0,0,0,125,18,9,0,17,1,51,46,1.77,2.0,,6
Bryce Williams,83708,HB,MINNESOTA,3,26,4,0,0.0,0,0,83,0,0,4,62,32.9,0,5,225,0,18,78.2,70.2,77.8,,71.5,64.0,70.9,60.0,8,0,26,3,42,34,0,0,3,29,1,83,62,2.38,3.2,0.62,8
Camryn Edwards,158615,HB,UCONN,2,26,8,1,12.9,15,0,116,0,1,8,89,110.0,3,7,146,0,6,78.2,72.6,76.2,,,60.2,71.9,59.3,15,0,11,2,12,31,0,0,2,28,0,116,89,3.42,4.5,0.92,20
Damari Alston,157037,HB,AUBURN,4,26,3,0,0.0,0,0,130,0,0,3,77,28.7,4,8,115,1,9,43.9,70.6,78.1,,72.8,73.3,69.6,58.4,13,0,37,5,32,40,0,0,6,31,1,130,77,2.96,5.0,1.16,17
Michel Dukes,99591,HB,USF,4,26,5,2,32.8,45,0,137,0,0,5,99,65.6,5,7,327,0,20,78.8,65.9,77.7,,35.3,67.9,66.6,57.8,23,0,51,3,31,35,0,0,4,29,1,137,99,3.81,5.3,1.65,6
Colby McDonald,144890,HB,MARYLAND,4,26,5,6,66.2,135,0,204,0,0,5,66,48.8,7,10,215,0,14,78.2,78.1,77.0,,56.6,54.3,77.7,60.0,35,0,0,0,13,27,0,0,0,26,2,204,66,2.54,7.8,0.0,12
Raheim Sanders,146626,HB,ARKANSAS,2,26,8,0,0.0,0,1,76,0,2,8,46,59.0,1,4,111,0,12,78.2,62.3,0.0,,29.2,70.5,63.6,56.4,14,1,32,4,28,33,0,0,4,30,2,76,46,1.77,2.9,1.14,13
