player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Ta'Quan Roberson,101625,QB,UCONN,4,71.7,113,122,9.0,2.63,0,6,4.7,57.4,70,1,38,13.6,137,11,33,146,75.8,76.4,77.6,60.1,3,2,142,2,10.5,82.6,2.9,4,9,0,6,5,3,2.1,757,6.2
Jack Turner,162969,QB,LA TECH,5,73.0,111,121,9.8,2.37,5,4,3.1,57.9,70,0,36,13.6,132,11,30,208,27.6,63.5,62.6,60.4,2,4,144,1,13.9,76.8,3.8,5,6,0,3,4,7,4.9,851,7.0
Conner Weigman,158683,QB,TEXAS A&M,4,78.4,111,121,10.1,2.56,2,6,4.5,67.8,82,0,55,5.7,133,5,50,312,63.1,91.8,90.8,76.2,2,2,144,0,7.3,107.4,3.0,4,7,2,4,8,3,2.1,979,8.1
Jordan Travis,77615,QB,FLORIDA ST,4,66.9,118,121,11.4,2.91,0,8,6.0,61.2,74,0,37,6.3,133,5,47,167,76.0,84.2,82.7,66.8,1,1,146,0,8.1,112.6,2.3,3,9,0,2,10,4,2.7,1028,8.5
Athan Kaliakmanis,144971,QB,MINNESOTA,5,72.1,111,121,9.4,3.01,3,0,0.0,58.7,71,0,41,11.3,140,9,46,225,75.9,69.2,60.9,77.6,0,4,149,0,14.6,76.6,4.3,6,13,0,7,5,5,3.4,745,6.2
Alex Flinn,123797,QB,E CAROLINA,5,67.0,106,117,9.4,2.89,0,9,7.3,47.9,56,0,60,21.1,140,15,37,156,74.6,66.6,67.1,64.9,1,5,149,6,11.7,48.7,5.0,7,15,1,9,1,7,4.7,608,5.2
Tayven Jackson,157615,QB,INDIANA,5,72.1,111,116,10.6,2.84,0,5,4.0,61.2,71,0,49,11.3,125,9,43,190,76.3,64.8,69.6,49.2,1,3,133,2,10.2,79.0,4.0,5,4,0,4,2,6,4.5,862,7.4
Kyle McCord,145053,QB,OHIO STATE,4,72.0,107,115,9.9,2.66,3,7,5.8,64.3,74,0,30,3.9,122,3,46,260,56.3,67.3,68.7,49.6,2,1,128,1,3.3,107.7,0.8,1,6,1,2,6,5,3.9,1055,9.2
Dequan Finn,97804,QB,TOLEDO,5,72.5,109,113,10.7,3.03,0,9,7.5,65.5,74,0,30,6.3,128,5,46,316,54.3,76.5,72.7,70.2,0,4,137,3,10.0,107.0,2.3,3,12,1,3,10,7,5.1,964,8.5
Connor Bazelak,99135,QB,BOWL GREEN,4,66.3,104,112,7.8,2.55,1,1,0.8,58.9,66,0,38,4.3,121,3,34,122,74.6,53.0,50.1,64.8,0,5,131,0,18.4,72.9,5.8,7,2,0,7,4,6,4.6,764,6.8
Phil Jurkovec,83533,TE,PITTSBURGH,5,56.9,109,112,12.2,2.98,0,4,3.3,50.9,57,0,58,8.1,132,5,39,268,50.0,60.5,55.6,71.3,0,3,140,3,20.7,81.6,9.1,12,6,0,3,6,6,4.3,818,7.3
Kaidon Salter,132046,QB,LIBERTY,5,66.0,103,111,15.9,3.15,2,13,10.6,57.7,64,0,49,5.9,138,4,47,206,55.9,81.7,85.7,62.0,1,2,153,1,12.2,122.8,4.3,6,21,0,5,12,3,2.0,1176,10.6
Tyler Shough,83537,QB,TEXAS TECH,4,69.9,103,110,10.0,2.92,2,6,5.1,60.9,67,0,39,6.9,135,5,40,315,51.4,65.2,57.9,71.3,2,4,144,0,23.1,87.2,6.7,9,16,0,3,7,7,4.9,746,6.8
Michael Alaimo,129802,QB,KENT STATE,5,60.2,103,110,12.1,2.84,2,7,6.0,55.5,61,0,48,1.6,137,1,37,201,75.0,71.0,74.6,50.5,0,3,143,1,31.3,69.1,10.9,15,12,0,5,1,2,1.4,768,7.0
