player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Juston Burris,10752,S,CAR,6,168,0,5,0,1.0,100.0,98.1,49.0,49.0,0,0,0.0,73.1,0,3,0.0,0,0,79.2,1,52,31.0,53,0,1,1,0,3,2,0.1,3.0,0,1,9.5,66.7,96.0,22.5,15.0,0,0,0.0,55.0,1,23,11.1,1,0,47.2,4,96,57.1,100,2,7,6,0,42,16,0.5,10.5
Deon Bush,10758,S,CHI,6,115,0,6,0,,,100.0,,,0,0,,59.2,0,,50.0,1,0,0.0,0,34,29.6,34,0,1,0,0,0,0,0.0,,0,0,15.7,57.1,98.0,11.3,6.4,1,1,14.3,48.7,0,25,40.0,2,1,125.6,4,48,41.7,49,0,3,7,1,61,26,1.4,15.3
Blake Martinez,10765,LB,NYG,3,86,0,21,0,-4.0,100.0,73.1,18.0,18.0,0,0,0.0,57.4,0,4,100.0,1,0,122.9,1,19,22.1,26,0,0,1,1,4,8,0.2,4.0,0,0,2.4,100.0,95.2,6.4,6.4,0,0,0.0,59.6,0,18,20.0,2,0,91.2,9,59,68.6,62,2,8,9,0,53,31,0.9,5.9
Rashard Robinson,10767,CB,TB,1,11,0,30,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,67.0,0,,,0,0,0.0,0,10,90.9,10,0,0,0,0,0,0,0.0,
Matthew Judon,10780,ED,NE,12,76,0,19,0,-3.0,100.0,28.0,43.0,43.0,0,0,0.0,62.1,0,11,0.0,0,0,112.5,1,47,61.8,168,5,1,1,0,11,14,0.3,11.0,0,1,0.8,75.0,13.4,8.7,6.5,0,0,0.0,69.3,0,20,33.3,2,0,94.8,3,26,34.2,194,7,3,4,0,29,26,1.1,9.7
Quinton Jefferson,10781,DI,LV,11,2,0,23,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,50,1,0,0,0,0,0,,,0,0,,,0.5,,,0,0,,57.5,0,,33.3,1,0,0.0,0,1,50.0,219,1,2,0,0,0,0,0.0,
Marqui Christian,10801,CB,CHI,3,38,0,6,0,5.0,100.0,100.0,14.0,14.0,0,0,0.0,51.5,0,17,100.0,2,0,118.8,1,16,42.1,16,0,0,1,0,17,12,1.2,17.0,0,0,5.0,100.0,76.9,9.0,9.0,0,0,0.0,67.0,0,6,0.0,0,0,91.7,1,10,26.3,13,0,1,1,0,6,1,0.7,6.0
DeAndre Houston-Carson,10819,S,CHI,11,223,0,6,2,3.5,50.0,92.0,18.0,9.0,0,2,25.0,87.5,1,13,0.0,0,2,17.2,4,80,35.9,87,1,4,8,0,25,16,0.3,6.3,0,1,13.2,66.7,91.4,19.3,12.8,0,0,0.0,67.3,0,42,0.0,0,0,101.4,4,85,38.1,93,3,7,6,0,63,2,0.8,15.8
Anthony Brown,10823,CB,DAL,12,516,0,9,0,14.9,45.7,100.0,11.6,5.3,1,5,14.3,64.0,2,55,0.0,0,4,72.2,16,203,39.3,203,3,13,35,2,309,142,1.7,19.3,0,6,11.3,66.7,100.0,8.1,5.4,0,5,9.8,71.8,1,38,16.3,7,4,79.4,34,291,56.4,291,10,30,51,0,366,113,1.3,10.8
Kamu Grugier-Hill,10842,LB,HST,10,282,0,13,0,-2.3,66.7,72.2,27.5,18.3,0,0,0.0,61.9,0,15,0.0,0,0,75.7,2,57,20.2,79,2,2,3,0,13,21,0.2,6.5,0,2,6.9,82.9,97.4,6.1,5.1,1,2,5.7,39.8,1,52,9.5,2,2,104.2,29,184,65.2,189,4,17,35,1,335,155,1.9,11.6
