player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Roderic Burns,84334,WR,N TEXAS,3,8.5,3,82.6,33.3,1,3,0,0.0,0,8,251,0,74.6,75.6,77.6,,79.0,0.0,0,1,27,0.0,0,84,0,19,95.2,80,94.0,79,87.3,23,0,4.8,4,214,92,4.8,11.3,2.68
Tanner Knue,52961,WR,E MICHIGAN,3,11.5,1,60.9,80.0,4,5,0,0.0,0,7,160,0,84.7,69.7,72.0,,72.7,1.1,1,0,20,0.0,0,95,1,14,90.5,86,20.0,19,88.0,23,1,78.9,75,114,39,2.8,8.1,1.33
Billy Kemp IV,77037,WR,NEBRASKA,4,11.4,3,56.5,33.3,1,3,0,18.8,3,6,238,0,41.3,78.6,63.1,,61.4,0.0,0,1,22,0.0,0,76,1,13,98.7,75,88.2,67,69.5,23,1,9.2,7,132,64,4.9,10.2,1.76
Noah Smith,104112,WR,SM HOUSTON,4,9.1,5,73.9,0.0,0,1,0,10.5,2,8,281,0,49.0,45.7,61.4,,60.7,1.0,1,0,24,0.0,0,100,0,17,90.0,90,80.0,80,106.8,23,1,18.0,18,158,68,4.0,9.3,1.76
Dayton Wade,97181,WR,OLE MISS,4,14.6,2,69.6,50.0,2,4,0,0.0,0,10,226,0,84.7,72.5,75.2,,73.5,0.0,0,2,43,0.0,0,119,0,16,97.5,116,17.6,21,75.9,23,0,82.4,98,303,128,8.0,18.9,2.61
Jack Hestera,154600,WR,CHARLOTTE,4,13.1,1,65.2,,0,0,0,6.3,1,9,136,0,70.9,69.5,62.9,,64.3,0.0,0,0,37,0.0,0,121,0,15,92.6,112,38.0,46,107.5,23,1,62.0,75,202,73,4.9,13.5,1.8
Ja'Tavion Sanders,144717,TE,TEXAS,4,12.2,3,52.2,25.0,1,4,0,0.0,0,9,311,0,82.2,68.5,75.5,56.3,72.7,63.3,76,0,50,10.0,12,120,0,12,88.3,106,24.2,29,108.6,23,1,11.7,14,268,175,14.6,22.3,2.53
Drake Stoops,78087,WR,OKLAHOMA,4,3.6,7,87.0,60.0,3,5,0,4.8,1,11,261,0,75.2,70.4,76.5,,76.1,1.1,1,0,35,0.0,0,95,0,20,95.8,91,90.5,86,139.0,23,3,7.4,7,181,137,6.9,9.1,1.99
Wesley Grimes,157534,WR,WAKE,4,16.5,0,43.5,33.3,3,9,0,0.0,0,8,339,0,81.5,68.2,66.8,,67.2,0.8,1,2,49,0.0,0,124,0,10,94.4,117,14.5,18,67.1,23,2,84.7,105,199,73,7.3,19.9,1.7
Anthony Queeley,77976,WR,GA SOUTHRN,4,10.0,5,69.6,60.0,3,5,0,0.0,0,11,174,0,84.2,69.5,59.3,,60.2,0.0,0,1,16,0.0,0,176,0,16,97.7,172,8.5,15,97.9,23,2,91.5,161,149,45,2.8,9.3,0.87
Devonte Ross,146735,WR,TROY,4,8.6,1,65.2,80.0,4,5,0,21.1,4,8,318,0,34.7,71.2,64.1,,64.3,0.0,0,0,38,0.0,0,72,0,15,98.6,71,41.7,30,117.3,23,2,58.3,42,176,55,3.7,11.7,2.48
Chris Lewis,146744,WR,TROY,4,17.4,0,52.2,27.3,3,11,0,7.7,1,9,318,0,67.8,68.8,72.4,,72.5,0.0,0,0,40,0.0,0,123,0,12,95.1,117,12.2,15,118.2,23,2,87.8,108,241,22,1.8,20.1,2.06
Jaelen Gill,82535,WR,FRESNO ST,4,4.7,3,90.9,66.7,2,3,0,0.0,0,10,169,0,85.9,74.3,89.1,,89.3,0.0,0,0,42,0.0,0,62,0,20,95.2,59,67.7,42,145.1,22,3,22.6,14,205,138,6.9,10.3,3.47
Max Klare,162884,TE,PURDUE,4,6.3,3,86.4,100.0,1,1,0,0.0,0,7,273,0,85.9,70.2,61.3,56.3,63.6,35.2,51,0,27,3.4,5,145,0,19,91.7,133,64.1,93,98.7,22,0,0.7,1,169,76,4.0,8.9,1.27
Malikhi Miller,101353,WR,S JOSE ST,5,12.8,1,54.5,46.2,6,13,0,0.0,0,10,285,0,82.2,68.5,62.4,,61.2,0.0,0,0,19,0.0,0,160,0,12,93.8,150,15.0,24,75.0,22,0,85.0,136,145,10,0.8,12.1,0.97
