player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Cameron Lockridge,128202,CB,FRESNO ST,8,10,10.0,3.3,169,0,81.9,1,3,1,2,0,0.2
Norey Johnson,167110,S,GRAMBLING,5,10,10.0,10.0,177,0,100.0,1,1,0,8,1,0.8
A.J. Haulcy,163349,S,NEW MEXICO,8,30,10.0,7.5,241,0,156.3,3,4,1,71,17,2.37
Brandon Perkins,142332,LB,NEW HAMP,6,10,10.0,10.0,240,0,91.7,1,1,0,6,-1,0.6
Devon Matthews,83248,S,INDIANA,11,130,10.0,8.1,190,1,85.9,13,16,0,174,62,1.34
Harrison Ochs,105935,S,BROWN,8,30,10.0,6.0,123,0,127.5,3,5,2,43,12,1.43
Tyler King,142379,LB,STNY BROOK,3,10,10.0,10.0,303,0,108.3,1,1,0,10,5,1.0
Terrell Jennings,87040,CB,ILLINOIS,4,10,10.0,3.3,187,0,46.5,1,3,0,12,8,1.2
Donovan Shelton,53522,S,INWSLY,1,10,10.0,5.0,1451,0,56.3,1,2,0,5,10,0.5
Ferlando Jordan,56179,CB,SE LA,4,10,10.0,5.0,294,0,131.3,1,2,1,23,0,2.3
Sean Williams,159301,S,DARTMOUTH,8,70,10.0,10.0,148,0,118.8,7,7,0,103,71,1.47
Kyle Arnholt,147038,LB,APP STATE,1,10,10.0,10.0,108,0,79.2,1,1,0,1,6,0.1
Chris Russell Jr.,98989,LB,TEXAS A&M,10,30,10.0,7.5,312,0,93.8,3,4,0,28,11,0.93
Cam Hart,102955,CB,NOTRE DAME,6,10,10.0,10.0,258,0,122.9,1,1,1,4,0,0.4
Ke'Shun Brown,98991,LB,S ALABAMA,8,10,10.0,5.0,288,0,56.3,1,2,0,6,5,0.6
Kamden Garrett,103561,CB,WEBER ST,5,10,10.0,2.5,342,0,41.7,1,4,0,14,3,1.4
