player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jalynnee McGee,143755,HB,PORTLAND,2,8,1,0,0.0,0,0,13,0,0,1,23,31.9,0,1,269,1,1,52.6,76.1,,34.4,57.0,49.7,83.7,7,0,9,1,14,9,0,0,2,9,0,13,23,2.88,1.6,0.64,5
Nolan Henderson,63572,QB,DELAWARE,2,5,1,0,0.0,0,0,0,0,0,0,4,0.0,1,2,151,3,0,65.3,79.1,72.8,,,37.6,60.0,15,0,0,0,0,56,13,3,0,5,1,13,13,1.63,1.6,,2
Elijah Green,122836,HB,N CAROLINA,2,8,1,0,0.0,0,0,30,0,0,1,29,45.3,0,2,245,0,0,76.4,70.1,,,,73.1,60.0,9,0,0,0,0,9,0,0,0,8,0,30,29,3.63,3.8,,8
Phil Mafah,144123,HB,CLEMSON,1,8,4,1,48.3,28,0,58,0,0,4,36,200.0,3,4,140,0,1,71.4,73.5,,55.9,65.2,71.6,54.3,28,0,1,1,2,14,0,0,1,9,0,58,36,4.5,7.3,0.5,7
Jake Constantine,40166,QB,RICE,3,5,0,0,0.0,0,0,1,0,0,0,2,0.0,0,1,275,1,2,78.7,45.0,78.7,,,65.2,60.1,9,1,0,0,0,58,19,3,0,5,0,20,6,0.75,2.5,,2
Jaire Moore,103970,HB,N COLORADO,3,8,0,0,0.0,0,0,23,0,1,0,17,23.6,0,2,253,0,3,69.3,72.8,,67.9,77.4,66.1,60.0,9,0,22,1,2,9,0,0,1,9,0,23,17,2.13,2.9,11.0,5
Thomas Duckett,103982,HB,SO UTAH,4,8,2,1,53.1,26,0,49,0,2,2,53,203.8,2,2,298,0,6,63.3,76.8,,24.1,66.7,65.9,60.0,26,0,36,5,28,9,0,0,5,13,0,49,53,6.63,6.1,1.29,2
Amir Jordan,104004,HB,ROB MORRIS,1,8,0,0,0.0,0,0,14,0,0,0,12,0.0,0,0,277,0,0,53.6,70.6,,,56.1,54.6,,4,0,0,0,4,8,0,0,0,8,0,14,12,1.5,1.8,0.0,5
Iaan Cousin,104816,HB,KENNESAW,3,8,1,2,91.7,77,1,84,1,0,1,9,11.3,2,3,200,0,2,55.5,0.0,,,53.1,71.7,52.3,54,2,16,2,18,56,0,0,4,10,1,84,9,1.13,10.5,0.89,2
Calil Wilkins,153360,HB,BOWIE ST,1,8,0,1,70.5,31,0,44,0,0,0,14,0.0,1,1,365,1,2,49.4,75.8,,77.6,62.2,42.4,58.8,31,0,15,2,26,14,0,0,4,10,0,44,14,1.75,5.5,0.58,5
Tyler Van Dyke,122225,QB,MIAMI FL,3,4,0,0,0.0,0,0,-2,0,0,0,1,0.0,2,2,220,0,1,78.5,78.3,77.6,,,63.9,60.0,24,0,0,0,0,45,46,4,0,4,1,44,9,1.13,5.5,,1
Brandon Peters,40416,QB,ILLINOIS,5,2,1,0,0.0,0,0,-3,0,0,0,0,0.0,1,3,187,1,0,56.3,82.4,53.3,,54.3,63.1,60.1,19,1,0,0,1,135,39,6,1,2,0,36,2,0.25,4.5,0.0,0
Jay Stanton,105584,HB,SAMFORD,1,8,0,0,0.0,0,0,18,0,0,0,12,0.0,0,2,282,0,1,66.6,75.4,,75.5,69.9,61.6,71.6,9,0,0,2,16,10,0,0,2,10,1,18,12,1.5,2.3,0.0,6
Keyondre White,77808,HB,HAMPTON,2,8,2,0,0.0,0,0,28,0,0,2,24,66.7,1,2,178,0,2,69.0,72.7,,73.1,62.6,68.0,59.8,10,0,7,1,5,11,0,0,1,9,0,28,24,3.0,3.5,1.4,6
Lavarey Banton,77748,HB,ALBANY,1,8,1,0,0.0,0,0,3,0,0,1,9,12.5,0,0,106,0,4,54.3,74.0,,48.5,61.9,54.3,58.2,3,0,8,1,6,13,0,0,1,9,0,3,9,1.13,0.4,1.33,4
DeCarlos Brooks,70933,HB,CAL,3,8,4,2,64.0,55,0,86,0,0,4,67,372.2,2,4,130,0,4,81.2,74.6,,76.3,55.6,86.8,60.0,38,0,7,1,16,10,0,0,1,9,0,86,67,8.38,10.8,0.44,4
Damon Horton,106513,HB,ST FRANCIS,1,8,1,0,0.0,0,0,17,0,0,1,10,12.5,0,0,299,0,0,60.0,72.6,,,67.8,58.2,60.0,7,0,13,2,10,10,0,0,2,10,0,17,10,1.25,2.1,1.3,8
C.J. Freeman,40501,HB,CAMPBELL,1,8,0,0,0.0,0,0,12,0,0,0,10,0.0,0,1,131,0,2,52.7,73.4,,37.5,55.2,54.1,,7,0,0,0,11,8,0,0,0,8,0,12,10,1.25,1.5,0.0,5
Jordan Jefferson,141676,HB,SO UTAH,3,7,4,1,48.5,16,0,33,0,0,4,30,244.9,1,3,298,0,2,68.5,73.1,,70.0,56.1,68.1,,16,0,0,0,4,8,0,0,0,7,0,33,30,4.29,4.7,0.0,5
Jalen John,131577,HB,ARIZONA,2,7,0,2,75.0,30,0,40,0,0,0,27,0.0,2,2,109,0,3,65.7,72.6,,,78.2,61.5,,15,0,21,2,7,7,0,0,2,9,0,40,27,3.86,5.7,3.0,4
J.J. McCarthy,144918,QB,MICHIGAN,4,7,3,1,48.5,16,0,33,0,0,3,17,104.1,2,4,222,1,2,88.9,76.3,77.6,,,80.6,60.0,16,0,0,0,0,43,0,0,0,7,1,33,17,2.43,4.7,,4
Bhayshul Tuten,150568,HB,NC A&T,2,7,3,1,44.4,24,0,54,0,0,3,44,269.4,1,2,246,0,7,70.7,73.8,,,58.6,69.0,60.8,24,0,0,0,2,12,0,0,1,7,0,54,44,6.29,7.7,0.0,0
Monte Pottebaum,81252,FB,IOWA,6,7,1,0,0.0,0,0,35,0,0,1,21,33.3,1,3,192,0,0,62.7,81.7,,38.1,55.0,73.6,57.5,10,1,6,2,31,91,0,0,4,9,1,35,21,3.0,5.0,0.19,3
Tuna Altahir,147591,HB,E WASHGTON,1,7,0,0,0.0,0,0,30,0,0,0,24,0.0,2,2,161,0,4,73.5,72.8,,,55.6,74.0,,11,0,0,0,7,7,0,0,0,7,1,30,24,3.43,4.3,0.0,3
Ky Thomas,129669,HB,MINNESOTA,1,7,2,1,36.4,24,0,66,0,0,2,22,89.8,2,4,225,0,4,81.4,69.4,,,,76.6,60.0,24,0,0,0,0,8,0,0,0,7,1,66,22,3.14,9.4,,3
Shacori Williams,121618,FB,ARMY,1,7,2,0,0.0,0,0,23,0,0,2,17,69.4,0,1,114,0,4,50.5,74.2,,,,52.5,56.8,9,0,0,0,0,14,0,0,0,7,0,23,17,2.43,3.3,,0
Quinton Cooley,123380,HB,WAKE,2,7,3,0,0.0,0,0,28,0,0,3,21,128.6,0,1,339,0,5,68.8,71.4,,27.5,60.0,70.0,59.6,6,0,0,0,1,10,0,0,0,7,0,28,21,3.0,4.0,0.0,2
Jordan Lowe,130626,HB,TOLEDO,2,7,1,0,0.0,0,0,31,0,0,1,12,24.5,1,1,316,0,5,66.8,70.1,,,60.0,65.6,,11,0,0,0,1,7,0,0,0,7,0,31,12,1.71,4.4,0.0,2
Jarveon Howard,77710,HB,SYRACUSE,2,7,2,1,58.8,50,0,85,0,0,2,60,244.9,2,3,304,0,2,72.1,72.6,,,57.4,71.3,60.0,50,0,0,0,3,10,0,0,0,7,0,85,60,8.57,12.1,0.0,5
Kierre Huey-Cazenave,151316,HB,NAUSTA,1,7,2,2,100.0,32,0,32,2,1,2,12,57.1,2,2,1453,0,3,52.7,77.1,,28.6,37.8,67.5,60.0,17,0,6,2,15,8,0,0,4,9,0,32,12,1.71,4.6,0.4,3
Jaxson Dart,146409,QB,USC,1,7,2,1,81.8,18,0,22,0,0,2,26,106.1,2,2,326,2,1,75.8,25.0,80.8,,,52.2,60.0,18,1,0,0,0,22,0,0,0,7,0,22,26,3.71,3.1,,3
Keonte Lucas,62010,HB,CENT CT ST,2,7,1,0,0.0,0,0,24,0,0,1,13,14.3,0,0,133,0,2,61.8,75.3,,44.7,77.2,56.9,59.2,5,0,23,6,19,11,0,0,7,13,0,24,13,1.86,3.4,1.21,5
Jeff McElveen,64415,HB,FURMAN,2,7,1,0,0.0,0,0,32,0,0,1,19,38.8,1,3,170,0,2,69.2,74.0,,,56.4,71.3,55.1,11,0,0,0,4,21,0,0,0,7,0,32,19,2.71,4.6,0.0,5
Michael Drennen II,124059,WR,KENTUCKY,6,7,1,0,0.0,0,0,17,0,0,1,17,27.0,0,1,202,0,1,59.8,75.7,,71.9,55.6,62.5,60.0,9,0,3,2,12,24,0,0,2,9,1,17,17,2.43,2.4,0.25,5
Michael Jamerson,147877,HB,CAMPBELL,1,7,1,1,60.7,17,0,28,0,0,1,16,32.7,1,2,131,0,1,60.4,73.9,,74.4,54.3,61.4,60.0,17,0,0,0,10,9,0,0,0,7,0,28,16,2.29,4.0,0.0,6
Luke Bailey,143172,QB,DRAKE,2,7,0,1,106.7,16,0,15,0,0,0,3,0.0,1,1,153,0,0,45.4,17.9,44.8,,,58.8,60.0,16,1,0,0,0,37,0,0,0,7,0,15,3,0.43,2.1,,3
Blaise Bentsen,102365,QB,HOU BAPT,1,4,1,0,0.0,0,0,-3,0,0,0,12,0.0,1,2,183,1,1,43.7,77.0,40.5,,,62.8,60.0,14,0,0,0,0,14,20,3,0,4,0,17,23,3.29,2.4,,3
Mark McCurdy,139204,WR,DAVIDSON,1,7,3,1,43.1,28,0,65,0,0,3,24,146.9,2,3,149,0,2,69.2,75.9,,67.5,53.8,71.6,68.9,28,0,0,0,8,34,0,0,0,7,1,65,24,3.43,9.3,0.0,3
Micah Smith,88654,HB,E WASHGTON,2,7,1,0,0.0,0,0,23,1,0,1,20,40.8,0,0,161,0,2,58.0,71.3,,,28.8,65.0,,7,0,0,0,5,7,0,0,1,7,0,23,20,2.86,3.3,0.0,5
Jaylen Smith,142964,HB,RHODE ISLD,1,7,1,0,0.0,0,0,36,0,0,1,13,23.2,1,0,274,0,3,66.0,72.8,,,60.2,65.5,60.0,14,0,3,1,3,9,0,0,1,8,0,36,13,1.86,5.1,1.0,4
Michael Haupert,87526,QB,INDIANA ST,2,6,1,1,74.6,44,0,59,0,0,1,6,9.1,2,2,191,0,0,77.7,76.5,,,74.5,66.8,60.9,44,0,33,5,20,15,0,1,6,11,1,59,7,1.0,8.4,1.65,6
David Adeleke,64235,HB,MORGAN ST,2,7,0,0,0.0,0,0,25,0,0,0,11,0.0,0,1,235,0,2,68.5,76.9,,77.0,71.1,64.8,68.7,8,0,34,2,18,13,0,0,2,9,0,25,11,1.57,3.6,1.89,4
Jalen Parker,121499,QB,MILES,1,6,0,0,0.0,0,0,25,0,0,0,5,0.0,2,3,386,0,2,57.8,74.2,49.3,,,63.9,60.0,25,0,0,0,0,23,25,1,0,6,1,50,7,1.0,7.1,,4
Rhyle Hanson,109090,HB,SAN DIEGO,2,7,0,0,0.0,0,0,25,0,0,0,15,0.0,1,1,283,0,3,64.6,74.5,,78.8,61.8,63.4,59.6,12,0,3,1,5,9,0,0,1,8,0,25,15,2.14,3.6,0.6,4
Benjamin Omayebu,147626,WR,IDAHO ST,4,7,4,1,81.3,39,0,48,0,1,4,50,255.1,1,1,186,0,2,68.6,78.8,,70.0,69.6,64.2,55.0,39,0,74,7,45,40,0,0,11,14,0,48,50,7.14,6.9,1.64,4
Shaq Freeman-Parks,152908,HB,WV WESLEY,1,7,0,0,0.0,0,0,4,0,1,0,4,7.1,0,0,409,0,3,56.9,0.0,,0.4,74.1,58.2,81.6,8,1,32,1,10,7,0,0,2,8,0,4,4,0.57,0.6,3.2,4
Tyger Goslin,77634,FB,NAVY,5,7,0,0,0.0,0,1,21,1,1,0,7,11.1,0,2,237,0,1,53.4,0.0,38.9,80.7,59.3,57.6,60.5,7,1,27,2,24,72,0,0,3,9,0,21,7,1.0,3.0,1.13,1
Jorden Gidrey,125267,HB,AIR FORCE,6,7,1,0,0.0,0,0,22,0,0,1,14,28.6,0,2,101,0,4,64.2,1.6,,72.5,53.4,65.1,67.9,7,1,0,0,12,127,0,0,0,7,0,22,14,2.0,3.1,0.0,2
Keegan Shoemaker,108983,QB,SM HOUSTON,2,3,2,0,0.0,0,0,-3,0,0,1,0,0.0,1,2,281,0,0,67.7,77.5,70.6,,,52.9,60.2,16,0,0,0,0,33,26,4,0,3,0,23,19,2.71,3.3,,1
Kyran Jackson,66615,HB,SM HOUSTON,2,7,1,1,39.6,19,0,48,0,0,1,23,46.9,2,4,281,0,1,74.8,73.6,,47.9,54.9,76.4,67.9,19,0,0,0,11,13,0,0,0,7,1,48,23,3.29,6.9,0.0,6
Trey Smith,27042,HB,WYOMING,3,7,1,0,0.0,0,0,14,0,0,1,18,32.1,0,2,351,0,1,57.4,72.1,,67.9,74.7,55.3,58.7,4,0,15,1,4,10,0,0,1,8,0,14,18,2.57,2.0,3.75,6
Isaac Foster,78635,HB,KENNESAW,2,7,4,0,0.0,0,0,49,0,0,4,26,185.7,1,2,200,0,2,77.8,79.4,,,61.2,75.8,75.1,14,0,13,1,11,52,0,0,1,8,0,49,26,3.71,7.0,1.18,4
Rogan Wells,149999,QB,W CAROLINA,2,2,3,1,52.1,38,0,39,0,0,1,3,75.0,3,4,344,1,1,53.0,79.7,50.9,,,62.1,60.0,38,0,0,0,0,42,34,5,0,2,1,73,15,2.14,10.4,,1
Casey Bauman,91401,QB,MONTANA ST,2,7,6,2,44.9,31,0,69,0,0,6,49,600.0,4,5,233,0,5,78.1,73.5,64.3,,,72.8,60.0,16,0,0,0,0,22,0,0,0,7,0,69,49,7.0,9.9,,2
Johnathan Lewis,60520,QB,S DAKOTA,2,7,0,0,0.0,0,0,24,0,0,0,14,0.0,0,2,291,0,7,59.2,70.1,58.9,,,59.7,60.0,7,0,0,0,0,8,0,0,0,7,0,24,14,2.0,3.4,,0
Jawon Pass,40916,QB,PRVIEW A&M,1,4,2,0,0.0,0,0,-3,0,0,0,1,0.0,1,2,270,3,1,58.4,77.3,63.8,,,46.0,60.0,29,0,0,0,0,31,44,3,0,4,0,41,11,1.57,5.9,,1
London Pearson,25151,HB,YNGTOWN ST,2,7,0,0,0.0,0,0,12,0,0,0,11,0.0,0,1,353,0,1,60.5,73.4,,72.8,54.7,62.7,57.0,5,0,0,0,10,9,0,0,0,7,0,12,11,1.57,1.7,0.0,5
Isaiah Williams,104087,HB,SO UTAH,4,7,2,2,66.7,38,0,57,0,2,2,21,75.0,3,4,298,0,1,71.9,79.4,,82.2,71.6,69.9,64.2,20,0,46,9,40,28,0,0,9,16,1,57,21,3.0,8.1,1.15,6
Jamir Barnes,142939,HB,MONMOUTH,2,7,0,0,0.0,0,0,12,0,0,0,17,0.0,0,0,231,0,5,55.8,69.7,,,,56.7,,4,0,0,0,0,7,0,0,0,7,0,12,17,2.43,1.7,,2
Jermiah Dobbins,123503,HB,ABILENE CH,1,7,3,0,0.0,0,0,14,0,0,3,15,91.8,0,0,100,0,2,65.4,74.5,,28.4,57.8,68.1,59.3,7,0,0,0,3,10,0,0,0,7,0,14,15,2.14,2.0,0.0,5
Jalin Graham,132409,HB,GARD-WEBB,2,7,0,1,44.1,15,0,34,0,0,0,24,0.0,2,2,171,0,1,62.0,73.7,,77.4,55.2,61.9,,15,0,0,0,9,7,0,0,0,7,0,34,24,3.43,4.9,0.0,6
Cade Fortin,77620,QB,USF,3,6,1,0,0.0,0,0,16,0,0,0,4,0.0,1,2,327,1,3,41.1,77.7,38.3,,54.3,59.4,60.0,11,0,0,0,1,44,6,1,0,6,0,22,7,1.0,3.1,0.0,2
D'Vonte Allen,153075,HB,STANKN,1,7,4,2,74.4,64,0,86,0,0,4,26,212.2,2,3,1455,0,4,81.1,77.8,,78.2,52.4,84.7,54.8,46,0,0,0,8,21,0,0,0,7,2,86,26,3.71,12.3,0.0,3
Aqeel Glass,60328,QB,ALAB A&M,1,7,1,0,0.0,0,0,2,0,0,1,5,10.2,0,1,104,0,1,82.6,77.8,82.6,,,62.9,60.0,9,1,0,0,0,34,0,0,0,7,1,2,5,0.71,0.3,,5
Jordan Johnson,103999,HB,ROB MORRIS,2,7,0,0,0.0,0,0,28,0,0,0,18,0.0,0,1,277,0,0,62.8,72.1,,73.4,62.1,61.9,60.0,9,0,-5,1,5,9,0,0,1,8,0,28,18,2.57,4.0,-1.0,6
Tre Turner,78006,WR,VA TECH,5,7,1,0,0.0,0,0,33,2,3,1,12,23.6,3,3,337,0,5,68.8,5.5,,,69.8,61.6,65.4,12,2,330,22,146,116,0,0,37,29,0,33,12,1.71,4.7,2.26,1
Mason Randall,91728,QB,SAN DIEGO,3,3,0,0,0.0,0,0,6,0,0,0,3,0.0,0,3,283,1,0,46.7,81.1,44.6,,60.0,62.1,60.0,6,0,0,0,1,82,19,4,0,3,1,25,3,0.43,3.6,0.0,0
Oshea Trujillo,22177,LB,IDAHO ST,3,7,4,1,46.7,21,0,45,0,0,4,46,375.5,1,2,186,0,1,81.0,73.2,,70.5,60.0,78.6,59.1,21,0,0,0,1,14,0,0,0,7,1,45,46,6.57,6.4,0.0,6
TK Marshall,125298,HB,N DAK ST,2,7,2,0,0.0,0,0,30,0,0,2,22,89.8,0,1,250,0,3,63.9,71.7,,,59.5,63.6,58.2,9,0,0,0,1,10,0,0,0,7,0,30,22,3.14,4.3,0.0,4
Brian Snead,83732,HB,AUSTINPEAY,2,7,0,0,0.0,0,0,10,0,0,0,17,0.0,0,1,116,0,6,59.7,73.0,,79.1,64.2,57.7,,6,0,0,0,10,6,0,0,0,7,0,10,17,2.43,1.4,0.0,0
Taylor Powell,60459,QB,TROY,5,3,1,0,0.0,0,0,-2,0,0,0,1,0.0,0,1,318,3,0,76.4,84.1,75.7,62.2,55.6,58.7,60.4,8,2,0,0,2,121,15,4,0,3,1,13,16,2.29,1.9,0.0,0
John Rhys Plumlee,97602,WR,OLE MISS,4,7,3,2,63.8,51,0,80,0,0,3,64,249.4,4,4,226,1,6,74.1,78.0,60.4,,64.5,79.5,61.8,34,0,48,4,26,49,0,0,6,11,0,80,64,9.14,11.4,1.85,0
Jayvaun Wilson,100587,HB,UNLV,2,7,1,0,0.0,0,0,29,0,0,1,24,49.0,1,1,325,0,7,67.5,71.4,,,60.0,66.4,60.0,13,0,0,0,1,8,0,0,0,7,0,29,24,3.43,4.1,0.0,0
Seth Morgan,103954,QB,VA MILT IN,2,5,0,0,0.0,0,0,17,0,0,0,10,0.0,0,2,336,1,2,29.8,77.7,29.2,,,57.8,60.0,8,0,0,0,0,30,9,2,0,5,1,26,21,3.0,3.7,,2
Devin Matthews,148460,HB,TOWSON,2,7,2,0,0.0,0,0,25,0,0,2,24,98.0,0,4,317,0,4,61.1,73.2,,,56.0,61.6,60.0,9,0,0,0,6,9,0,0,0,7,1,25,24,3.43,3.6,0.0,3
Daniel Richardson,97103,QB,C MICHIGAN,6,1,1,0,0.0,0,0,-7,0,0,0,0,0.0,1,1,134,1,0,70.8,58.9,72.1,,59.9,52.1,60.0,12,2,0,0,1,87,26,6,0,1,0,19,13,1.86,2.7,0.0,0
Teryn Berry,103950,QB,VALPO,1,6,0,0,0.0,0,0,20,0,0,0,12,0.0,1,1,332,2,3,31.7,76.3,31.1,,,52.4,60.0,14,1,0,0,0,27,4,1,0,6,0,24,20,2.86,3.4,,1
Samori Toure,25276,WR,NEBRASKA,7,7,1,2,57.8,37,0,64,2,1,1,13,11.3,2,5,238,1,0,76.9,85.0,,,78.4,64.7,56.1,21,0,518,26,190,156,0,0,40,33,1,64,13,1.86,9.1,2.73,6
Chris Katrenick,60365,QB,E ILLINOIS,2,4,0,0,0.0,0,0,23,0,0,0,11,0.0,2,4,158,0,2,41.6,78.0,35.9,,,67.1,60.0,14,0,0,0,0,32,20,3,0,4,0,43,14,2.0,6.1,,1
Jonathon Bolton,83605,HB,ALCORN ST,1,7,3,0,0.0,0,0,16,0,0,3,13,79.6,0,0,107,0,4,53.1,73.1,,11.1,55.1,55.7,73.6,5,0,0,0,9,8,0,0,0,7,0,16,13,1.86,2.3,0.0,3
Darius Perrantes,103934,QB,DUQUESNE,2,4,0,0,0.0,0,0,-10,0,0,0,1,0.0,1,1,155,0,1,68.9,42.4,71.6,,60.0,55.4,60.0,11,2,0,0,0,61,16,3,0,4,1,6,4,0.57,0.9,,0
Braheam Murphy,102882,HB,ARMY,5,7,0,1,64.1,25,0,39,0,0,0,14,0.0,2,2,114,0,3,68.3,78.2,,,67.0,61.3,72.4,25,0,72,2,19,131,0,0,6,9,0,39,14,2.0,5.6,3.79,2
Dan Villari,129602,QB,MICHIGAN,3,7,2,0,0.0,0,0,21,0,0,2,16,65.3,0,3,222,0,6,71.0,71.6,,,,66.5,60.0,8,0,0,0,0,16,0,0,0,7,0,21,16,2.29,3.0,,1
Jocquet Jiles,105596,HB,SAMFORD,1,7,3,0,0.0,0,0,22,0,0,3,27,165.3,0,1,282,0,3,60.9,73.2,,,54.9,62.2,,6,0,0,0,6,7,0,0,0,7,0,22,27,3.86,3.1,0.0,4
Thaddius Franklin Jr.,143940,HB,MIAMI FL,1,7,1,2,67.0,59,0,88,0,0,1,33,67.3,2,5,220,0,3,90.5,70.4,,,58.1,85.4,73.4,31,0,0,0,3,7,0,0,0,7,1,88,33,4.71,12.6,0.0,4
Jackson Waring,138217,QB,ILL STATE,3,2,2,0,0.0,0,0,-1,0,0,0,2,0.0,0,1,188,1,0,58.8,77.4,62.9,,,50.6,60.0,5,0,0,0,0,41,16,5,0,2,1,15,31,4.43,2.1,,0
Adelaziz Junior Ellis,153137,FB,STANKN,1,7,1,0,0.0,0,0,6,0,0,1,14,22.2,0,0,1455,1,3,50.6,80.0,,69.5,76.3,44.4,54.3,4,1,25,2,14,37,0,0,2,9,0,6,14,2.0,0.9,1.79,4
Rodney McKay,110417,HB,VIRUNI,1,7,0,0,0.0,0,0,26,1,0,0,12,0.0,0,1,1165,1,6,39.5,74.6,,75.1,27.3,48.9,60.0,8,0,17,3,14,8,0,0,4,10,0,26,12,1.71,3.7,1.21,1
Blake Dever,46546,QB,N ALABAMA,2,1,1,0,0.0,0,0,2,0,0,0,0,0.0,2,3,389,0,0,70.4,76.3,74.1,,,56.0,60.3,14,0,0,0,0,14,46,6,0,1,0,48,40,5.71,6.9,,1
Nykeim Johnson,61692,WR,KENT STATE,6,6,1,0,0.0,0,0,43,2,1,1,15,17.2,2,4,201,0,4,63.4,85.2,,,62.8,71.7,51.0,14,0,280,23,160,177,0,0,36,29,1,43,15,2.5,7.2,1.75,0
Ainias Smith,99207,WR,TEXAS A&M,6,6,5,0,0.0,0,0,24,3,3,5,14,58.3,0,1,312,0,1,67.8,82.6,,,70.1,71.5,34.3,8,1,285,26,179,106,0,0,42,32,0,24,14,2.33,4.0,1.59,5
Jacardia Wright,99250,HB,KANSAS ST,5,6,2,0,0.0,0,0,27,1,0,2,19,105.6,0,1,199,1,5,52.7,73.3,,72.2,28.2,57.6,66.7,9,0,0,0,3,13,0,0,0,6,0,27,19,3.17,4.5,0.0,1
Carson Strong,83524,QB,NEVADA,5,2,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,239,1,0,73.2,48.4,74.3,62.2,,48.4,60.0,5,2,0,0,0,84,16,4,0,2,0,12,1,0.17,2.0,,0
Aaron Jackson,77690,TE,E MICHIGAN,3,6,1,0,0.0,0,0,27,0,0,1,19,52.8,1,2,160,0,6,61.8,69.1,,,,60.9,60.0,13,0,0,0,0,7,0,0,0,6,0,27,19,3.17,4.5,,0
Jake Neatherton,57364,HB,OHIO,3,6,0,0,0.0,0,0,14,1,0,0,10,0.0,0,0,259,0,4,52.3,71.6,,,28.5,59.8,59.6,6,0,0,0,4,8,0,0,1,6,0,14,10,1.67,2.3,0.0,2
Kaderris Roberts,149713,HB,STETSON,1,6,3,0,0.0,0,0,23,0,0,3,19,158.3,1,1,302,0,0,58.7,74.2,,,53.4,60.0,59.9,11,0,0,0,13,10,0,0,0,6,0,23,19,3.17,3.8,0.0,6
Nkem Njoku,89466,WR,CITADEL,2,6,0,0,0.0,0,0,26,0,0,0,10,0.0,2,2,139,0,1,63.8,79.2,,,52.5,58.1,74.1,13,0,0,0,18,64,0,0,1,6,0,26,10,1.67,4.3,0.0,1
Davion Cherwin,149554,HB,DRAKE,1,6,0,0,0.0,0,0,22,0,0,0,15,0.0,1,1,153,0,0,61.5,72.1,,,59.7,61.3,60.0,12,0,0,0,1,11,0,0,0,6,0,22,15,2.5,3.7,0.0,6
Daniel Carter,99572,HB,PITTSBURGH,3,6,0,0,0.0,0,0,31,0,0,0,13,0.0,1,2,268,0,1,68.3,74.8,,,63.1,67.2,61.5,11,0,2,1,4,18,0,0,1,7,1,31,13,2.17,5.2,0.5,5
Zach Davis,57207,HB,FORDHAM,1,6,1,1,59.5,22,0,37,0,0,1,28,66.7,1,2,168,0,0,71.2,70.5,,70.3,60.8,71.5,,22,0,5,1,8,6,0,0,1,7,0,37,28,4.67,6.2,0.63,6
Nick Orlando,109004,QB,BUTLER,1,5,1,0,0.0,0,0,9,2,0,0,9,0.0,0,1,127,0,3,41.3,75.9,53.7,,42.4,55.6,60.0,8,0,15,1,10,16,8,1,3,6,0,17,17,2.83,2.8,1.5,2
Luke Zban,82147,QB,MARSHALL,2,6,1,1,35.6,16,0,45,0,0,1,17,47.2,3,3,214,0,0,58.8,73.7,53.0,,,64.6,60.0,16,0,0,0,0,16,0,0,0,6,0,45,17,2.83,7.5,,3
Delbert Mimms III,99609,HB,NC STATE,2,6,1,1,40.4,19,0,47,0,0,1,31,86.1,2,2,248,0,0,75.5,70.2,,70.8,59.8,72.7,,19,0,0,0,1,6,0,0,0,6,0,47,31,5.17,7.8,0.0,6
Brandon Robinson,82141,QB,RHODE ISLD,1,5,1,1,45.7,21,0,45,0,0,1,22,88.0,1,2,274,0,5,65.1,73.1,59.3,,,64.3,60.0,21,0,0,0,0,18,1,1,0,5,0,46,26,4.33,7.7,,0
Gaige Garcia,129576,HB,LEHIGH,1,6,0,0,0.0,0,0,17,0,0,0,19,0.0,0,0,205,0,1,61.6,72.5,,34.9,62.7,63.1,60.0,6,0,5,1,4,7,0,0,1,7,0,17,19,3.17,2.8,1.25,5
Stone Earle,123504,QB,ABILENE CH,1,5,1,1,46.2,18,0,25,0,0,1,29,116.0,2,2,100,1,5,58.4,75.8,58.3,,,58.6,60.0,18,0,0,0,0,21,14,1,0,5,0,39,32,5.33,6.5,,0
Jaetavian Toles,61738,WR,TULANE,6,6,4,1,1.5e3,15,0,1,0,6,4,19,158.3,1,1,319,1,0,58.5,85.2,,,57.0,67.1,58.5,15,0,210,14,202,103,0,0,24,20,1,1,19,3.17,0.2,1.04,0
Malik Sherrod,128189,HB,FRESNO ST,2,6,1,0,0.0,0,0,14,0,0,1,13,36.1,0,0,169,0,1,62.2,74.2,,24.1,55.9,64.4,58.6,6,0,0,0,7,12,0,0,0,6,0,14,13,2.17,2.3,0.0,5
Hunter Luepke,91319,TE,N DAK ST,2,6,1,1,28.6,20,0,70,0,0,1,35,83.3,3,4,250,0,5,89.8,76.7,,70.8,71.1,83.2,65.4,20,1,10,1,8,20,0,0,1,7,2,70,35,5.83,11.7,1.25,0
Rasean McKay,88321,QB,FL A&M,2,5,0,0,,0,0,0,0,0,0,3,0.0,0,0,164,2,2,51.4,44.2,51.6,,,58.4,60.0,7,2,0,0,0,48,0,1,0,5,0,0,3,0.5,0.0,,1
