player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Syme, Connor",150,-0.649,0.198,28,0.017,0.001,0.010,-0.019,0.063,0.006,-0.009,0.046,0.044,-0.336,2.770,"Genesis Scottish Open","The Renaissance Club"
"Samooja, Kalle",150,-0.574,-0.009,35,-0.010,0.079,0.029,0.024,0.081,-0.001,0.004,0.027,0.031,-0.349,2.814,"Genesis Scottish Open","The Renaissance Club"
"Waring, Paul",150,-0.591,0.121,38,-0.021,-0.010,0.014,0.116,-0.049,-0.005,0.002,0.056,0.052,-0.367,2.820,"Genesis Scottish Open","The Renaissance Club"
"Valimaki, Sami",150,-0.522,0.084,25,0.028,-0.016,0.013,-0.030,0.039,-0.003,0.013,0.026,0.036,-0.367,2.835,"Genesis Scottish Open","The Renaissance Club"
"Mansell, Richard",150,-0.569,0.147,28,0.016,-0.006,0.000,0.012,-0.040,-0.019,0.049,0.038,0.068,-0.371,2.803,"Genesis Scottish Open","The Renaissance Club"
"Shelton, Robby",150,-0.204,-0.147,27,0.017,0.017,0.015,-0.042,-0.040,0.011,0.009,-0.018,0.002,-0.382,2.787,"Genesis Scottish Open","The Renaissance Club"
"Horschel, Billy",150,-0.014,-0.203,36,-0.014,-0.056,-0.013,-0.033,-0.040,0.003,-0.017,-0.008,-0.022,-0.395,2.778,"Genesis Scottish Open","The Renaissance Club"
"Ryder, Sam",150,0.093,-0.147,33,-0.003,0.012,0.022,-0.327,-0.040,0.016,0.009,-0.030,-0.005,-0.395,2.773,"Genesis Scottish Open","The Renaissance Club"
"Lawrence, Thriston",150,-0.517,-0.010,26,0.022,0.021,0.024,-0.004,0.009,0.005,-0.016,0.033,0.022,-0.432,2.803,"Genesis Scottish Open","The Renaissance Club"
"Hoffman, Charley",150,-0.228,-0.193,46,-0.050,-0.071,0.009,0.072,-0.035,-0.012,0.047,0.028,0.063,-0.432,2.785,"Genesis Scottish Open","The Renaissance Club"
"Schneider, Marcel",150,-0.373,-0.035,33,-0.003,-0.002,0.007,-0.026,-0.040,0.007,-0.016,0.022,0.013,-0.460,2.781,"Genesis Scottish Open","The Renaissance Club"
"Green, Gavin",150,-0.386,0.047,29,0.011,0.022,-0.012,-0.187,-0.017,-0.009,0.077,-0.009,0.059,-0.462,2.851,"Genesis Scottish Open","The Renaissance Club"
"Baddeley, Aaron",150,-0.112,-0.052,42,-0.034,-0.048,0.000,-0.213,-0.040,0.029,0.032,-0.025,0.036,-0.462,2.792,"Genesis Scottish Open","The Renaissance Club"
"Soderberg, Sebastian",150,-0.736,0.128,32,-0.000,0.018,0.006,0.005,0.026,0.006,0.024,0.038,0.069,-0.484,2.807,"Genesis Scottish Open","The Renaissance Club"
"Molinari, Francesco",150,-0.340,0.017,40,-0.029,-0.006,-0.056,-0.027,-0.070,0.013,-0.021,0.014,0.007,-0.504,2.849,"Genesis Scottish Open","The Renaissance Club"
"Molinari, Edoardo",150,-0.547,0.022,42,-0.035,-0.075,0.029,0.022,0.085,0.016,-0.067,0.042,-0.009,-0.508,2.725,"Genesis Scottish Open","The Renaissance Club"
"Mckibbin, Tom",150,-0.761,0.057,20,0.044,0.066,0.004,0.027,-0.040,-0.015,0.030,0.074,0.089,-0.515,2.803,"Genesis Scottish Open","The Renaissance Club"
"Bradbury, Dan",150,-0.855,0.129,23,0.031,0.012,0.131,0.028,-0.040,-0.007,-0.011,0.064,0.045,-0.518,2.803,"Genesis Scottish Open","The Renaissance Club"
"Forsstrom, Simon",150,-0.625,0.070,34,-0.006,-0.042,0.032,0.007,-0.040,0.005,-0.008,0.050,0.046,-0.559,2.803,"Genesis Scottish Open","The Renaissance Club"
