"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Austin Nola","SDP","12","49","1","7","7","1","6.1%","14.3%",".071",".278",".262",".327",".333",".301",".347","98","0.1","-0.1","-0.2","0.1","15941"
"Aaron Hicks","NYY","13","46","1","4","3","1","15.2%","13.0%",".081",".290",".270",".378",".351",".329",".315","121","-0.6","0.4","-0.7","0.1","5297"
"Rhys Hoskins","PHI","14","55","1","8","4","0","20.0%","29.1%",".205",".296",".205",".364",".409",".353",".373","128","0.1","1.8","-2.3","0.1","16472"
"Gio Urshela","MIN","13","44","1","5","3","0","9.1%","11.4%",".075",".265",".250",".318",".325",".297",".344","97","-0.7","-0.9","0.6","0.1","10681"
"Patrick Wisdom","CHC","13","45","2","7","10","0","8.9%","40.0%",".275",".381",".250",".311",".525",".364",".327","135","-0.8","1.0","-1.4","0.1","13602"
"Adolis Garcia","TEX","13","57","2","9","7","2","10.5%","26.3%",".163",".212",".184",".281",".347",".280",".315","86","0.5","-0.3","-0.6","0.1","19287"
"Seth Brown","OAK","15","54","2","5","12","0","9.3%","29.6%",".188",".226",".188",".259",".375",".284",".325","92","0.5","0.0","-0.9","0.1","18171"
"Kyle Schwarber","PHI","13","57","4","9","9","0","8.8%","29.8%",".255",".133",".157",".246",".412",".297",".298","90","-0.4","-1.0","0.1","0.1","16478"
"Miguel Cabrera","DET","12","45","0","5","3","0","8.9%","26.7%",".051",".429",".308",".378",".359",".328",".315","119","-0.3","0.6","-1.2","0.1","1744"
"Harrison Bader","STL","12","43","0","4","2","1","4.7%","23.3%",".077",".276",".205",".279",".282",".262",".280","72","0.4","-1.0","0.5","0.1","18030"
"Jake Cronenworth","SDP","15","63","0","5","5","0","15.9%","19.0%",".060",".205",".160",".317",".220",".259",".357","70","0.1","-2.1","1.0","0.1","18036"
"Pete Alonso","NYM","15","65","3","9","16","0","3.1%","23.1%",".207",".310",".276",".323",".483",".354",".348","137","-1.2","1.4","-2.6","0.1","19251"
"Amed Rosario","CLE","13","56","0","5","5","1","3.6%","17.9%",".056",".318",".259",".286",".315",".271",".328","78","0.2","-1.1","0.0","0.1","15518"
"Jo Adell","LAA","13","47","2","3","4","1","2.1%","44.7%",".196",".391",".239",".255",".435",".306",".336","103","0.6","0.7","-1.6","0.1","20220"
"Tim Anderson","CHW","10","41","1","4","5","2","2.4%","17.1%",".175",".344",".300",".317",".475",".351",".384","137","0.2","1.8","-2.5","0.1","15172"
"Garrett Cooper","MIA","12","47","1","3","2","0","10.6%","31.9%",".103",".304",".205",".340",".308",".309",".336","104","0.1","0.3","-1.1","0.1","15279"
"Kris Bryant","COL","11","49","0","11","4","0","6.1%","16.3%",".093",".405",".349",".388",".442",".366",".296","125","-0.2","1.1","-2.1","0.1","15429"
"Maikel Franco","WSN","16","61","2","4","10","0","4.9%","26.2%",".158",".325",".263",".295",".421",".317",".308","104","-0.1","0.1","-1.5","0.1","12179"
"Austin Hays","BAL","13","55","0","3","3","0","10.9%","20.0%",".082",".316",".245",".327",".327",".302",".323","99","-0.3","-0.4","-0.9","0.1","19363"
"Miguel Rojas","MIA","12","45","0","3","2","0","4.4%","13.3%",".070",".216",".186",".222",".256",".206",".231","34","0.3","-3.0","1.9","0.0","7802"
"Carlos Correa","MIN","13","55","1","5","3","0","9.1%","30.9%",".100",".281",".200",".273",".300",".265",".312","74","-0.6","-2.1","0.6","0.0","14162"
"Michael A. Taylor","KCR","12","38","1","5","3","0","10.5%","15.8%",".088",".259",".235",".316",".324",".296",".280","95","0.2","0.0","-0.9","0.0","11489"
"Keibert Ruiz","WSN","12","50","0","2","4","0","0.0%","12.0%",".061",".273",".245",".240",".306",".240",".325","52","0.3","-2.4","1.1","0.0","19610"
"Tommy Pham","CIN","12","47","2","4","3","1","12.8%","25.5%",".171",".148",".146",".255",".317",".267",".355","66","0.0","-1.8","0.6","0.0","2967"
"Josh Lowe","TBR","13","48","0","6","3","1","10.4%","37.5%",".116",".320",".186",".271",".302",".253",".248","71","0.4","-1.0","-0.3","0.0","19953"
"Max Kepler","MIN","14","51","1","4","3","1","11.8%","17.6%",".093",".212",".186",".314",".279",".284",".367","88","-0.1","-0.8","-0.7","0.0","12144"
"Pavin Smith","ARI","13","47","0","3","1","0","14.9%","21.3%",".053",".345",".263",".383",".316",".328",".385","110","0.1","0.6","-1.9","0.0","19892"
"Jose Abreu","CHW","12","49","1","8","4","0","10.2%","24.5%",".136",".258",".205",".286",".341",".287",".418","91","0.5","0.0","-1.5","0.0","15676"
"Willy Adames","MIL","14","59","1","8","3","0","13.6%","30.5%",".098",".250",".176",".288",".275",".267",".344","70","-1.2","-3.2","1.4","0.0","15986"
"Tyler O'Neill","STL","12","52","1","8","7","1","11.5%","19.2%",".091",".229",".205",".288",".295",".268",".311","76","0.1","-1.3","-0.3","0.0","15711"
"Cesar Hernandez","WSN","16","72","0","9","2","0","2.8%","20.8%",".043",".278",".217",".250",".261",".234",".281","47","1.2","-3.0","0.8","0.0","10556"
