"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Lucas Giolito","CHW","0","0","0","1","1","4.0","13.50","4.50","0.00",".143","100.0%","14.3%","0.0%","93.7","0.00","3.47","1.54","3.18","0.2","15474"
"Daulton Jefferies","OAK","1","2","0","3","3","15.1","5.28","1.76","0.59",".239","89.7%","45.7%","5.6%","93.6","1.17","4.28","3.69","4.38","0.2","19345"
"Josh Fleming","TBR","0","1","0","1","1","3.1","16.20","2.70","0.00",".636","37.5%","72.7%","0.0%","91.9","8.10","","0.34","1.52","0.2","20418"
"Framber Valdez","HOU","1","1","0","3","3","14.0","7.71","6.43","0.00",".308","69.6%","74.4%","0.0%","93.2","4.50","3.08","3.68","3.77","0.2","17295"
"Luis Garcia","HOU","1","0","0","2","2","9.2","7.45","2.79","0.93",".192","78.9%","25.9%","5.9%","94.9","2.79","3.92","3.66","4.62","0.2","23735"
"Adrian Houser","MIL","0","2","0","2","2","9.1","6.75","5.79","0.00",".286","78.6%","35.7%","0.0%","94.9","2.89","4.65","3.47","4.73","0.2","12718"
"Michael Pineda","DET","1","0","0","1","1","5.0","3.60","0.00","0.00",".188","100.0%","37.5%","0.0%","91.2","0.00","3.19","2.24","4.60","0.2","5372"
"Julio Urias","LAD","1","1","0","3","3","12.0","8.25","4.50","0.75",".242","61.6%","35.3%","6.3%","92.8","3.00","3.21","4.04","4.70","0.2","14765"
"Kyle Hendricks","CHC","0","1","0","3","3","13.1","11.48","6.08","0.68",".432","70.3%","42.1%","9.1%","87.2","6.08","4.84","3.71","3.82","0.2","12049"
"Matt Manning","DET","0","0","0","2","2","8.0","4.50","0.00","1.13",".208","87.0%","52.0%","14.3%","94.0","2.25","4.11","3.66","3.18","0.2","20369"
"Kyle Freeland","COL","0","2","0","3","3","14.0","6.43","3.21","0.64",".388","60.2%","50.0%","9.1%","91.9","7.71","4.81","4.25","4.35","0.2","16256"
"MacKenzie Gore","SDP","1","0","0","2","2","10.1","8.71","3.48","0.87",".240","93.8%","46.2%","11.1%","95.5","1.74","3.49","3.52","3.41","0.1","22201"
"Josiah Gray","WSN","2","1","0","3","3","14.1","11.30","4.40","1.26",".333","87.2%","22.6%","13.3%","93.5","3.14","3.69","4.01","3.57","0.1","24580"
"Freddy Peralta","MIL","0","1","0","3","3","12.0","12.00","6.00","0.75",".387","58.3%","43.8%","12.5%","93.1","7.50","4.90","3.70","3.50","0.1","18679"
"J.P. Feyereisen","TBR","0","0","0","1","1","2.0","13.50","0.00","0.00",".000","100.0%","0.0%","0.0%","92.8","0.00","","0.04","2.00","0.1","16610"
"Cal Quantrill","CLE","1","0","0","2","2","9.2","3.72","3.72","0.00",".194","63.6%","30.0%","0.0%","93.1","3.72","4.68","3.76","5.66","0.1","19312"
"Taijuan Walker","NYM","0","0","0","1","1","2.0","18.00","0.00","0.00",".000","100.0%","50.0%","0.0%","94.1","0.00","0.01","-0.96","-0.31","0.1","11836"
"Chris Flexen","SEA","1","2","0","3","3","17.1","5.71","2.08","1.04",".264","75.6%","33.3%","7.7%","92.0","3.63","6.11","3.96","4.43","0.1","13896"
"Tyler Gilbert","ARI","0","1","0","1","1","5.2","4.76","1.59","0.00",".167","75.0%","47.1%","0.0%","90.3","1.59","4.33","2.51","3.66","0.1","17964"
"Mitch Keller","PIT","0","3","0","3","3","13.0","10.38","3.46","1.38",".385","67.7%","53.7%","16.7%","96.6","6.23","2.79","3.88","3.09","0.1","17594"
"Jameson Taillon","NYY","1","1","0","3","3","14.2","7.98","0.61","1.84",".286","93.2%","43.2%","17.6%","94.0","3.07","3.97","4.13","2.99","0.1","11674"
"Anthony DeSclafani","SFG","0","1","0","3","3","13.1","8.78","1.35","1.35",".444","72.1%","38.3%","10.5%","92.9","6.08","3.82","3.71","3.63","0.1","13050"
"Martin Perez","TEX","0","2","0","2","2","8.0","7.88","4.50","0.00",".462","61.1%","50.0%","0.0%","93.0","6.75","2.97","3.54","4.52","0.1","6902"
"Alek Manoah","TOR","2","0","0","2","2","12.0","9.75","4.50","0.75",".154","94.3%","48.1%","9.1%","93.9","1.50","2.38","3.70","3.82","0.1","26410"
"Chris Archer","MIN","0","0","0","2","2","8.1","8.64","3.24","1.08",".227","92.1%","39.1%","7.7%","93.6","2.16","3.47","3.76","4.24","0.1","6345"
"Erick Fedde","WSN","1","1","0","3","3","13.1","9.45","3.38","1.35",".366","57.3%","37.2%","15.4%","","6.75","5.46","4.01","3.34","0.1","17425"
"Alex Wood","SFG","1","0","0","2","2","9.1","10.61","2.89","0.96",".333","94.8%","40.0%","12.5%","92.5","1.93","3.82","3.36","3.09","0.1","13781"
"Spenser Watkins","BAL","0","0","0","2","2","8.0","2.25","4.50","0.00",".207","50.0%","44.8%","0.0%","92.8","2.25","4.78","4.04","5.84","0.1","17489"
"Ranger Suarez","PHI","1","0","0","3","3","12.1","6.57","5.11","0.73",".333","77.7%","54.8%","8.3%","93.5","4.38","4.06","4.34","4.56","0.1","17277"
"Corey Kluber","TBR","0","1","0","3","3","14.2","7.36","3.07","1.23",".356","84.2%","42.6%","11.1%","90.8","3.68","4.48","4.20","4.03","0.1","2429"
"Justin Steele","CHC","1","1","0","3","3","12.0","7.50","4.50","0.75",".314","72.3%","47.2%","9.1%","93.1","4.50","3.49","3.95","4.07","0.1","17312"
"Casey Mize","DET","0","1","0","2","2","10.0","3.60","1.80","0.90",".316","66.2%","36.8%","5.6%","94.0","5.40","5.60","4.14","5.20","0.1","20492"
"Walker Buehler","LAD","1","1","0","3","3","15.2","6.32","3.45","1.15",".306","79.2%","41.2%","10.0%","95.2","4.02","5.60","4.44","4.46","0.1","19374"
"Jake Odorizzi","HOU","0","2","0","3","3","9.0","5.00","7.00","0.00",".444","50.0%","28.6%","0.0%","92.6","9.00","6.11","4.59","6.49","0.1","6397"
"Eduardo Rodriguez","DET","0","1","0","3","3","13.2","7.90","3.95","1.32",".268","37.0%","31.0%","9.5%","92.4","5.27","4.56","4.50","4.61","0.1","13164"
"Sammy Long","SFG","0","0","0","1","1","2.0","4.50","0.00","0.00",".286","100.0%","28.6%","0.0%","94.6","0.00","","2.04","4.66","0.1","25379"
"Patrick Corbin","WSN","0","3","0","4","4","13.2","9.88","7.24","0.66",".489","54.9%","42.6%","6.7%","91.0","11.20","5.16","4.43","4.92","0.1","9323"
"Jordan Hicks","STL","0","1","0","1","1","3.0","9.00","6.00","0.00",".286","75.0%","85.7%","0.0%","","3.00","","3.04","3.47","0.0","19618"
"Reid Detmers","LAA","0","1","0","3","3","12.1","8.76","2.92","1.46",".294","56.3%","47.2%","15.4%","93.4","6.57","4.45","4.42","3.69","0.0","27468"
"Chris Ellis","BAL","0","0","0","1","1","4.1","4.15","6.23","0.00",".267","100.0%","53.3%","0.0%","93.2","0.00","3.26","4.19","5.70","0.0","16125"
"Nabil Crismatt","SDP","0","0","0","1","1","3.0","12.00","9.00","0.00",".200","100.0%","80.0%","0.0%","89.9","0.00","","3.37","3.81","0.0","17732"
"Eric Lauer","MIL","1","0","0","2","2","10.1","8.71","2.61","1.74",".214","73.2%","28.6%","11.8%","94.2","3.48","3.38","4.49","4.13","0.0","19316"
"Humberto Castellanos","ARI","0","0","0","1","1","4.0","2.25","6.75","0.00",".083","100.0%","8.3%","0.0%","88.9","0.00","","4.79","7.74","0.0","21183"
"Michael Wacha","BOS","1","0","0","3","3","14.1","7.53","4.40","1.26",".114","98.0%","40.5%","14.3%","93.3","1.88","3.15","4.64","4.11","0.0","14078"
"Jimmy Lambert","CHW","0","2","0","2","2","6.2","8.10","4.05","1.35",".286","69.8%","45.5%","12.5%","93.5","5.40","3.13","4.54","4.16","0.0","19541"
"Luis Cessa","CIN","0","0","0","1","1","1.0","0.00","0.00","0.00",".714","40.0%","57.1%","0.0%","95.7","27.00","","3.04","4.35","0.0","13345"
"Ian Anderson","ATL","1","1","0","2","2","8.1","8.64","6.48","1.08",".190","52.1%","40.9%","14.3%","93.6","6.48","3.02","4.84","4.38","0.0","19951"
"Matt Wisler","TBR","0","0","0","1","1","1.2","0.00","5.40","0.00",".000","100.0%","20.0%","0.0%","","0.00","","4.84","7.20","0.0","12804"
"Luis Patino","TBR","0","1","0","1","1","0.2","0.00","0.00","0.00",".333","0.0%","33.3%","0.0%","95.6","13.50","2.29","3.04","5.00","0.0","22815"
"Vince Velasquez","CHW","0","1","0","2","2","8.2","7.27","6.23","1.04",".231","69.0%","30.8%","8.3%","93.3","4.15","7.31","5.00","5.31","0.0","11189"
"Drew Rasmussen","TBR","0","1","0","3","3","12.0","6.75","2.25","1.50",".263","68.2%","35.0%","13.3%","96.2","5.25","5.60","4.70","4.18","0.0","25385"
"Aaron Civale","CLE","0","1","0","2","2","7.1","9.82","4.91","1.23",".318","43.1%","36.4%","9.1%","90.1","6.14","3.84","4.67","4.87","0.0","19479"
"Jose Quintana","PIT","0","1","0","3","3","14.0","5.14","5.14","0.64",".286","76.5%","44.2%","7.1%","90.9","3.86","5.64","4.54","4.92","0.0","11423"
"German Marquez","COL","0","0","0","3","3","17.1","6.75","1.56","2.08",".309","81.5%","52.5%","25.0%","95.6","4.67","5.09","5.06","3.27","0.0","15038"
"Hunter Greene","CIN","1","2","0","3","3","13.2","10.54","3.95","1.98",".286","69.6%","28.9%","15.8%","99.3","5.27","3.77","5.09","4.05","0.0","22182"
"Michael Lorenzen","LAA","1","1","0","2","2","9.1","8.68","1.93","1.93",".174","64.5%","56.0%","20.0%","96.0","4.82","3.06","4.86","3.48","0.0","14843"
"Yu Darvish","SDP","1","1","0","3","3","14.1","8.16","3.77","1.26",".256","58.1%","29.3%","11.1%","95.0","6.28","5.00","4.71","4.54","0.0","13074"
"Austin Gomber","COL","0","1","0","2","2","9.0","6.00","6.00","1.00",".367","60.2%","38.7%","8.3%","91.3","7.00","5.53","5.15","5.45","0.0","16561"
"Vladimir Gutierrez","CIN","0","3","0","3","3","13.0","6.23","6.23","0.69",".316","73.2%","38.5%","5.3%","92.4","5.54","4.39","5.65","6.57","0.0","19278"
"Reiver Sanmartin","CIN","0","2","0","2","2","7.2","7.04","7.04","1.17",".423","48.2%","40.7%","16.7%","89.0","11.74","","5.52","4.85","0.0","19754"
"Carlos Hernandez","KCR","0","0","0","2","2","8.2","1.04","3.12","1.04",".361","64.1%","52.8%","7.7%","95.8","7.27","7.72","5.35","5.81","0.0","22713"
"Eli Morgan","CLE","0","1","0","1","1","3.0","15.00","6.00","3.00",".000","62.5%","20.0%","33.3%","91.1","6.00","","6.04","3.02","-0.1","20203"
"Madison Bumgarner","ARI","0","1","0","3","3","13.0","6.23","6.92","0.69",".189","84.3%","33.3%","5.6%","91.1","1.38","4.28","4.96","5.78","-0.1","5524"
"Jose Urquidy","HOU","1","1","0","2","2","9.0","4.00","1.00","2.00",".313","58.8%","24.2%","11.1%","94.0","7.00","7.35","5.37","5.10","-0.1","18413"
"Yusei Kikuchi","TOR","0","1","0","2","2","8.1","5.40","5.40","1.08",".269","77.6%","59.3%","14.3%","95.5","3.24","4.33","5.20","4.74","-0.1","20633"
"Dane Dunning","TEX","0","1","0","3","3","12.2","9.95","4.97","1.42",".405","76.6%","51.3%","25.0%","","5.68","6.50","4.77","3.55","-0.1","19409"
"Matt Bush","TEX","0","0","0","1","1","1.0","27.00","0.00","9.00",".000","100.0%","0.0%","100.0%","96.4","9.00","","10.04","-1.65","-0.1","1246"
"Marcus Stroman","CHC","0","2","0","3","3","13.1","9.45","4.05","2.03",".333","44.9%","50.0%","30.0%","93.1","8.78","4.30","5.21","3.27","-0.1","13431"
"Jon Gray","TEX","0","1","0","2","2","9.0","8.00","3.00","2.00",".182","41.7%","45.8%","25.0%","95.0","7.00","3.92","5.48","3.76","-0.1","14916"
"Taylor Hearn","TEX","0","1","0","3","3","10.2","11.81","5.06","1.69",".471","73.3%","44.1%","25.0%","94.3","7.59","6.46","5.10","3.65","-0.1","18325"
"Rich Hill","BOS","0","1","0","2","2","9.0","6.00","3.00","2.00",".310","62.5%","25.8%","11.1%","88.3","7.00","4.30","5.59","5.33","-0.1","4806"
"Dallas Keuchel","CHW","1","1","0","2","2","6.0","7.50","1.50","3.00",".467","28.2%","59.4%","40.0%","","15.00","4.42","6.20","2.96","-0.1","9434"
"Tyler Wells","BAL","0","2","0","3","3","8.0","6.75","4.50","2.25",".346","75.8%","40.7%","18.2%","94.6","6.75","6.71","6.66","5.21","-0.1","20000"
"JT Brubaker","PIT","0","2","0","3","3","12.1","9.49","6.57","1.46",".257","46.5%","35.1%","11.1%","93.9","7.30","4.33","5.23","5.03","-0.1","17578"
"Sonny Gray","MIN","0","1","0","2","2","6.1","7.11","4.26","2.84",".176","76.9%","36.8%","20.0%","91.3","5.68","5.60","6.99","4.95","-0.1","12768"
"Kris Bubic","KCR","0","1","0","2","2","5.0","7.20","14.40","0.00",".357","53.8%","57.1%","0.0%","91.1","10.80","6.34","6.24","7.02","-0.1","21455"
"Jose Suarez","LAA","0","1","0","2","2","8.2","5.19","7.27","1.04",".231","71.4%","25.9%","9.1%","92.5","5.19","7.72","5.81","5.97","-0.1","19911"
"Zack Wheeler","PHI","0","2","0","2","2","7.2","7.04","4.70","1.17",".346","57.7%","37.0%","12.5%","94.9","9.39","5.19","5.91","5.58","-0.1","10310"
"Hyun-Jin Ryu","TOR","0","0","0","2","2","7.1","6.14","2.45","2.45",".346","19.6%","53.6%","22.2%","89.5","13.50","5.19","6.04","4.10","-0.1","14444"
"Nathan Eovaldi","BOS","1","0","0","3","3","14.2","11.66","1.84","3.07",".297","100.0%","42.9%","33.3%","97.0","3.68","4.54","5.70","2.61","-0.1","9132"
"Matt Brash","SEA","1","1","0","2","2","10.2","9.28","5.91","1.69",".190","89.3%","60.9%","40.0%","96.3","3.38","5.16","5.66","3.84","-0.1","25756"
"Zach Thompson","PIT","0","1","0","2","2","8.0","9.00","5.63","2.25",".360","60.6%","29.6%","18.2%","92.9","9.00","6.96","6.16","4.71","-0.1","16094"
"Daniel Lynch","KCR","1","1","0","2","2","10.0","8.10","1.80","2.70",".333","84.7%","30.3%","16.7%","94.2","5.40","4.30","6.04","4.50","-0.1","21537"
