player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Hardy, Nick",150,kft,117,18,232,10,0.20420418315474498
"Frittelli, Dylan",150,pga,118,-2,158,0,0.197705222696901
"Stricker, Steve",150,champ,119,-1,9999,0,0.19029241496024102
"Thompson, Michael",150,pga,120,-1,230,1,0.188508621716559
"English, Harris",150,pga,121,-1,42,-1,0.178427227806225
"Poulter, Ian",150,pga,122,4,108,0,0.17538041134098098
"Molinari, Francesco",150,pga,123,-2,160,0,0.17090852945496
"Korhonen, Mikko",150,euro,124,-2,218,3,0.166709408834602
"List, Luke",150,pga,125,-14,72,1,0.164102544089542
"Duncan, Tyler",150,pga,126,-3,366,-11,0.16078498568423097
"Kim, Michael",150,pga,127,5,380,8,0.158911300574807
"Van Rooyen, Erik",150,pga,128,-3,84,-5,0.14992820967746698
"Macintyre, Robert",150,euro,129,-2,109,-2,0.14520137908522399
"Ortiz, Carlos",150,pga,130,-2,144,-2,0.143400564067681
"Otaegui, Adrian",150,euro,131,-2,156,-2,0.13908340779856398
"Arnaus, Adri",150,euro,132,-1,67,-1,0.128485859430599
"Lawrence, Thriston",150,euro,133,18,131,1,0.120300163916294
"Straka, Sepp",150,pga,134,32,43,0,0.111814991787275
"Shinkwin, Callum",150,euro,135,-1,151,2,0.108591027271231
"Huh, John",150,pga,136,0,149,0,0.0965054950704799
"Whaley, Vincent",150,pga,137,0,264,-5,0.0952649434570014
"Schenk, Adam",150,pga,138,0,169,-3,0.0895063887577328
"Scrivener, Jason",150,euro,139,24,173,5,0.0801079973318869
"Bjork, Alexander",150,euro,140,-1,166,4,0.0768239321699746
"Lower, Justin",150,kft,141,15,361,3,0.0751346921848104
"Hughes, Mackenzie",150,pga,142,-9,77,-2,0.0716713759313299
"Wolff, Matthew",150,pga,143,-1,94,-4,0.0664777035280899
"Hahn, James",150,pga,144,0,258,-6,0.0657711632097688
"Schwartzel, Charl",150,pga,145,0,124,-3,0.0642704141875265
"Langasque, Romain",150,euro,146,0,254,0,0.0552765054341296
"Perez, Victor",150,euro,147,14,102,-2,0.0500235921816441
"Harding, Justin",150,euro,148,-5,129,-2,0.0464486206043606
"Glover, Lucas",150,pga,149,-35,83,-1,0.0424318467409616
"Ryder, Sam",150,pga,150,-2,268,-5,0.0395383842013796
"Yuan, Yechun",150,kft,151,-21,119,-4,0.0335629710354042
"Westwood, Lee",150,pga,152,-3,101,-3,0.0315356782902947
"Malnati, Peter",150,pga,153,-3,294,-2,0.0313439493333612
"Lee, Min Woo",150,euro,154,22,68,0,0.0285317645596157
"Cink, Stewart",150,pga,155,-3,103,-2,0.0247174538051776
"Gotterup, Chris",150,am,156,19,439,22,0.0232589868904772
"Wu, Brandon",150,pga,157,-4,201,0,0.0205562691425808
"Armitage, Marcus",150,euro,158,-4,202,-3,0.0188195620644767
"Sabbatini, Rory",150,pga,159,10,195,2,0.015782520354486
"Pan, C.T.",150,pga,160,-5,161,-5,0.0119514982355376
