"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","ownership","total_pts","date","tournament"
"88","Andrew Novak",22992000,6600,52.97,0.0022,0.0019,94,-3e-04,-0.1364,39.82,0.3,63.5,19.5,0.3449,0.0017,0.0917,0.0483,0.0162,0.0051,0.0024,6e-04,100,0.29,0.001,25,"2022-06-19","US Open"
"89","Brian Stuard",22992001,6600,46.36,NA,NA,109,NA,NA,37.97,0.28,62.5,19,0.2742,8e-04,0.0536,0.0254,0.0072,0.0025,0.0011,1e-04,100,NA,0.0016,21.5,"2022-06-19","US Open"
"90","Sam Horsfield",22992002,6600,76.9,0.0035,0.0035,65,0,0,45.55,0.93,68.5,21.5,0.4891,0.0047,0.2062,0.1271,0.0556,0.025,0.0134,0.004,100,0.53,0.0126,19.5,"2022-06-19","US Open"
"91","Martin Kaymer",22992003,6600,31.75,NA,NA,110,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-19","US Open"
"92","Grayson Murray",22992004,6600,53.91,NA,NA,111,NA,NA,32.44,0.23,57,17.5,0.3273,0.0032,0.0772,0.0392,0.0129,0.0047,0.0023,5e-04,63,NA,9e-04,40.5,"2022-06-19","US Open"
"93","Joel Dahmen",22992005,6600,62.08,0.0035,0.0031,74,-4e-04,-0.1143,40.85,1.4,64,20,0.4892,0.0063,0.1872,0.1109,0.0451,0.0186,0.0092,0.0024,10,0.47,0.0223,59.5,"2022-06-19","US Open"
"94","Guido Migliozzi",22992006,6600,39.41,0.0028,0.0028,79,0,0,36.22,0.66,60.5,18.5,0.2396,0.0016,0.0366,0.0165,0.0045,0.0011,4e-04,0,14,0.42,0.0028,64,"2022-06-19","US Open"
"95","Satoshi Kodaira",22992007,6600,46.42,NA,NA,112,NA,NA,37.4,0.27,61.5,19,0.2695,0.0023,0.0464,0.0204,0.0055,0.0016,6e-04,1e-04,100,NA,6e-04,22.5,"2022-06-19","US Open"
"96","Chris Gotterup",23043249,6600,55,0.0022,0.0019,94,-3e-04,-0.1364,21.12,0.79,46.46,11.62,0.3922,0.004,0.1143,0.0615,0.0232,0.0085,0.0043,0.001,43,0.29,NA,NA,"2022-06-19","US Open"
"97","David Lingmerth",23043253,6600,48.41,NA,NA,113,NA,NA,35.21,0.22,59.5,18.5,0.2972,0.002,0.0603,0.03,0.009,0.0023,9e-04,1e-04,49,NA,0.0011,43.5,"2022-06-19","US Open"
"98","Yannik Paul",22992008,6500,62.29,0.0022,0.0019,94,-3e-04,-0.1364,37.41,0.29,61,19,0.3088,0.0013,0.0707,0.035,0.0106,0.0036,0.0016,3e-04,100,0.29,0.0041,13.5,"2022-06-19","US Open"
"99","Thorbjorn Olesen",22992009,6500,57.85,0.0022,0.0019,94,-3e-04,-0.1364,39.21,0.7,62.5,19.5,0.322,0.0014,0.0804,0.0408,0.0144,0.005,0.0025,7e-04,100,0.29,0.0043,16,"2022-06-19","US Open"
"100","Kalle Samooja",22992010,6500,55.35,NA,NA,114,NA,NA,39.92,0.23,64,20,0.3376,0.0029,0.0752,0.0381,0.0117,0.0042,0.0018,4e-04,100,NA,0.0012,27,"2022-06-19","US Open"
"101","Rikuya Hoshino",22992011,6500,51.25,0.0022,0.0019,94,-3e-04,-0.1364,31.57,0.24,55.5,17.5,0.3969,0.0021,0.1226,0.0672,0.0245,0.0086,0.0043,0.0011,100,0.29,0.0017,20,"2022-06-19","US Open"
"102","Jediah Morgan",22992012,6500,15.5,NA,NA,115,NA,NA,24.86,0.09,38.85,14.5,0.0551,0,0.0016,4e-04,1e-04,0,0,0,100,NA,0,11.5,"2022-06-19","US Open"
"103","James Piot",22992013,6500,18.7,NA,NA,116,NA,NA,22.97,0.1,28.5,14,0.1054,7e-04,0.0062,0.0022,5e-04,1e-04,1e-04,0,100,NA,4e-04,19,"2022-06-19","US Open"
"104","Wil Besseling",22992014,6500,54.65,0.0022,0.0019,94,-3e-04,-0.1364,39.94,0.23,64.5,19.5,0.4018,0.0041,0.1187,0.0648,0.0218,0.0077,0.0038,0.001,56,0.29,0.0015,35.5,"2022-06-19","US Open"
