"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","X.Drafted","FPTS","date","tournament"
"48","Graeme McDowell",22311761,7100,48.54,0.0065,0.0036,92,-0.0029,-0.4462,37.35,3.9,63.5,20.5,0.51,1,-0.5,5.82,10,0.0212,69,"2022-04-28","Mexico Open"
"49","Kurt Kitayama",22311762,7100,48.08,0.0066,0.0057,68,-9e-04,-0.1364,51.42,2.5,75.5,24,0.8,1,-0.21,8.23,10,0.0239,112,"2022-04-28","Mexico Open"
"50","Nick Taylor",22311763,7100,56.25,0.0082,0.0095,36,0.0013,0.1585,54.46,8.6,76.5,24.93,1.34,1,0.33,13.1,20,0.0649,31.5,"2022-04-28","Mexico Open"
"51","Danny Lee",22311764,7100,52,0.0093,0.0115,28,0.0022,0.2366,48.93,7.9,74,23.5,1.62,1,0.61,15.42,25,0.0402,23.5,"2022-04-28","Mexico Open"
"52","Chase Seiffert",22311765,7100,61.43,0.0078,0.0071,54,-0.000699999999999999,-0.0897,56.66,6.8,78,25.5,1,1,-0.01,8.67,15,0.0775,29.5,"2022-04-28","Mexico Open"
"53","Joseph Bramlett",22311766,7100,51.26,0.0081,0.0089,40,8e-04,0.0988,53.99,10.9,78,24.5,1.25,1,0.24,11.88,25,0.0582,35,"2022-04-28","Mexico Open"
"54","Peter Uihlein",22311768,7000,60.54,0.0058,0.0059,64,1e-04,0.0172,46.86,6.6,72,23,0.84,1,-0.1,10.13,15,0.0563,28,"2022-04-28","Mexico Open"
"55","Andrew Putnam",22311769,7000,56.06,0.0103,0.0058,66,-0.0045,-0.4369,50.66,1.8,74.5,24,0.83,1,-0.11,2.83,5,0.0267,29,"2022-04-28","Mexico Open"
"56","John Huh",22311770,7000,56.96,0.006,0.0056,70,-4e-04,-0.0667,50.78,1.9,74.5,23.5,0.8,1,-0.14,9.14,10,0.019,68.5,"2022-04-28","Mexico Open"
"57","Matt Wallace",22311771,7000,41.25,0.0053,0.0044,80,-9e-04,-0.1698,44.26,0.94,70,22,0.63,1,-0.31,8.26,10,0.0136,75,"2022-04-28","Mexico Open"
