RK,TEAM,CONF,ADJOE,ADJDE,BARTHAG,PROJ. REC,,RET MINS,RPMS,TALENT,EXP.,TRANS.
198,Cal Baptist,WAC,104.2,106.2,0.4466,19-12,8-Oct,87.50%,81.60%,19.3,2.57,246
199,Bryant,NEC,104.6,106.6,0.4444,17-13,7-Nov,75.30%,72.40%,3.8,2.54,152
200,Duquesne,A10,97.3,99.3,0.4429,13-16,11-Jul,33.00%,20.20%,13.7,2.01,253
201,Portland St.,BSky,102.1,104.2,0.4399,16-12,8-Dec,55.60%,41.20%,0,2.71,330
202,Penn,Ivy,96.7,98.8,0.4359,14-13,5-Sep,35.40%,33.80%,0,1.43,124
203,Elon,CAA,101.8,104.3,0.432,15-14,8-Oct,72.00%,67.30%,7.4,2.04,90
204,VMI,SC,102.8,105.3,0.4308,18-13,9-Sep,72.70%,63.30%,0,1.58,0
205,LIU Brooklyn,NEC,98.9,101.3,0.4297,16-13,7-Nov,64.00%,64.40%,14.3,2.23,110
206,Prairie View A&M,SWAC,97.5,100,0.4283,15-16,13-5,72.00%,68.40%,11.5,2.8,180
207,Milwaukee,Horz,101.2,103.8,0.4277,16-14,10-Dec,50.90%,50.70%,30,1.77,117
208,Longwood,BSth,99.8,102.6,0.422,19-11,6-Oct,62.60%,59.70%,7.2,2.11,148
209,Morgan St.,MEAC,104.7,107.6,0.4214,20-10,3-Nov,73.30%,71.20%,13.4,2.94,163
210,Lipscomb,ASun,103.1,106,0.4208,17-14,7-Sep,68.80%,65.70%,2.2,2.09,79
211,Coastal Carolina,SB,101.2,104,0.4208,16-12,9-Sep,79.10%,70.10%,5.5,2.58,174
212,Princeton,Ivy,98.9,101.7,0.4196,16-10,5-Sep,61.40%,56.80%,13.9,1.28,0
213,Fairfield,MAAC,99.1,102.2,0.4134,16-15,10-Oct,99.40%,99.70%,1.6,2.49,0
214,Rider,MAAC,104,107.3,0.4128,14-15,10-Oct,75.80%,73.60%,4.6,2.52,235
215,Georgia,SEC,100.1,103.2,0.4123,20-Oct,14-Apr,21.40%,12.60%,28,1.8,191
216,Utah Valley,WAC,100.3,103.4,0.4121,15-15,10-Aug,69.80%,64.10%,19.3,2.51,122
217,UMKC,Sum,100.1,103.3,0.4105,17-13,8-Oct,59.70%,41.30%,4.7,2.17,144
218,Harvard,Ivy,97.9,101.2,0.408,16-11,5-Sep,30.70%,36.40%,49.4,1.04,0
219,Quinnipiac,MAAC,97.4,100.6,0.4063,15-14,10-Oct,84.30%,87.30%,6.5,2.03,83
220,Montana St.,BSky,101.6,105,0.4057,19-13,9-Nov,92.00%,90.60%,11,2.47,102
221,Cal St. Fullerton,BW,104.4,107.9,0.4052,16-16,10-Oct,79.30%,74.90%,13.5,2.23,123
222,UT Arlington,SB,97.5,100.9,0.4034,13-17,9-Sep,54.50%,34.20%,0,2.16,138
223,Oakland,Horz,103,106.6,0.4021,13-16,10-Dec,62.10%,61.10%,13.1,1.89,98
224,Gardner Webb,BSth,101,104.6,0.3991,16-13,7-Sep,60.50%,54.90%,8.4,1.71,53
225,Mount St. Mary's,NEC,98.8,102.4,0.3978,16-15,8-Oct,79.30%,70.90%,0.5,2.24,92
226,UC Davis,BW,99.4,103.2,0.3936,15-15,11-Sep,76.00%,76.40%,0,2.12,44
227,Fort Wayne,Horz,103.7,107.7,0.3935,16-15,11-Nov,77.40%,76.70%,0,2.62,146
228,Hartford,AE,98.7,102.5,0.3931,16-15,9-Sep,66.80%,60.90%,12.2,2.68,166
229,South Alabama,SB,103.6,107.6,0.393,14-15,10-Aug,32.30%,20.30%,25.9,2.55,519
230,Stetson,ASun,102.3,106.2,0.3929,16-13,8-Aug,95.20%,96.30%,0,1.62,0
231,Albany,AE,99.8,103.7,0.3929,15-16,9-Sep,45.40%,40.70%,14.5,2.67,216
232,Siena,MAAC,101.7,105.9,0.3867,13-16,11-Sep,41.70%,27.10%,16.9,2.64,346
233,Troy,SB,99,103.1,0.3851,15-15,10-Aug,84.90%,81.80%,0,2.29,96
234,Wagner,NEC,103.2,107.6,0.3823,15-14,8-Oct,82.60%,87.40%,0.7,2.52,124
235,Saint Joseph's,A10,100.1,104.5,0.3809,17-Dec,12-Jun,90.50%,85.70%,23.4,2.09,27
236,La Salle,A10,99.7,104.2,0.3756,17-Dec,12-Jun,69.40%,69.60%,23,1.79,65
237,Mercer,SC,99.4,103.9,0.3752,14-16,10-Aug,54.10%,51.80%,19.9,2.03,72
238,Northern Colorado,BSky,99.8,104.4,0.3712,16-16,9-Nov,83.50%,86.20%,7.9,2.53,107
239,Southeast Missouri St.,OVC,100.8,105.8,0.3659,16-15,9-Sep,89.70%,88.10%,8.2,2.59,36
240,North Carolina A&T,BSth,99.1,104,0.3654,15-14,7-Sep,45.10%,47.00%,20.8,2.68,348
241,Western Illinois,Sum,101.4,106.4,0.365,18-14,8-Oct,79.70%,75.60%,4.1,2.94,202
242,UNC Asheville,BSth,102.6,107.7,0.3637,17-13,7-Sep,84.60%,82.00%,6.4,2.56,128
243,High Point,BSth,100.6,105.7,0.3619,15-14,7-Sep,88.30%,89.50%,5.2,2.24,73
244,New Hampshire,AE,100.7,105.8,0.3602,14-15,9-Sep,87.60%,86.40%,0,2.27,45
245,Illinois St.,MVC,96.7,101.7,0.3594,18-Nov,13-May,55.60%,42.30%,8.8,1.67,186
246,Fordham,A10,95.1,100.1,0.3561,13-17,12-Jun,50.80%,46.30%,6.2,2.45,338
247,Lehigh,Pat,98.9,104.2,0.3553,15-15,8-Oct,100.00%,100.00%,10.3,2.21,0
248,Grambling St.,SWAC,99,104.3,0.3548,15-15,7-Nov,57.60%,54.00%,2.8,2.73,253
249,Illinois Chicago,Horz,96.3,101.4,0.3544,14-16,11-Nov,64.00%,47.10%,6.2,2.99,282
250,South Florida,Amer,95.6,100.9,0.3508,19-Oct,14-Apr,25.20%,28.00%,31.3,1.81,235
251,Middle Tennessee,CUSA,99.6,105.1,0.3499,18-Dec,12-Jun,66.20%,62.20%,2.2,2.54,147
252,Idaho St.,BSky,98.3,103.7,0.3491,14-15,10-Oct,99.90%,99.70%,0,2.62,44
253,Ball St.,MAC,97.5,102.9,0.3481,14-17,12-Aug,51.20%,37.80%,9.3,2.22,124
