player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Leki Fotu,44614,DI,ARZ,3,0,1,0,0,0,0,0,0,27.5,11,0,0.0,0,0,0,0,100.0,47,47,1,2.1,0,0,0,0,72.5,29,0,0.0,0,0,0,1,1,0
Khalen Saunders,31534,DI,NO,4,1,20,1,2,1,0,1,0,55.4,31,1,1.6,0,1,2,1,100.0,70,70,3,2.1,0,1,1,1,44.6,25,2,4.0,0,0,0,0,1,2
Travis Jones,76914,DI,BLT,4,0,3,0,2,0,0,2,1,45.8,22,2,4.5,0,0,0,1,96.2,50,52,2,2.0,0,0,0,0,54.2,26,0,0.0,0,0,0,0,0,0
Jordan Hicks,9517,LB,MIN,4,0,18,0,2,0,0,1,0,51.1,24,1,2.1,0,0,0,0,32.3,50,155,2,2.0,0,0,1,0,48.9,23,1,2.2,0,1,1,0,1,1
Carl Lawson,11871,ED,NYJ,3,0,22,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,27,27,1,1.9,0,0,1,0,100.0,27,1,1.9,0,0,0,0,0,0
Shy Tuttle,37279,DI,CAR,4,0,5,0,0,0,0,0,0,22.2,10,1,10.0,1,0,0,0,100.0,53,53,1,1.9,0,0,0,0,77.8,35,0,0.0,0,0,0,1,0,0
Mazi Smith,101419,DI,DAL,4,0,9,0,1,0,0,1,0,23.1,6,1,8.3,0,0,0,0,100.0,26,26,1,1.9,0,0,0,0,76.9,20,0,0.0,0,0,0,0,0,0
Nick Thurman,49607,DI,CAR,4,0,5,0,1,0,0,1,1,41.7,10,1,5.0,0,0,0,1,100.0,26,26,1,1.9,0,0,0,0,58.3,14,0,0.0,0,0,0,0,0,0
Eric Johnson,33698,DI,IND,4,0,14,1,0,0,0,0,0,30.8,8,0,0.0,0,0,0,0,100.0,26,26,1,1.9,0,1,0,0,69.2,18,1,2.8,0,0,0,0,0,0
DeShawn Williams,9891,DI,CAR,4,0,5,1,1,0,0,0,0,18.9,10,0,0.0,0,0,0,0,100.0,53,53,2,1.9,0,1,1,0,81.1,43,2,2.3,0,0,0,0,0,0
