id,player,team,opponent,position,salary,ownership
83704-33047,Chris Moore,HOU,MIA,WR,5500,1.7
83704-85672,Terrace Marshall Jr.,CAR,DEN,WR,5700,1.7
83704-70601,Harrison Bryant,CLE,TB,TE,4900,1.7
83704-54782,Cameron Brate,TB,CLE,TE,4600,1.6
83704-21948,Ryan Tannehill,TEN,CIN,QB,7100,1.5
83704-89209,Trestan Ebner,CHI,NYJ,RB,4900,1.5
83704-72705,John Bates,WAS,ATL,TE,4200,1.5
83704-64581,Van Jefferson,LAR,KC,WR,5600,1.5
83704-61060,Devine Ozigbo,DEN,CAR,RB,4500,1.5
83704-63050,Ty Johnson,NYJ,CHI,RB,4900,1.5
83704-39286,O.J. Howard,HOU,MIA,TE,4400,1.5
83704-57338,Jordan Akins,HOU,MIA,TE,4600,1.4
83704-65724,JaMycal Hasty,JAC,BAL,RB,4800,1.4
83704-27338,Rex Burkhead,HOU,MIA,RB,4800,1.4
83704-86229,Jahan Dotson,WAS,ATL,WR,5800,1.4
83704-22015,Russell Wilson,DEN,CAR,QB,6700,1.4
83704-64389,Nick Westbrook-Ikhine,TEN,CIN,WR,5400,1.4
83704-72515,Ian Thomas,CAR,DEN,TE,4500,1.4
83704-130270,Adam Trautman,NO,SF,TE,4500,1.3
83704-62505,MyCole Pruitt,ATL,WAS,TE,4700,1.3
83704-87260,Isaiah Likely,BAL,JAC,TE,4500,1.3
83704-14225,Andy Dalton,NO,SF,QB,6700,1.3
83704-93143,Noah Gray,KC,LAR,TE,4200,1.3
83704-92545,Keaontay Ingram,ARI,LAC,RB,5400,1.3
83704-12537,Las Vegas Raiders,LV,SEA,D,3400,1.2
83704-12546,Arizona Cardinals,ARI,LAC,D,3800,1.2
83704-89588,Colby Parkinson,SEA,LV,TE,4400,1.1
83704-31207,C.J. Uzomah,NYJ,CHI,TE,4300,1.1
83704-69558,Greg Dortch,ARI,LAC,WR,4900,1.0
83704-86687,Marquise Brown,ARI,LAC,WR,7000,1.0
83704-56059,Trent Sherfield,MIA,HOU,WR,5400,0.8
83704-71105,Ben Skowronek,LAR,KC,WR,5100,0.8
83704-87859,Laviska Shenault Jr.,CAR,DEN,WR,5300,0.7
83704-14187,A.J. Green,ARI,LAC,WR,5300,0.7
83704-79998,Keelan Cole,LV,SEA,WR,4700,0.6
83704-114180,David Bell,CLE,TB,WR,4900,0.6
83704-30678,Damiere Byrd,ATL,WAS,WR,5200,0.6
83704-91677,Shi Smith,CAR,DEN,WR,5000,0.6
