player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Baldwin, Matthew",-0.331,387,-0.245,373,-0.017,151,-0.078,177,-0.671,246,-3.784,273,0.014,150
"Ferguson, Ewen",-0.123,267,-0.299,393,0.184,90,-0.120,189,-0.359,189,-3.828,274,0.026,107
"Hickok, Kramer",-0.304,381,-0.097,254,0.053,129,0.080,117,-0.269,172,-3.842,275,0.046,61
"Redman, Doc",-0.032,192,-0.265,381,-0.059,166,0.031,132,-0.324,180,-3.902,276,0.023,116
"Sharma, Shubhankar",0.235,64,-0.349,405,-0.437,313,-0.532,334,-1.083,312,-3.939,277,0.009,166
"Senior, Jack",0.001,171,-0.197,336,-0.806,383,-0.660,361,-1.661,368,-3.992,278,0.008,170
"McCarthy, Denny",0.707,1,0.189,43,0.193,87,-0.006,147,1.082,30,-4.063,279,0.035,87
"Schwab, Matthias",-0.064,219,0.185,45,-0.416,306,-0.431,312,-0.726,252,-4.103,280,0.004,182
"Dantorp, Jens",-0.217,331,-0.170,319,-0.621,352,-0.250,247,-1.258,337,-4.119,281,0.000,193
"Oosthuizen, Louis",0.123,95,0.079,99,0.066,127,-0.005,145,0.264,103,-4.140,282,0.050,55
"Hadwin, Adam",0.220,68,0.114,78,0.196,84,0.014,139,0.544,74,-4.170,283,0.058,43
"Westwood, Lee",-0.204,321,-0.117,270,-0.260,246,-0.056,164,-0.637,234,-4.257,284,0.002,188
"Levy, Alexander",-0.133,280,-0.414,415,-0.859,390,-0.260,253,-1.666,370,-4.264,285,-0.030,302
"Dahmen, Joel",-0.357,392,0.014,157,0.073,124,0.055,123,-0.215,168,-4.308,286,0.045,64
"Rai, Aaron",-0.203,320,0.070,104,0.543,27,0.282,66,0.692,53,-4.329,287,0.105,7
"Slattery, Lee",-0.264,361,-0.165,315,-0.731,372,-0.499,327,-1.659,367,-4.342,288,-0.029,299
"Hammer, Cole",-0.267,364,-0.189,331,-0.151,201,-0.314,268,-0.921,285,-4.386,289,-0.020,275
"Aphibarnrat, Kiradech",0.074,119,-0.143,297,-0.426,310,-0.208,233,-0.704,248,-4.458,290,0.001,192
"Catlin, John",-0.288,376,-0.089,246,-0.328,268,-0.135,196,-0.840,274,-4.494,291,0.060,36
"Reed, Patrick",0.498,10,0.299,9,0.164,95,-0.108,185,0.853,45,-4.508,292,-0.017,265
"Zanotti, Fabrizio",-0.345,391,-0.013,191,-0.166,212,0.056,122,-0.468,206,-4.564,293,0.066,24
"Harman, Brian",0.138,89,0.119,76,0.080,122,0.149,96,0.486,81,-4.622,294,0.065,28
"Sullivan, Andy",-0.108,250,-0.137,291,-0.194,227,-0.468,321,-0.907,283,-4.642,295,-0.013,244
"Streelman, Kevin",-0.108,251,0.121,74,0.153,100,-0.136,198,0.030,136,-4.707,296,0.043,69
"Hoag, Bo",-0.166,294,-0.145,301,-0.452,321,-0.514,332,-1.276,341,-4.708,297,-0.013,243
"Kinhult, Marcus",0.013,170,-0.095,251,-0.318,262,-0.505,329,-0.905,282,-4.790,298,0.011,158
"Laporta, Francesco",-0.379,399,-0.160,313,-0.635,357,-0.148,204,-1.322,345,-4.791,299,-0.006,214
"Lower, Justin",0.310,33,-0.177,322,-0.198,228,-0.325,272,-0.391,194,-4.824,300,0.000,195
"Sigg, Greyson",-0.111,255,0.054,124,0.071,125,-0.145,201,-0.132,152,-4.903,301,0.021,122
"Henley, Russell",0.086,111,0.235,25,0.745,9,0.220,79,1.286,20,-4.904,302,0.110,2
"Shelton, Robby",0.117,96,0.224,28,-0.007,149,-0.350,280,-0.015,144,-4.922,303,-0.014,250
"Whitnell, Dale",0.188,74,-0.215,350,-0.384,287,-0.346,278,-0.757,259,-4.937,304,-0.003,204
"Warren, Marc",-0.053,211,-0.449,420,-0.737,373,-0.620,350,-1.860,383,-5.015,305,-0.051,357
"Endycott, Harrison",0.032,154,0.031,144,-0.392,292,-0.257,251,-0.585,223,-5.095,306,0.019,128
"Larrazabal, Pablo",0.114,98,0.150,57,-0.225,234,-0.366,287,-0.328,182,-5.175,307,-0.045,344
