"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","opponent","def_rank","rdef_rank","tack_rank","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"92","CJ Stokes","MICH",3200,1.04,0,"Healthy",-30.5,49.5,66.7,68.7,"NEB",94,113,62,22.9,36.1,0,0.2,2.5,0.2,4.7,2.1,0.3,4.9,7
"93","Dallan Hayden","OSU",3200,9.96,0,"Healthy",-40.5,61,76.8,76.7,"IU",93,48,120,42.5,51.8,0,0.1,3.2,0.2,9,2.2,0.3,9.3,6
"94","Devyn Ford","PSU",3200,NA,0,"Healthy",-10.5,57,59.2,56.3,"UMD",78,87,28,9.2,0,0,0.1,1,0.1,1.8,7.8,1.2,3,4
"95","Kai Puailoa-Rojas","NAVY",3200,0.58,0,"Healthy",17,40.5,61.3,74.2,"ND",38,49,3,2.8,116.7,0,0.3,7,0.7,0.3,3.4,0.9,0.7,9
"96","Brandon Epton Jr.","SMU",3200,0.39,0,"Healthy",-17.5,72.5,55.5,56.4,"USF",NA,NA,NA,7,0,0,0,2.2,0,3,0,0,3,2
"97","Camar Wheaton","SMU",3200,4.44,0,"Ques Sat - Arm",-17.5,72.5,65.1,67.5,"USF",NA,NA,NA,21.1,53,0,0.1,3.5,0.2,4.3,2.9,0.6,4.7,7
"98","BJ Harris","MIZZ",3100,0.92,0,"out for season - Arm",19.5,57.5,58.3,63.7,"TENN",101,85,70,5,77.8,0,0.2,2.3,0.3,1.2,0,0,1.2,5
"99","Eli Sanders","ISU",3100,0.93,0,"Healthy",-1.5,48,61.4,62.6,"OKST",74,86,110,12,23.5,0,0,2,0.2,4.8,4.3,1.2,5.7,6
"100","Rahmir Johnson","NEB",3100,2.7,0,"Healthy",30.5,49.5,47.9,54.7,"MICH",4,5,1,4,0,0,0.2,1.4,0.2,1,1.4,0.6,1.2,5
"101","David Holloman","IU",3100,NA,0,"Healthy",40.5,61,NA,NA,"OSU",5,6,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Logan Point","NAVY",3100,0.6,0,"Healthy",17,40.5,58.4,61.1,"ND",38,49,3,19.7,4.7,0,0.1,1.5,0.2,4.7,0,0.1,4.7,7
"103","Mark-Antony Richards","UCF",3100,0.94,0,"Healthy",1,54.5,58.7,59.7,"TUL",14,20,48,0,0,0,0,0,0,0.5,0,0,0.5,2
"104","Lucas Barisas","TUL",3100,NA,0,"Healthy",-1,54.5,73.1,71.5,"UCF",67,52,37,20.5,20.3,0,0.1,1.6,0.4,4,0,0,4,2
