player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Rhamondre Stevenson,98689,HB,NE,6,21,0,19,0,-4.0,3,100.0,,0,0,0.0,0,1,0,91.4,92.0,0,15,13.6,3,22,7,81.8,18,89.9,7,33.3,0,39,67,9.6,5.6,2.17,-5.0,0,100.0,,0,0,0.0,0,0,0,70.1,64.2,0,5,0.0,0,7,2,85.7,6,83.3,2,9.5,0,8,18,9.0,4.0,1.33
Javonte Williams,77803,HB,DEN,4,21,0,10,0,-2.6,2,85.7,0.0,0,1,0.0,0,1,0,90.9,95.7,0,13,0.0,0,8,6,100.0,8,83.3,7,33.3,0,28,46,7.7,4.7,3.5,,0,,,0,0,,0,0,0,62.7,67.5,0,0,0.0,0,3,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0
Nyheim Hines,48103,HB,IND,5,21,0,14,0,-4.8,3,100.0,,0,0,0.0,0,1,0,90.9,84.9,0,11,0.0,0,11,6,100.0,11,85.4,6,28.6,0,27,56,9.3,4.5,2.45,4.2,0,100.0,,0,0,0.0,0,3,0,63.4,80.1,0,19,0.0,0,19,5,100.0,19,110.0,5,23.8,0,52,31,6.2,10.4,2.74
Kylen Granson,40630,TE,IND,6,21,0,14,0,-4.0,0,100.0,,0,0,0.0,0,0,1,78.7,22.6,0,-6,0.0,0,9,1,100.0,9,79.2,1,4.8,0,-6,-2,-2.0,-6.0,-0.67,7.3,0,50.0,100.0,2,2,20.0,1,1,0,55.3,59.0,1,12,1.6,1,63,4,95.2,60,19.8,8,38.1,0,30,8,2.0,7.5,0.5
Mecole Hardman,42683,WR,KC,6,21,0,16,0,-4.5,0,100.0,,0,0,0.0,0,0,0,90.2,53.2,0,7,0.0,0,16,4,100.0,16,82.3,4,19.0,0,15,33,8.3,3.8,0.94,10.9,1,68.8,100.0,1,1,8.3,1,7,0,52.0,68.2,0,36,0.0,0,75,11,90.7,68,134.1,16,76.2,2,135,72,6.5,12.3,1.99
Sterling Shepard,10674,WR,NYG,3,21,0,21,0,,0,,,0,0,,0,0,0,,45.7,0,0,0.0,0,10,0,70.0,7,0.0,0,0.0,0,0,0,,,0.0,2.7,0,83.3,,0,0,0.0,0,1,0,44.9,59.4,0,10,0.0,0,34,5,82.4,28,86.1,6,28.6,0,28,19,3.8,5.6,1.0
Cameron Brate,9207,TE,TB,5,21,0,30,0,,0,,,0,0,,0,0,0,,39.2,0,0,8.3,1,12,0,91.7,11,0.0,0,0.0,0,0,0,,,0.0,6.3,0,61.5,0.0,0,2,20.0,2,5,0,36.9,57.1,0,11,0.0,0,74,8,91.9,68,74.2,13,61.9,0,65,23,2.9,8.1,0.96
A.J. Green,6156,WR,ARZ,5,21,0,1,0,-5.0,0,100.0,,0,0,0.0,0,0,0,78.7,43.9,0,0,0.0,0,24,1,100.0,24,79.2,1,4.8,0,0,5,5.0,0.0,0.0,5.0,0,100.0,,0,0,0.0,0,1,0,38.5,50.8,0,5,0.0,0,21,1,85.7,18,87.5,1,4.8,0,5,0,0.0,5.0,0.28
Jauan Jennings,48027,WR,SF,6,20,0,28,0,-2.5,0,50.0,,0,0,0.0,0,0,0,78.7,61.4,0,9,0.0,0,17,1,100.0,17,62.5,2,10.0,0,9,13,13.0,9.0,0.53,7.9,1,57.1,0.0,0,1,11.1,1,4,0,74.2,83.8,0,44,0.0,0,62,8,95.2,59,78.9,14,70.0,0,98,47,5.9,12.3,1.66
Dawson Knox,35883,TE,BUF,5,20,0,4,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,39.5,0,5,0.0,0,12,1,100.0,12,87.5,1,5.0,0,5,8,8.0,5.0,0.42,11.8,0,70.0,66.7,2,3,0.0,0,6,0,86.9,63.8,0,20,2.5,2,80,7,92.5,74,132.9,10,50.0,1,94,15,2.1,13.4,1.27
