player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Van Der Walt, Dawie",150,Inf,60000,-0.91,75000,-0.887,65000,-0.902,50000,-0.925,51924,0,0,0,50000,-0.925,,0,75000,-0.887,50000,-0.925,50000,-0.925,,0,50000,-0.925,75000,-0.887,50000,-0.925
"Werenski, Richy",150,Inf,75000,-0.887,35000,-0.947,65000,-0.902,50000,-0.925,51924,0,0,0,50000,-0.925,,0,50000,-0.925,50000,-0.925,50000,-0.925,,0,40000,-0.94,60000,-0.91,100000,-0.85
"Trainer, Martin",150,Inf,100000,-0.875,50000,-0.937,65000,-0.919,50000,-0.937,51924,0,0,0,50000,-0.937,,0,75000,-0.906,50000,-0.937,50000,-0.937,,0,50000,-0.937,75000,-0.906,100000,-0.875
"Hagy, Brandon",150,Inf,75000,-0.906,50000,-0.937,65000,-0.919,50000,-0.937,51924,0,0,0,50000,-0.937,,0,50000,-0.937,50000,-0.937,50000,-0.937,,0,50000,-0.937,50000,-0.937,50000,-0.937
"Thompson, Curtis",150,Inf,60000,-0.925,35000,-0.956,65000,-0.919,50000,-0.937,51924,0,0,0,50000,-0.937,,0,75000,-0.906,50000,-0.937,50000,-0.937,,0,40000,-0.95,75000,-0.906,50000,-0.937
"Hammer, Cole",150,Inf,50000,-0.962,75000,-0.944,65000,-0.951,,0,51924,0,0,0,50000,-0.962,,0,75000,-0.944,50000,-0.962,50000,-0.962,,0,50000,-0.962,40000,-0.97,50000,-0.962
"Henry, J.J.",150,Inf,150000,-0.887,50000,-0.962,65000,-0.951,50000,-0.962,51924,0,0,0,50000,-0.962,,0,100000,-0.925,50000,-0.962,50000,-0.962,,0,50000,-0.962,75000,-0.944,100000,-0.925
"Drewitt, Brett",150,Inf,,0,,0,,0,,0,51924,0,0,0,,0,,0,,0,,0,20000,-0.985,,0,,0,,0,,0
"Skinns, David",150,Inf,50000,-0.962,50000,-0.962,65000,-0.951,40000,-0.97,51924,0,0,0,50000,-0.962,,0,50000,-0.962,50000,-0.962,50000,-0.962,,0,50000,-0.962,50000,-0.962,50000,-0.962
"Thorbjornsen, Michael",150,Inf,100000,-0.95,50000,-0.975,65000,-0.967,,0,51924,0,0,0,50000,-0.975,,0,100000,-0.95,50000,-0.975,50000,-0.975,,0,50000,-0.975,50000,-0.975,50000,-0.975
"Watney, Nick",150,Inf,60000,-0.985,35000,-0.991,65000,-0.984,50000,-0.987,51924,0,0,0,50000,-0.987,,0,50000,-0.987,50000,-0.987,50000,-0.987,,0,40000,-0.99,60000,-0.985,100000,-0.975
"D'Amario, Adam",2,,150000,-1.15,100000,-1.1,100000,-1.1,50000,-1.05,51924,0,0,0,100000,-1.1,,0,,0,100000,-1.1,100000,-1.1,,0,50000,-1.05,150000,-1.15,100000,-1.1
"Hossler, Beau",150,31646,12500,-0.603,,0,16000,-0.493,15000,-0.524,17522,-0.445,12550,-0.602,,0,15000,-0.524,,0,15000,-0.524,,0,10000,-0.682,,0,,0,15000,-0.524
"Hoag, Bo",150,Inf,60000,-0.895,,0,65000,-0.886,40000,-0.93,51924,0,,0,,0,75000,-0.869,,0,90000,-0.842,,0,50000,-0.912,,0,,0,,0
