"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"80","David Sills V","NYG",3000,0.03,0.91,NA,NA,NA,NA,NA,"PHI",1,5,NA,NA,NA,18,15,NA,0.271,7,NA,0.729,3,-0.155,NA,NA,"David Sills V 3000 0.03"
"81","Marcus Johnson","NYG",3000,0.02,0.8,50.9,NA,1.6,0.46,NA,"PHI",1,5,0.0299999999999999,0.58,0.55,18,15,38,0.271,7,85,0.729,3,-0.155,0,4.2,"Marcus Johnson 3000 0.02"
"82","Ray-Ray McCloud III","SF",3000,0.04,0.78,69.2,NA,1.2,1.61,NA,"TB",3,6,-0.66,1.38,2.04,28,5,25,0.222,6,73,0.778,9,-0.1,1,3.2,"Ray-Ray McCloud III 3000 0.04"
"83","Trent Taylor","CIN",3000,0.05,0.71,52,NA,0.8,0.62,NA,"CLE",5,20,-0.46,0.33,0.79,21,12,17,0.25,9,28,0.75,27,-0.059,0,4.2,"Trent Taylor 3000 0.05"
"84","Michael Woods II","CLE",3000,0.02,0.65,55.7,NA,1.2,0.55,NA,"CIN",4,14,-1.91,0,1.91,12,21,23,0.3,10,11,0.7,18,-0.066,0,3.5,"Michael Woods II 3000 0.02"
"85","Britain Covey","PHI",3000,0.04,0.27,NA,NA,NA,NA,NA,"NYG",27,30,NA,NA,NA,1,32,NA,0.518,15,NA,0.482,32,0.128,NA,NA,"Britain Covey 3000 0.04"
"86","Stanley Morgan","CIN",3000,0.03,0.2,NA,NA,NA,NA,NA,"CLE",5,20,NA,NA,NA,21,12,NA,0.25,9,NA,0.75,27,-0.059,NA,NA,"Stanley Morgan 3000 0.03"
"87","John Brown","BUF",3000,0.04,0.18,NA,NA,NA,NA,NA,"NYJ",11,2,NA,NA,NA,13,20,NA,0.295,1,NA,0.705,11,-0.001,NA,NA,"John Brown 3000 0.04"
"88","Jalen Nailor","MIN",3000,0.02,0.17,76.3,NA,1,3.11,NA,"DET",22,28,NA,NA,1.88,4,28,0,0.422,17,8,0.578,28,0.116,0,3,"Jalen Nailor 3000 0.02"
"89","Dareke Young","SEA",3000,0.02,0.17,NA,NA,NA,NA,NA,"CAR",10,26,NA,NA,NA,30,3,NA,0.206,32,NA,0.794,23,-0.023,NA,NA,"Dareke Young 3000 0.02"
"90","Miles Boykin","PIT",3000,0.03,0.11,63.9,NA,0.3,0.58,NA,"BAL",6,17,-1,0,1,10,23,6,0.311,19,12,0.689,16,-0.053,0,0,"Miles Boykin 3000 0.03"
"91","Tim Jones","JAX",3000,0.02,0.11,52.9,NA,0.4,0.64,NA,"TEN",17,13,-0.86,0,0.86,16,18,10,0.285,8,37,0.715,17,0.068,0,7.3,"Tim Jones 3000 0.02"
"92","KaVontae Turpin","DAL",3000,0.03,0.09,52.3,NA,0.1,0.43,NA,"HOU",28,32,0,0,0,24,10,2,0.242,29,14,0.758,31,0.147,0,5,"KaVontae Turpin 3000 0.03"
"93","Jaelon Darden","CLE",3000,0.03,0.08,53.3,NA,0.3,0.7,NA,"CIN",4,14,-1.04,0,1.04,12,21,9,0.3,10,25,0.7,18,-0.066,0,7.5,"Jaelon Darden 3000 0.03"
"94","Binjimen Victor","BAL",3000,0.04,0.07,NA,NA,NA,NA,NA,"PIT",18,22,NA,NA,NA,3,30,NA,0.43,12,NA,0.57,25,0.096,NA,NA,"Binjimen Victor 3000 0.04"
"95","Danny Gray","SF",3000,0.03,0.07,43.4,NA,0.7,0,NA,"TB",3,6,0,0,0,28,5,4,0.222,6,9,0.778,9,-0.1,0,NA,"Danny Gray 3000 0.03"
