player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Erik Brooks,84187,WR,FRESNO ST,11,21.3,0,169,68.2,,64.5,0,0,0,0.0,0.0,,0,0,0,59,0,0,0,277,0,218,0,0,59,8
Drew Allar,164157,QB,PENN STATE,9,41.3,0,266,72.6,,60.0,0,0,0,0.0,0.0,,0,0,0,59,0,0,0,143,0,75,0,0,59,0
Tiyon Evans,146928,HB,LOUISVILLE,8,29.6,1,210,73.3,23.3,75.8,0,1,34,41.0,40.2,95.6,3,2,1,59,0,0,0,199,37,92,0,0,22,1
Tyrese Mack,146085,WR,NEVADA,3,59.6,0,239,64.4,,71.5,0,0,0,0.0,0.0,,0,0,0,59,0,0,0,99,0,40,0,0,59,0
Henry Parrish Jr.,124144,HB,MIAMI FL,9,16.5,0,220,81.0,46.7,64.1,0,3,41,20.9,21.8,91.5,0,5,2,58,0,0,0,351,46,211,0,0,12,0
Caelan Shepard,98489,T,BUFFALO,5,100.0,0,126,64.8,58.6,64.1,0,1,19,100.0,100.0,97.4,0,1,0,58,0,0,16,58,20,20,0,42,38,0
Sean Wilson,156381,WR,VIRGINIA,6,36.5,0,335,54.0,,49.9,0,0,0,0.0,0.0,,2,0,0,58,0,0,0,159,0,101,0,0,58,0
Spencer Witter,99632,TE,BOSTON COL,7,64.4,0,121,52.2,72.9,45.3,0,0,9,22.5,22.0,100.0,0,0,0,58,0,0,0,90,9,41,0,0,49,71
Robert Briggs,163425,HB,UTAH ST,10,29.4,0,329,74.1,61.3,48.5,0,2,35,37.2,38.0,97.1,1,2,0,58,0,0,0,197,38,100,0,0,20,0
Nate Noel,122249,HB,APP STATE,8,25.1,0,108,72.1,62.6,56.0,0,2,45,32.8,33.1,97.8,0,2,0,58,0,0,0,231,48,145,0,0,10,0
Jaden Hullaby,123118,FB,NEW MEXICO,8,69.0,0,241,64.0,54.1,49.0,1,0,12,52.2,56.0,95.8,0,1,0,58,0,0,0,84,14,25,0,0,44,0
Blake Corum,129574,HB,MICHIGAN,11,12.9,0,222,96.1,78.2,63.2,0,0,30,18.0,18.4,100.0,1,0,0,58,0,0,0,448,32,174,0,0,26,0
Josh Henderson,99594,HB,INDIANA,11,20.6,0,190,75.6,29.4,58.3,3,2,37,21.5,22.4,90.5,0,6,1,58,0,0,0,281,41,183,0,0,17,0
Austin Henderson,130268,TE,LIBERTY,11,45.3,0,206,52.4,60.6,39.8,0,0,12,16.4,15.7,100.0,4,0,0,58,0,0,0,128,13,83,0,0,45,71
Gaard Memmelaar,131906,G,WASHINGTON,4,100.0,0,340,66.5,84.6,63.4,0,0,22,100.0,100.0,100.0,0,0,0,58,0,58,0,58,23,23,0,0,35,0
Zach Jackson,61387,WR,LA MONROE,9,43.3,0,209,52.7,,51.4,0,0,0,0.0,0.0,,1,0,0,58,0,0,0,134,0,76,0,0,58,0
Bob Schick,144103,G,VA TECH,7,100.0,0,337,56.9,76.3,57.4,0,1,27,100.0,100.0,98.1,1,1,0,58,0,24,25,58,27,27,4,1,31,2
Dillon Johnson,124176,HB,MISS STATE,11,15.8,0,227,80.9,69.1,70.1,0,0,40,16.1,16.9,97.5,0,1,1,58,0,0,0,366,44,260,0,0,14,9
Zach Pyron,156309,QB,GA TECH,3,31.0,0,176,56.7,,60.0,0,0,0,0.0,0.0,,0,0,0,58,0,0,0,187,0,109,0,0,58,0
Gunnar Henderson,78849,WR,TCU,11,49.2,0,305,72.4,,44.2,0,0,0,0.0,0.0,,0,0,0,58,0,0,0,118,0,60,0,0,58,0
Xavior Gray,100263,T,AKRON,3,100.0,0,102,63.6,61.9,62.6,0,3,36,100.0,100.0,90.3,0,5,2,58,0,0,58,58,37,37,0,0,21,0
Parker Buchanan,146221,TE,UTAH ST,5,74.4,0,329,52.4,63.4,52.0,0,0,16,47.1,47.4,100.0,0,0,0,58,0,0,0,78,18,38,0,0,40,44
James Phillips,98731,WR,HAWAII,5,30.9,0,180,51.2,,41.3,0,0,0,0.0,0.0,,0,0,0,58,0,0,0,188,0,130,0,0,58,1
Onuma Dieke,128080,WR,UMASS,8,51.4,0,216,44.3,,57.7,0,0,0,0.0,0.0,,0,0,0,57,0,0,0,111,0,53,0,0,57,0
Ahmarian Granger,163529,WR,DOMINION,10,27.5,0,263,52.2,,47.3,0,0,0,0.0,0.0,,1,0,0,57,0,0,0,207,0,150,0,0,57,0
Jordan Hudson,157298,WR,TCU,10,43.8,0,305,63.5,,68.8,0,0,0,0.0,0.0,,0,0,0,57,0,0,0,130,0,73,0,0,57,0
