player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Treyveon McGee,157596,S,IOWA STATE,9,1,8.8,0,0,193,65.1,61.9,79.8,,52.8,71.7,12.5,1,0,41,42,0.0,0,6
Domonique Orange,157602,DI,IOWA STATE,11,6,4.5,0,0,193,,64.4,83.4,59.3,65.4,46.8,11.1,1,0,88,89,0.0,0,2
Myles Norwood,157603,CB,IOWA STATE,1,0,,0,0,193,65.1,65.8,70.9,,60.0,,,0,0,2,2,0.0,0,0
Trent Jones II,157604,ED,IOWA STATE,2,1,,0,0,193,,34.6,70.5,56.5,46.6,70.2,0.0,0,0,3,3,0.0,0,0
Jeremiah Cooper,157608,CB,IOWA STATE,9,7,3.4,0,0,193,39.1,49.6,85.1,60.0,76.5,64.7,5.0,1,0,146,148,2.1,3,12
Dee Williams,157609,CB,TENNESSEE,3,0,,0,0,307,46.9,42.4,74.0,,47.4,38.3,,0,0,9,9,0.0,0,0
Tyre West,157613,ED,TENNESSEE,8,1,0.0,0,0,307,62.4,72.0,80.1,65.1,71.7,49.8,0.0,0,0,35,35,11.4,4,4
Elijah Herring,157614,LB,TENNESSEE,10,2,4.0,0,0,307,56.1,62.2,78.8,71.3,61.4,43.9,28.6,2,0,46,46,2.2,1,3
Jordan Phillips,157619,DI,TENNESSEE,2,0,,1,0,307,,51.8,0.0,56.1,62.9,,,0,1,10,10,0.0,0,0
Max Alford,157627,LB,UTAH ST,7,5,2.5,0,0,329,61.7,70.1,80.0,56.5,76.2,70.9,11.1,2,0,75,75,9.3,7,11
Enoka Migao,157635,ED,UTAH ST,5,1,2.5,0,0,329,,50.1,78.2,62.3,43.1,76.1,0.0,0,0,21,21,4.8,1,2
Tavian Coleman,157637,DI,UTAH ST,11,6,1.1,0,0,329,60.5,38.6,40.0,54.1,34.0,67.5,5.3,1,2,224,228,4.9,11,12
Kyree Moyston,157648,ED,VA TECH,4,0,-1.0,0,0,337,,43.3,0.0,54.5,47.8,24.5,50.0,1,1,13,14,7.7,1,1
Malachi Madison,157649,DI,VA TECH,2,0,0.0,0,0,337,,47.5,73.0,56.2,48.4,69.7,0.0,0,0,8,9,12.5,1,1
Mansoor Delane,157650,CB,VA TECH,7,5,3.9,0,0,337,82.0,82.7,83.5,62.6,80.1,87.9,7.1,1,1,152,154,2.6,4,8
Keyshawn Burgos,157654,ED,VA TECH,2,1,-2.0,0,0,337,,70.7,72.2,56.7,71.4,73.9,0.0,0,0,4,4,25.0,1,1
Cam Johnson,157661,CB,VA TECH,2,1,,0,0,337,56.2,57.5,75.1,,64.0,76.2,0.0,0,1,9,9,0.0,0,0
