player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Zach Sieler,66917,DI,MIA,1,0,17,0,2,0,0,0,0,17.6,6,0,0.0,0,0,0,1,100.0,35,35,3,5.7,0,0,2,1,82.4,28,3,7.1,1,1,0,1,1,0
Uchenna Nwosu,50084,ED,SEA,1,0,29,0,3,0,0,3,0,33.3,9,3,16.7,0,0,0,0,93.1,27,29,3,5.6,0,0,0,0,66.7,18,0,0.0,0,0,0,0,0,0
Raekwon Davis,44582,DI,MIA,1,0,17,0,2,0,0,1,0,17.6,3,1,16.7,0,0,0,0,100.0,18,18,2,5.6,0,0,1,0,82.4,14,1,3.6,0,0,0,0,0,0
George Karlaftis,98319,ED,KC,1,0,16,0,3,0,0,1,0,85.2,23,1,2.2,0,0,0,0,90.0,27,30,3,5.6,0,0,2,0,14.8,4,2,25.0,0,0,0,0,0,0
Cameron Heyward,6183,DI,PIT,1,0,25,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,9,9,1,5.6,0,1,0,0,100.0,9,1,5.6,0,0,0,0,0,0
Jarran Reed,10683,DI,SEA,1,0,29,1,2,0,0,1,0,40.7,11,1,4.5,0,0,0,0,100.0,27,27,3,5.6,0,1,1,0,59.3,16,2,6.3,0,0,0,0,0,0
Jordan Hicks,9517,LB,MIN,2,0,18,0,2,0,0,1,0,55.6,10,1,5.0,0,0,0,0,26.9,18,67,2,5.6,0,0,1,0,44.4,8,1,6.3,0,0,0,0,0,0
DJ Reader,10800,DI,CIN,1,0,7,1,2,0,0,1,0,29.2,7,1,7.1,0,0,0,0,100.0,27,27,3,5.6,0,1,1,0,70.8,17,2,5.9,0,0,0,0,0,0
Tyquan Lewis,48475,ED,IND,1,0,14,0,1,0,0,1,0,77.8,7,1,7.1,0,0,0,0,100.0,9,9,1,5.6,0,0,0,0,22.2,2,0,0.0,0,0,0,0,0,0
Michael Pierce,11101,DI,BLT,1,0,3,0,3,0,0,1,0,17.4,4,1,12.5,0,0,0,0,96.6,28,29,3,5.4,0,0,0,0,82.6,19,0,0.0,0,0,0,0,0,0
