"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"62","Scott Piercy",23114207,6900,50.38,0.0032,0.0027,99,-5e-04,-0.1562,50.65,0.4,79.5,25.5,0.4435,0.0051,0.1473,0.0851,0.0328,0.0129,0.0062,0.0016,100,0.39,-0.35,1,1,0.0032,34.5,"2022-06-26","Travelers Championship"
"63","Martin Laird",23114208,6900,51.9,0.0057,0.0043,74,-0.0014,-0.2456,55.23,0.89,84.5,26.5,0.5268,0.007,0.2191,0.1384,0.064,0.0282,0.0158,0.0039,13,0.62,-0.12,-0.7,0,0.0051,82,"2022-06-26","Travelers Championship"
"64","Beau Hossler",23127955,6900,54.39,0.0056,0.0057,56,1e-04,0.0179,41.37,0,71,23.5,0.4745,0.0068,0.1782,0.1121,0.05,0.0227,0.0124,0.0033,100,0.83,0.09,2.21,2,0.081,28,"2022-06-26","Travelers Championship"
"65","John Huh",23114209,6800,56,0.0032,0.0023,105,-9e-04,-0.2813,53.67,1.5,82,26,0.494,0.0056,0.1898,0.1184,0.05,0.0198,0.011,0.0029,13,0.34,-0.34,0.31,2,0.0192,85.5,"2022-06-26","Travelers Championship"
"66","Lucas Glover",23114210,6800,60.55,0.0069,0.0069,46,0,0,60.62,4.3,87,27.5,0.5539,0.0088,0.2504,0.1665,0.0788,0.0361,0.0206,0.006,70,1.01,0.33,2.05,6,0.0479,56.5,"2022-06-26","Travelers Championship"
"67","Matthew Wolff",23114211,6800,53,0.002,0.0026,104,6e-04,0.3,33.61,1.4,59,20.5,0.3038,0.0015,0.0622,0.0326,0.0111,0.004,0.0021,4e-04,40,0.38,-0.3,3.34,5,0.0121,73,"2022-06-26","Travelers Championship"
"68","Stephan Jaeger",23114212,6800,47.98,0.002,0.0043,74,0.0023,1.15,44.06,0.29,74,24,0.4241,0.0043,0.1335,0.0774,0.0316,0.0124,0.0064,0.0016,100,0.63,-0.05,8.59,9,0.0039,29.5,"2022-06-26","Travelers Championship"
"69","Adam Svensson",23114213,6800,54.65,0.0043,0.0051,64,8e-04,0.186,56.23,6.5,84.5,27,0.5007,0.0046,0.197,0.1247,0.0542,0.0235,0.0135,0.0036,25,0.75,0.07,3.68,10,0.0375,75,"2022-06-26","Travelers Championship"
"70","Austin Smotherman",23114214,6800,58.26,0.0032,0.0044,72,0.0012,0.375,56.18,5.1,84,26.5,0.4715,0.0074,0.1724,0.1071,0.0474,0.0207,0.0112,0.0029,100,0.65,-0.03,4.68,10,0.0296,23,"2022-06-26","Travelers Championship"
"71","Zach Johnson",23114215,6800,40.19,0.0032,0.0035,80,3e-04,0.0937,46.39,0.26,76.5,24.5,0.4462,0.0034,0.152,0.0909,0.0369,0.0148,0.0074,0.0018,100,0.51,-0.17,2.59,3,0.009,17,"2022-06-26","Travelers Championship"
"72","Patton Kizzire",23114216,6700,54.67,0.0032,0.0039,78,7e-04,0.2187,48.14,1.6,73.35,23.4,0.4554,0.0034,0.1562,0.0937,0.0365,0.0155,0.0077,0.002,64,0.58,-0.04,3.49,5,0.01,67,"2022-06-26","Travelers Championship"
"73","Wyndham Clark",23114217,6700,53.91,0.0032,0.003,90,-2e-04,-0.0625,44.32,2.3,74.5,24,0.4338,0.0036,0.1359,0.0787,0.0324,0.0143,0.0074,0.0018,35,0.45,-0.17,1.58,4,0.0309,70.5,"2022-06-26","Travelers Championship"
"74","Matt Wallace",23114218,6700,47.33,0.002,0.0019,110,-1e-04,-0.05,45.2,1.3,74,24,0.3442,0.0019,0.0816,0.0439,0.0156,0.0052,0.0023,4e-04,46,0.28,-0.34,1.75,3,0.0142,67,"2022-06-26","Travelers Championship"
"75","Joseph Bramlett",23114219,6700,49.11,0.002,0.0033,82,0.0013,0.65,47.23,0.38,78,24.5,0.4515,0.0043,0.1544,0.092,0.038,0.015,0.0079,0.0023,56,0.49,-0.13,5.43,6,0.0049,53.5,"2022-06-26","Travelers Championship"
"76","Chad Ramey",23114220,6700,54.5,0.0032,0.0031,86,-1e-04,-0.0313,46.52,0.67,76,25,0.4778,0.0062,0.1733,0.1052,0.0457,0.0196,0.0101,0.0026,100,0.46,-0.16,1.78,2,0.0089,22,"2022-06-26","Travelers Championship"
"77","David Lipsky",23114221,6700,54.09,0.0057,0.0061,53,4e-04,0.0702,59,4.7,87,27.5,0.5294,0.0055,0.2225,0.1431,0.0644,0.0292,0.017,0.0047,100,0.91,0.29,2.85,8,0.0233,29,"2022-06-26","Travelers Championship"
"78","Kramer Hickok",23114222,6700,45.9,0.0032,0.0058,54,0.0026,0.8125,51.18,1.2,80,25.5,0.4773,0.004,0.1787,0.1095,0.046,0.0195,0.0103,0.003,100,0.87,0.25,8.56,10,0.0153,32.5,"2022-06-26","Travelers Championship"
"79","Carlos Ortiz",23114223,6600,56.92,0.0032,0.0029,93,-3e-04,-0.0938,49.01,1.3,79.5,25,0.4365,0.0034,0.1448,0.0863,0.0348,0.0145,0.0073,0.0019,100,0.44,-0.12,1.4,3,0.01,10.5,"2022-06-26","Travelers Championship"
