"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate"
"68","WR68","Jalen Mcmillan",8.47,3.37,39.14,0.3,"2024_17_CAR_TB",47.5,"CAR",-9.5,1,"2024-12-29","Sunday","13:00",131905,"WR","TB",11,13.1,1,57.4,11.1,1,9,1,12.9,4,17,30,0,47.8,79,56.7,NA,58.4,0,0,6,32,0,0,341,4,94.7
"69","WR69","Marvin Mims",8.43,2.73,37.94,0.21,"2024_17_DEN_CIN",50.5,"CIN",3.5,0,"2024-12-28","Saturday","16:30",122937,"WR","DEN",15,8.2,6,70.3,0,0,3,0,7.1,2,9,10,0,65.8,89.7,63.1,70.7,66.7,0.6,1,2,93,0.6,1,172,0,94.8
"70","WR70","Trent Sherfield",8.35,3.5,39.36,0.16,"2024_17_GB_MIN",49,"GB",1,1,"2024-12-29","Sunday","16:25",48021,"WR","MIN",15,6.8,0,88.9,NA,0,0,0,0,0,4,18,0,76.5,70.1,70.1,67,70.3,1.7,1,1,17,3.4,2,59,1,94.9
"71","WR71","Mike Williams",8.35,2.35,32.54,0.47,"2024_17_KC_PIT",43.5,"KC",3,1,"2024-12-25","Wednesday","13:00",11762,"WR","PIT",16,15.8,0,64.5,77.8,7,9,0,4.8,1,13,25,0,60.5,74.9,57.1,NA,58.2,0,0,2,32,0,0,323,1,94.7
"72","WR72","Mason Tipton",8.34,2.73,35.2,0.31,"2024_17_LV_NO",37.5,"LV",2,1,"2024-12-29","Sunday","13:00",109617,"WR","NO",11,12.9,1,58.3,75,3,4,0,12.5,2,2,20,0,51.8,73.7,48,NA,47.6,0,0,0,15,0,0,254,1,93.7
"73","WR73","Tim Patrick",8.19,2.85,33.98,0.23,"2024_17_DET_SF",50.5,"SF",-3.5,0,"2024-12-30","Monday","20:15",12087,"WR","DET",14,11.7,4,72.1,33.3,1,3,0,0,0,20,11,0,88,76.6,68.4,67.3,67.6,0,0,3,42,0.6,2,308,0,97.4
"74","WR74","Malik Washington",8.18,2.89,41.99,0.3,"2024_17_MIA_CLE",32.5,"CLE",-3,0,"2024-12-29","Sunday","16:05",97108,"WR","MIA",12,5,1,69.2,33.3,2,6,1,5.3,1,6,17,0,68.7,84.9,54.1,64.9,56,1,2,0,20,0.5,1,204,2,96.1
"75","WR75","Van Jefferson",8.18,2.22,33.94,0.46,"2024_17_KC_PIT",43.5,"KC",3,1,"2024-12-25","Wednesday","13:00",47447,"WR","PIT",15,11.9,4,60,66.7,2,3,0,8.7,2,11,25,0,60.3,74.9,56.9,69.6,57.1,0.3,1,0,43,1.1,4,366,4,91.8
"76","WR76","Dante Pettis",8.13,3.34,39.65,0.17,"2024_17_LV_NO",37.5,"LV",2,1,"2024-12-29","Sunday","13:00",48113,"WR","NO",6,11.1,2,46.7,0,0,1,0,0,0,5,20,0,76.5,81.4,68.2,NA,67.4,0,0,0,20,0,0,74,0,95.9
"77","WR77","Alec Pierce",8.11,3.11,33.3,0.3,"2024_17_IND_NYG",40.5,"NYG",-7.5,0,"2024-12-29","Sunday","13:00",78038,"WR","IND",14,22.6,0,51.8,41.2,7,17,0,9.4,3,25,14,0,50.9,76.8,71.9,68.1,73,0,0,5,65,0.2,1,405,1,93.1
"78","WR78","Christian Watson",8.07,3.12,39.75,0.11,"2024_17_GB_MIN",49,"MIN",-1,0,"2024-12-29","Sunday","16:25",66581,"WR","GB",14,19,1,58,66.7,10,15,0,3.3,1,21,12,1,77.3,28.6,70.6,66.2,72.9,0.7,2,2,60,0.3,1,287,2,92.7
"79","WR79","Jalen Brooks",8.05,2.8,34.95,0.19,"2024_17_DAL_PHI",37.5,"PHI",7.5,0,"2024-12-29","Sunday","13:00",111284,"WR","DAL",12,14.2,2,37.9,35.7,5,14,0,0,0,7,9,0,78.7,71.5,57.3,NA,57.1,0,0,2,41,0,0,219,0,92.2
"80","WR80","Jalen Nailor",7.96,2.22,32.64,0.4,"2024_17_GB_MIN",49,"GB",1,1,"2024-12-29","Sunday","16:25",84292,"WR","MIN",15,12,0,60.6,40,2,5,1,16.7,4,17,18,0,37.1,76.2,55.9,NA,56.5,0,0,0,33,0,0,362,3,92
"81","WR81","Andrei Iosivas",7.9,2.54,35.24,0.38,"2024_17_DEN_CIN",50.5,"DEN",-3.5,1,"2024-12-28","Saturday","16:30",109811,"WR","CIN",15,12.1,0,59.6,50,5,10,0,6.1,2,23,7,0,68.1,76.6,52.4,65.7,54.6,0,0,1,39,0.2,1,523,2,92.2
"82","WR82","Dwayne Eskridge",7.8,2.6,36.86,0.29,"2024_17_MIA_CLE",32.5,"CLE",-3,0,"2024-12-29","Sunday","16:05",29573,"WR","MIA",5,9,0,100,NA,0,0,0,0,0,2,17,0,68.3,72.4,71.6,NA,71.6,0,0,0,30,0,0,21,0,85.7
"83","WR83","Jhaquan Jackson",7.7,2.19,28.68,0.31,"2024_17_TEN_JAX",38,"JAX",-1,0,"2024-12-29","Sunday","13:00",101135,"WR","TEN",6,25,0,33.3,NA,0,0,0,0,0,1,31,0,68.3,20.4,69.3,NA,67.7,0,0,0,8,0,0,19,0,89.5
"84","WR84","Keon Coleman",7.59,2.59,31.52,0.27,"2024_17_NYJ_BUF",44.5,"NYJ",-10,1,"2024-12-29","Sunday","13:00",144949,"WR","BUF",11,15.4,5,60,38.5,5,13,2,11.1,3,18,4,0,55.1,75.9,69.6,NA,70.3,0,0,2,64,0,0,284,4,93
