"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"33","RB33","Javonte Williams","2024_18_KC_DEN",-0.256,8.8,7.8,32.2,0.18,3.6,21.6,40,"KC",8,-10.5,1,8.4,30.2,3.6,0.2,0.32,3.9,1.08,59.6,0.15,-0.13,-0.12,-0.74,NA,-0.92
"34","RB34","Jerome Ford","2024_18_CLE_BAL",-0.075,7.9,8.5,35,0.27,2.2,13.8,41,"BAL",4,20,0,7.4,40,5.4,0.2,0.28,3,0.74,80.3,0.3,-0.164,-0.65,-1.2,NA,0.98
"35","RB35","Justice Hill","2024_18_CLE_BAL",0.287,7.8,5.1,19.7,0.3,2.7,25.7,41,"CLE",14,-20,1,3.1,15.2,4.9,0.1,0.09,3.1,1.64,78.1,0.27,-0.106,1.53,-0.42,NA,2.14
"36","RB36","Tyjae Spears","2024_18_HOU_TEN",0.013,7.8,7.2,31.2,0.23,2.5,17.4,37,"HOU",13,-1.5,1,7.1,26.3,3.7,0.3,0.2,2.8,1.34,67.9,0.32,-0.115,-0.78,-0.54,NA,-0.26
"37","RB37","Isiah Pacheco","2024_18_KC_DEN",0.3,7.8,10.7,42.9,0.24,1.5,11.8,40,"DEN",3,10.5,0,11.9,44,3.7,0.1,0.19,2.3,0.81,64.8,0.09,-0.169,0.31,-1.27,NA,-0.88
"38","RB38","Ameer Abdullah","2024_18_LAC_LV",-0.739,7.3,6.4,29.3,0.16,2.4,17.2,41.5,"LAC",11,4.5,1,4.7,22.1,4.7,0.1,0.18,3.2,1.01,67,0.18,-0.122,-2.53,-0.63,NA,-0.51
"39","RB39","Isaac Guerendo","2024_18_SF_ARI",-0.071,7.3,7.7,36.2,0.17,1.9,11.6,42.5,"ARI",25,4,0,5.9,30.1,5.1,0.3,0.19,1.1,1.43,68.4,0.16,-0.028,0.22,0.64,NA,0.26
"40","RB40","Sean Tucker","2024_18_NO_TB",0.27,7.1,5.8,26.2,0.24,1.6,11.2,43.5,"NO",30,-14,1,4.4,26.8,6.1,0.2,0.11,1,2.73,75.2,0.16,0.027,1.18,1.38,NA,0.66
"41","RB41","Tyler Allgeier","2024_18_CAR_ATL",0.068,6.9,8.8,37.7,0.29,1.1,8.5,48,"CAR",32,-8,1,8,36.8,4.6,0.2,0.28,0.7,0.81,84.4,0.29,0.082,0.42,2.13,NA,1.25
"42","RB42","Antonio Gibson","2024_18_BUF_NE",0.125,6.9,7.7,30.2,0.2,1.7,9.9,37.5,"BUF",6,2.5,1,6.8,31.3,4.6,0.1,0.26,1.4,1.31,75,0.33,-0.148,-1.22,-0.99,NA,1.52
