"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","rush_td_proj","total_line","opp","spread","home","attempts_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd","tack_sd","touches_game_sd","gameday","weekday"
"58","RB58","Ty Johnson","2024_15_BUF_DET",-0.096,6,5.2,19,0.2,54.5,"DET",2.5,0,2.1,5.4,0.1,0.07,1.2,1.2,81.8,0.08,-0.144,1.43,-1.02,NA,-0.3,NA,-1.05,"2024-12-15","Sunday"
"59","RB59","Julius Chestnut","2024_15_CIN_TEN",-0.667,6,5.1,23.2,0.2,46,"CIN",5,1,2.1,4.4,0,0.05,0.2,0.73,69.3,0.21,0.04,-1.01,1.64,NA,-0.32,NA,-1.13,"2024-12-15","Sunday"
"60","RB60","Jamycal Hasty","2024_15_NE_ARI",-0.537,6,4.9,19.6,0.2,46.5,"ARI",5.5,0,1.8,3.5,0,0.06,1,0.88,72.3,0.37,-0.035,-0.69,0.55,NA,-0.15,NA,-1.08,"2024-12-15","Sunday"
"61","RB61","Sean Tucker","2024_15_TB_LAC",-0.064,6,6.2,23.9,0.2,45.5,"LAC",2.5,0,3.7,7.2,0.2,0.09,1.1,2.81,77.1,0.17,-0.109,0.93,-0.52,NA,0.44,NA,-0.8,"2024-12-15","Sunday"
"62","RB62","Devin Singletary","2024_15_BAL_NYG",-0.15,5.9,7.1,28.8,0.1,42.5,"BAL",16.5,1,8.1,4,0.3,0.26,1.7,0.78,61.8,0.27,-0.165,-0.17,-1.33,NA,-0.17,NA,-0.05,"2024-12-15","Sunday"
"63","RB63","Raheem Mostert","2024_15_MIA_HOU",-0.228,5.7,5.6,21.3,0.1,46.5,"HOU",3,0,7.2,3.6,0.2,0.19,1.6,1.02,70.4,0.23,-0.147,-2.26,-1.07,NA,-0.06,NA,-0.19,"2024-12-15","Sunday"
"64","RB64","Jamaal Williams","2024_15_WAS_NO",-0.09,5.7,5.6,26.9,0.1,44,"WAS",7.5,1,3.5,3.7,0.1,0.09,0.7,0.83,68.1,0.12,-0.035,0.71,0.55,NA,-0.48,NA,-0.86,"2024-12-15","Sunday"
"65","RB65","Cordarrelle Patterson","2024_15_PIT_PHI",-0.009,5.7,4.4,21.3,0.1,43,"PHI",5.5,0,3.1,4.5,0,0.06,1.3,1.68,61.4,0.26,-0.173,-0.55,-1.44,NA,0.88,NA,-0.86,"2024-12-15","Sunday"
"66","RB66","Dameon Pierce","2024_15_MIA_HOU",-0.033,5.7,5.9,27.5,0.2,46.5,"MIA",-3,1,2.5,6.7,0.2,0.05,0.3,0.08,77.7,0.47,-0.117,-0.88,-0.63,NA,4.51,NA,-1.07,"2024-12-15","Sunday"
"67","RB67","Tyler Goodson","2024_15_IND_DEN",-0.398,5.5,4.9,17.9,0.1,44,"DEN",4,0,2.5,4.7,0.1,0.08,1.2,0.88,66.9,0.16,-0.137,-0.37,-0.92,NA,-0.57,NA,-0.98,"2024-12-15","Sunday"
