"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"42","Byron Pringle","CHI",3100,2.55,6.56,67.8,NA,1.1,1.14,NA,"BUF",18,6,0.49,0.92,0.43,14,19,15,0.289,17,64,0.711,95.5,23.9,69.31,58.92,9,0.061,2,1,"Byron Pringle 3100 2.55"
"43","Tre'Quan Smith","NO",3000,1.72,5.85,71.8,NA,2.3,1.69,NA,"CLE",5,20,0.7,2.23,1.53,23,10,51,0.236,13,96,0.764,94.2,67.3,NA,NA,21,-0.074,1,3.4,"Tre'Quan Smith 3000 1.72"
"44","Ray-Ray McCloud III","SF",3400,0.68,5.6,71.1,19.8,1.4,1.48,-0.461,"WAS",12,5,-0.96,0.88,1.84,10,23,39,0.303,9,82,0.697,92.5,42.2,66.01,64.46,3,0.013,1,3.9,"Ray-Ray McCloud III 3400 0.68"
"45","Olamide Zaccheaus","ATL",3300,1.21,5.6,65.3,38,3.4,1.67,0.091,"BAL",7,17,-0.58,1.28,1.86,9,24,62,0.307,14,210,0.693,93.5,64.4,NA,NA,16,-0.044,2,5.3,"Olamide Zaccheaus 3300 1.21"
"46","Quez Watkins","PHI",3600,1.84,5.53,56.5,35.6,2.8,0.95,-0.418,"DAL",16,10,-0.26,0.48,0.74,21,12,108,0.248,28,200,0.752,93.9,75.7,67.13,61.25,1,0.039,3,4.3,"Quez Watkins 3600 1.84"
"47","Robert Woods","TEN",4000,1.12,5.41,67.4,49.6,4.7,1.13,0.138,"HOU",22,32,-0.32,1.04,1.36,25,8,90,0.234,27,247,0.766,93.7,27.2,NA,NA,30,0.089,1,3.2,"Robert Woods 4000 1.12"
"48","Dante Pettis","CHI",3200,1.11,5.05,55.2,18.4,1.9,0.87,-0.732,"BUF",18,6,-1.4,0.03,1.43,14,19,83,0.289,17,148,0.711,93.9,35.1,69.31,58.92,9,0.061,2,3.6,"Dante Pettis 3200 1.11"
"49","DeSean Jackson","BAL",3200,1.44,4.93,77.1,43.2,2.6,2.44,0.185,"ATL",31,30,-0.98,2,2.98,18,14,7,0.263,24,44,0.737,93.2,22,59.73,57.83,29,0.229,0,2.6,"DeSean Jackson 3200 1.44"
"50","Kadarius Toney","KC",4400,0.31,4.83,66.7,NA,1.8,1.4,NA,"SEA",26,24,-1.31,0,1.31,26,7,7,0.231,29,40,0.769,91.4,39.7,55.5,63.68,24,0.132,1,6.3,"Kadarius Toney 4400 0.31"
"51","Justin Watson","KC",3000,0.12,4.79,53.3,16.2,1.7,0.92,-0.584,"SEA",26,24,0.35,1.1,0.75,26,7,94,0.231,29,117,0.769,93,33.7,55.5,63.68,24,0.132,2,1.9,"Justin Watson 3000 0.12"
"52","Shi Smith","CAR",3000,1.16,4.73,49.1,11.1,2.4,0.76,-0.433,"DET",26,30,0.73,1.44,0.71,2,31,57,0.447,22,196,0.553,95.2,78.9,57.41,49.4,31,0.132,1,4,"Shi Smith 3000 1.16"
"53","Tyquan Thornton","NE",3000,1.21,4.73,56.3,NA,3.1,0.71,NA,"CIN",4,12,0.0599999999999999,0.59,0.53,12,21,65,0.292,16,134,0.708,94.4,24.5,66.05,59.56,12,-0.087,1,3.1,"Tyquan Thornton 3000 1.21"
"54","Marquez Callaway","NO",3000,1.87,4.58,59.5,NA,2.8,0.85,NA,"CLE",5,20,0.37,1.06,0.69,23,10,49,0.236,13,106,0.764,95.4,6.7,NA,NA,21,-0.074,1,2.4,"Marquez Callaway 3000 1.87"
"55","Amari Rodgers","HOU",3400,0.25,4,65.9,24.4,1.5,1.3,-0.314,"TEN",20,16,0.66,2.08,1.42,16,18,30,0.284,11,61,0.716,92.7,61.8,66.27,59.87,18,0.066,1,3.5,"Amari Rodgers 3400 0.25"
"56","Velus Jones Jr.","CHI",3000,0.97,3.74,55.5,NA,0.8,0.6,NA,"BUF",18,6,-0.56,0,0.56,14,19,13,0.289,17,32,0.711,93.8,18.8,69.31,58.92,9,0.061,1,9.3,"Velus Jones Jr. 3000 0.97"
