player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jalen Hurts,40291,QB,PHI,15,80.1,321,361,8.4,3.21,8,14,3.7,68.7,248,0,177,3.5,442,9,159,24,53.2,76.3,67.0,88.7,2,5,467,4,21.5,103.7,8.6,38,38,1,29,18,16,3.4,2903,8.0
Bryce Young,123943,QB,CAR,13,70.8,315,350,9.0,2.92,2,24,6.4,59.7,209,0,166,6.3,412,14,114,5,59.4,70.4,71.8,55.9,2,9,438,9,17.5,78.2,7.0,29,33,0,31,12,12,2.7,2152,6.1
Daniel Jones,39395,QB,NYG,10,77.7,309,341,7.5,2.71,5,7,1.9,63.3,216,0,145,10.0,389,24,110,21,80.1,72.0,67.5,79.0,3,7,418,5,20.0,79.4,7.5,29,16,4,20,8,9,2.2,2070,6.1
Drake Maye,143969,QB,NE,12,74.8,310,337,7.4,2.82,4,14,3.7,66.8,225,0,157,3.0,420,7,132,19,48.4,70.4,65.3,82.9,5,10,459,2,21.0,88.3,7.9,33,45,1,17,15,16,3.5,2276,6.8
Cooper Rush,12324,QB,DAL,11,70.5,285,308,7.5,2.35,13,8,2.4,60.7,187,0,75,7.0,326,14,92,9,26.0,52.9,59.8,24.0,2,5,352,0,17.3,83.8,4.0,13,4,1,7,12,12,3.4,1844,6.0
Gardner Minshew,41401,QB,LV,10,76.8,271,306,6.2,2.63,9,5,1.5,66.3,203,0,121,2.4,346,5,110,23,47.7,60.7,61.7,46.1,2,10,370,1,24.0,81.0,8.4,29,11,3,21,9,9,2.4,2013,6.6
Russell Wilson,7077,QB,PIT,10,77.8,266,305,8.4,2.88,7,18,5.7,64.6,197,1,136,4.8,354,10,113,25,49.3,76.6,74.0,71.0,3,5,368,3,21.3,97.4,8.2,29,18,2,27,15,7,1.9,2334,7.7
Jameis Winston,9434,QB,CLV,9,70.7,273,296,9.7,2.67,10,12,3.8,61.1,181,1,103,6.2,329,12,108,8,83.5,73.8,69.9,84.3,4,12,347,5,23.3,80.6,7.3,24,8,1,8,13,18,5.2,2121,7.2
Dak Prescott,10769,QB,DAL,8,72.4,268,286,8.3,2.63,6,14,4.5,64.7,185,0,98,4.6,317,9,88,9,56.0,67.9,67.2,59.6,4,8,344,3,21.4,86.0,6.6,21,6,2,6,11,16,4.7,1978,6.9
Will Levis,83542,QB,TEN,11,73.8,263,284,8.7,2.76,3,14,4.6,63.7,181,0,129,6.7,343,13,89,31,37.6,56.3,54.3,67.0,4,12,364,3,31.0,79.8,11.7,40,19,0,14,12,16,4.4,1916,6.7
Trevor Lawrence,77632,QB,JAX,10,70.0,270,284,9.9,2.63,2,13,4.4,60.6,172,0,90,9.0,317,17,103,15,70.7,76.8,73.8,75.6,1,7,332,1,20.0,85.2,5.7,18,13,1,10,11,13,3.9,2045,7.2
Derek Carr,8671,QB,NO,10,78.7,253,279,8.6,2.64,3,16,5.4,67.7,189,0,94,5.0,300,10,94,20,60.6,85.6,86.7,48.6,3,5,319,4,8.5,101.0,2.7,8,8,0,20,15,8,2.5,2145,7.7
Anthony Richardson,124393,QB,IND,11,60.2,236,264,12.3,2.95,3,19,6.8,47.7,126,1,115,11.3,299,16,82,14,28.2,62.2,59.8,65.1,11,12,317,4,12.2,61.6,4.7,14,21,2,12,8,15,4.7,1814,6.9
Mac Jones,60323,QB,JAX,9,73.1,212,230,7.5,2.67,5,6,2.4,65.7,151,0,65,2.6,254,4,71,15,78.9,65.3,63.1,72.4,2,7,272,3,18.5,80.5,4.7,12,12,0,11,7,9,3.3,1447,6.3
Mason Rudolph,46569,QB,TEN,7,76.9,195,219,7.9,2.7,2,6,2.5,63.5,139,0,87,7.3,244,11,81,31,46.7,62.2,61.6,63.7,4,9,263,4,11.5,79.3,4.1,10,12,3,15,9,8,3.0,1460,6.7
Deshaun Watson,11767,QB,CLV,7,76.8,198,216,7.1,3.05,2,8,3.5,63.4,137,0,118,9.9,270,15,54,8,56.9,63.1,63.4,57.6,6,3,290,2,28.0,79.0,12.2,33,21,0,10,5,5,1.7,1148,5.3
Aidan O'Connell,60516,QB,LV,8,70.5,190,209,8.2,2.77,4,10,4.5,62.2,130,0,73,3.0,221,4,71,23,77.4,60.8,58.9,66.6,4,3,239,2,13.7,85.4,4.5,10,2,1,10,6,8,3.3,1398,6.7
Joe Flacco,4332,QB,IND,6,73.1,197,208,9.1,2.59,2,7,3.1,66.8,139,1,66,3.5,227,5,77,14,76.8,69.4,68.8,55.4,1,7,246,2,22.7,91.4,6.6,15,3,0,8,11,11,4.5,1497,7.2
Spencer Rattler,97408,QB,NO,6,69.1,165,186,8.1,2.8,5,6,3.0,55.9,104,0,88,8.8,219,10,53,20,25.3,53.6,51.3,67.9,5,5,236,0,22.7,67.0,9.1,20,13,1,10,3,12,5.1,1077,5.8
Jacoby Brissett,10725,QB,NE,7,70.6,143,161,7.3,2.89,1,5,2.9,59.0,95,0,82,5.9,188,6,45,19,37.3,59.1,58.5,56.7,5,1,200,2,22.0,74.2,9.6,18,9,1,11,2,6,3.0,826,5.1
Justin Fields,82118,QB,PIT,7,78.2,147,161,7.8,3.08,2,6,3.4,65.8,106,0,78,7.8,196,9,51,25,63.1,71.5,66.3,76.8,3,1,214,4,20.5,93.3,8.2,16,18,1,8,5,6,2.8,1106,6.9
Andy Dalton,6187,QB,CAR,6,77.5,151,160,7.0,2.54,3,6,3.6,66.3,106,0,50,9.4,175,11,52,5,58.2,68.1,67.4,58.0,0,6,185,0,14.0,82.0,4.0,7,6,0,6,7,8,4.3,989,6.2
Drew Lock,39517,QB,NYG,6,68.1,135,152,8.1,2.9,7,5,3.1,55.9,85,0,68,7.6,175,7,49,21,33.4,52.2,47.0,90.4,3,4,187,4,17.6,74.3,6.9,12,10,1,6,5,10,5.3,933,6.1
