player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Walker Eget,146170,QB,S JOSE ST,1,0,285,60.0,100.0,2,50.0,2,60.0,0,100.0,4,4,60.0,100.0,1,25.0,1
Kiyaunta Goodwin,157098,T,KENTUCKY,3,0,202,,,0,0.0,0,69.3,0,100.0,4,4,68.1,100.0,2,50.0,2
Mason Mangum,131655,WR,CAL,2,0,130,60.0,100.0,2,50.0,2,60.2,0,80.0,4,5,60.0,100.0,2,50.0,2
Holden Geriner,157045,QB,AUBURN,1,0,115,60.0,100.0,1,25.0,1,60.0,0,100.0,4,4,60.0,100.0,2,50.0,2
Jordan James,163295,HB,OREGON,4,0,264,58.5,12.5,2,50.0,16,58.3,0,18.2,4,22,60.0,20.0,1,25.0,5
Luca Diamont,122370,WR,DUKE,2,0,154,,,0,0.0,0,60.5,0,100.0,4,4,60.5,100.0,4,100.0,4
Tobias Merriweather,156980,WR,NOTRE DAME,1,0,258,60.1,100.0,3,75.0,3,60.1,0,100.0,4,4,60.0,100.0,1,25.0,1
Holden Staes,156971,TE,NOTRE DAME,2,0,258,56.1,100.0,2,50.0,2,55.5,0,100.0,4,4,60.0,100.0,2,50.0,2
Dustin Allison,156839,QB,SO MISS,1,0,296,,,0,0.0,0,60.0,0,100.0,4,4,60.0,100.0,4,100.0,4
Wil Saxton,156838,G,SO MISS,1,0,296,,,0,0.0,0,66.3,0,100.0,4,4,66.3,100.0,4,100.0,4
Casey Reynolds,147315,TE,ARMY,1,0,114,59.2,100.0,2,50.0,2,57.9,0,100.0,4,4,60.0,100.0,1,25.0,1
Terrence Salami,145134,C,RUTGERS,1,0,278,60.0,100.0,2,50.0,2,59.7,0,100.0,4,4,59.8,100.0,2,50.0,2
Charlie Offerdahl,146314,HB,COLORADO,5,0,143,60.0,5.3,1,25.0,19,58.6,0,12.1,4,33,60.0,15.4,2,50.0,13
Darius Ocean,123459,QB,W KENTUCKY,2,0,346,60.0,60.0,3,75.0,5,60.0,0,57.1,4,7,60.0,100.0,1,25.0,1
Jordan Crumpton,123477,TE,LA MONROE,1,0,209,58.7,100.0,1,25.0,1,56.2,0,100.0,4,4,59.9,100.0,3,75.0,3
Marquez Bell,123555,WR,DOMINION,1,0,263,60.1,100.0,2,50.0,2,60.6,0,100.0,4,4,60.0,100.0,2,50.0,2
David Crossan,147360,T,ARMY,1,0,114,60.1,100.0,2,50.0,2,65.9,1,100.0,4,4,60.0,100.0,1,25.0,1
Mike Sharpe II,156651,HB,ARK STATE,2,0,113,59.7,50.0,2,50.0,4,68.3,0,30.8,4,13,60.0,12.5,1,25.0,8
CJ Johnson,123566,C,CINCINNATI,1,0,138,,,0,0.0,0,64.8,0,100.0,4,4,60.0,100.0,1,25.0,1
Kimani Vidal,123727,HB,TROY,5,0,318,60.0,2.8,1,25.0,36,60.0,0,7.1,4,56,,0.0,0,0.0,11
Chase Harrison,75491,QB,MARSHALL,1,0,214,60.0,100.0,2,50.0,2,60.0,0,100.0,4,4,60.0,100.0,2,50.0,2
Parker Navarro,123758,QB,OHIO,2,0,259,60.0,42.9,3,75.0,7,60.0,0,50.0,4,8,60.0,100.0,1,25.0,1
Brian Brewton,147377,HB,UCONN,2,0,146,59.7,25.0,2,50.0,8,59.6,0,20.0,4,20,,0.0,0,0.0,9
Easton Messer,163051,WR,W KENTUCKY,1,0,346,59.1,100.0,3,75.0,3,59.4,0,100.0,4,4,,,0,0.0,0
Alex Flinn,123797,QB,E CAROLINA,2,0,156,,,0,0.0,0,60.0,0,100.0,4,4,60.0,100.0,4,100.0,4
Keaton Mitchell,123826,HB,E CAROLINA,4,0,156,,0.0,0,0.0,6,59.0,0,7.8,4,51,60.0,2.4,1,25.0,41
Tailique Williams,123867,WR,GA STATE,2,0,175,59.5,100.0,1,25.0,1,59.6,0,100.0,4,4,60.1,100.0,3,75.0,3
Jase McClellan,123926,HB,ALABAMA,5,0,103,,0.0,0,0.0,10,59.4,0,10.3,4,39,59.3,11.1,3,75.0,27
Hayden Parise,145110,WR,PURDUE,1,0,273,,,0,0.0,0,60.4,0,100.0,4,4,60.4,100.0,4,100.0,4
Q'yaeir Price,156508,HB,RUTGERS,1,0,278,77.9,100.0,4,100.0,4,77.9,0,100.0,4,4,,,0,0.0,0
