player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Graham Glasgow,10729,C,DEN,1,0,0,10,,,60.0,,,,60.4,,,61.2,0,0,3,0,0,0,0,0,0
Eric Murray,10740,S,HST,1,0,0,13,59.7,,,,,,60.3,,,68.6,0,0,0,5,5,6,8,4,0
Miles Killebrew,10745,LB,PIT,1,0,0,25,,,,,,,59.5,,,67.0,0,0,0,0,5,6,8,3,0
De'Vondre Campbell,10749,LB,GB,1,0,0,12,58.5,,,,,,43.5,,,23.7,0,1,0,5,0,0,1,1,0
Hassan Ridgeway,10750,DI,SF,1,0,0,28,59.4,,,,,,59.8,,,63.7,0,0,0,1,0,0,0,0,0
David Onyemata,10754,DI,NO,1,0,0,20,58.6,,,,,,59.0,,,68.2,0,0,0,7,0,0,0,0,0
Andrew Billings,10756,DI,LV,1,0,0,23,60.0,,,,,,60.3,,,63.4,0,0,0,5,0,0,0,0,0
Deon Bush,10758,S,KC,2,0,0,16,59.9,,,,,,50.7,,,69.5,0,1,0,5,14,9,8,11,0
Demarcus Robinson,10760,WR,BLT,1,0,0,3,,,,,,,60.0,,,61.7,0,0,0,0,0,1,0,0,0
Dean Lowry,10771,DI,GB,1,0,0,12,59.0,,60.0,,,,59.4,,,65.2,0,0,1,5,0,0,0,0,0
Matthew Judon,10780,ED,NE,1,0,0,19,59.3,,,,,,61.3,,,66.7,0,0,0,4,0,0,0,3,0
Matt Ioannidis,10786,DI,CAR,1,0,0,5,59.1,,,,,,59.7,,,67.4,0,0,0,5,0,0,0,0,0
Jonathan Williams,10790,HB,WAS,1,0,0,32,,,,,,,71.5,,,66.0,0,0,0,0,0,6,3,3,1
D.J. Reader,10800,DI,CIN,1,0,0,7,58.9,,,,,,59.9,,,66.7,0,0,0,5,0,0,0,1,0
DeAndre Houston-Carson,10819,S,CHI,1,0,0,6,,,,,,,59.0,,,65.5,0,0,0,0,4,3,6,2,0
Wes Schweitzer,10829,G,WAS,1,0,0,32,,,60.0,,,,60.0,,,63.8,0,0,1,0,0,0,0,0,0
Derek Watt,10832,FB,PIT,1,0,0,25,,,,,,,55.8,,,68.4,0,0,0,0,5,6,8,3,0
Mike Thomas,10840,WR,CIN,1,0,0,7,,,,,,,60.5,,,68.1,0,0,0,0,0,4,0,2,0
