player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
James Camden,53418,S,CINCINNATI,1,0,,0,0,138,,60.8,64.9,,60.0,,,0,0,3,3,0.0,0,0
Deshawn Pace,53549,LB,CINCINNATI,4,4,3.0,0,0,138,58.6,57.8,77.3,64.4,54.4,47.0,28.6,4,1,90,91,5.6,5,6
Ja'von Hicks,53569,S,CINCINNATI,4,6,2.5,0,0,138,73.4,72.6,84.9,60.0,67.1,59.2,11.1,1,0,132,134,1.5,2,2
Eric Phillips,53572,ED,CINCINNATI,4,2,2.5,0,0,138,65.6,76.5,38.0,73.9,72.6,81.8,0.0,0,1,82,84,7.3,6,8
Ivan Pace Jr.,53587,LB,CINCINNATI,4,10,2.1,0,1,138,53.0,90.3,19.7,90.6,92.3,83.6,7.1,3,1,126,127,18.3,23,29
Ryan Mullaney,53704,ED,CINCINNATI,3,1,1.0,0,0,138,,66.0,78.0,54.0,68.7,49.7,12.5,1,0,47,47,10.6,5,6
Carrington Valentine,53750,CB,KENTUCKY,4,0,10.3,1,0,202,67.4,65.6,81.3,49.0,57.9,70.5,0.0,0,3,91,93,1.1,1,4
Jaheim Thomas,54193,LB,CINCINNATI,4,5,4.3,0,1,138,55.2,66.9,0.0,77.7,68.0,47.4,20.0,4,1,70,71,8.6,6,11
Isaiah Norman,54967,S,MARSHALL,2,0,2.5,0,0,214,56.5,62.7,77.5,,75.6,82.3,0.0,0,0,28,29,3.6,1,2
Aapri Washington,55013,CB,E CAROLINA,3,0,,0,0,156,63.7,64.5,73.8,59.3,62.6,,,0,0,12,12,0.0,0,0
Tim Terry,55020,LB,AKRON,2,2,2.5,0,0,102,80.2,56.3,76.0,45.3,33.1,33.2,42.9,3,0,36,36,5.6,2,2
Isaiah King,55037,CB,BUFFALO,2,1,16.5,0,0,126,59.7,59.8,75.8,59.1,60.8,58.2,25.0,1,0,29,29,0.0,0,2
Chibueze Onwuka,55044,DI,BOSTON COL,4,0,1.9,0,0,121,58.1,63.3,81.4,64.5,62.3,62.2,0.0,0,0,71,72,8.5,6,8
