player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
James Conner,11860,HB,ARZ,1,0,1,63.3,0,1,5,15.6,14.7,90.0,0,1,0,5,34,29.0,0,1,1,8.3,7.7,50.0,1,0,1,13
Tre' McKitty,60896,TE,LAC,1,0,27,41.5,0,0,4,23.5,27.8,100.0,1,0,0,5,18,,0,0,0,0.0,0.0,,0,0,0,5
C.J. Uzomah,9590,TE,NYJ,1,0,22,43.7,1,0,4,26.7,31.3,87.5,0,1,0,5,16,71.7,0,0,0,0.0,10.0,,0,0,1,10
Eric Tomlinson,9786,TE,DEN,1,0,10,28.3,0,0,4,36.4,36.4,100.0,0,0,0,4,11,,0,0,0,,,,0,0,0,0
Eno Benjamin,57136,HB,ARZ,1,0,1,80.8,0,0,4,25.0,25.0,100.0,0,0,0,4,16,80.5,0,0,3,27.3,27.3,100.0,0,0,3,11
Brevin Jordan,77887,TE,HST,1,0,13,58.6,0,0,4,13.8,13.8,100.0,0,0,0,4,29,30.8,0,0,1,12.5,12.5,100.0,0,0,1,8
Will Dissly,30762,TE,SEA,1,0,29,81.7,0,0,3,17.6,21.1,100.0,0,0,0,4,19,62.4,0,0,1,14.3,14.3,100.0,0,0,1,7
Chase Edmonds,45851,HB,MIA,1,0,17,57.5,0,1,4,16.0,16.0,87.5,0,1,0,4,25,43.3,0,1,2,20.0,20.0,75.0,1,0,2,10
Dalvin Cook,11796,HB,MIN,1,0,18,80.3,0,0,4,14.8,14.3,100.0,0,0,0,4,28,78.4,0,0,2,18.2,18.2,100.0,0,0,2,11
Jerick McKinnon,8731,HB,KC,1,0,16,31.2,1,0,4,19.0,18.2,87.5,0,1,0,4,22,,0,0,0,0.0,0.0,,0,0,0,9
Jeff Wilson Jr.,29413,HB,SF,1,0,28,79.9,0,0,4,19.0,18.2,100.0,0,0,0,4,22,70.4,0,0,1,10.0,9.1,100.0,0,0,1,11
Noah Gray,60878,TE,KC,1,0,16,74.7,0,0,4,23.5,23.5,100.0,0,0,0,4,17,,0,0,0,0.0,0.0,,0,0,0,3
Alec Ingold,34934,FB,MIA,1,0,17,55.7,0,0,4,36.4,36.4,100.0,0,0,0,4,11,25.0,0,0,1,25.0,25.0,100.0,0,0,1,4
J.C. Hassenauer,45600,C,PIT,1,0,25,13.1,0,0,4,100.0,100.0,100.0,0,0,0,4,4,69.3,0,0,1,100.0,100.0,100.0,0,0,1,1
Breece Hall,97636,HB,NYJ,1,0,22,62.4,0,0,3,10.3,12.9,100.0,0,0,0,4,31,53.8,0,0,1,8.3,14.3,100.0,0,0,2,14
Drew Sample,47259,TE,CIN,1,0,7,74.3,0,0,4,26.7,26.7,100.0,0,0,0,4,15,72.5,0,0,2,25.0,25.0,100.0,0,0,2,8
Charlie Woerner,42257,TE,SF,1,0,28,74.9,0,0,4,66.7,66.7,100.0,0,0,0,4,6,,0,0,0,,,,0,0,0,0
Marcedes Lewis,2973,TE,GB,1,0,12,56.1,0,1,4,40.0,40.0,87.5,0,1,0,4,10,,0,0,0,0.0,0.0,,0,0,0,2
Dameon Pierce,83659,HB,HST,1,0,13,58.8,0,0,3,37.5,44.4,100.0,0,0,0,4,9,,0,0,0,0.0,0.0,,0,0,0,1
James Robinson,22425,HB,JAX,1,0,15,58.5,0,1,4,21.1,19.0,87.5,0,1,0,4,21,72.4,0,0,1,12.5,11.1,100.0,0,0,1,9
Chris Myarick,47358,TE,NYG,1,1,21,20.9,0,0,3,37.5,44.4,100.0,1,0,0,4,9,,0,0,0,0.0,0.0,,0,0,0,1
J.D. McKissic,11047,HB,WAS,1,0,32,78.5,0,0,2,10.5,13.6,100.0,0,0,0,3,22,74.1,0,0,1,7.7,7.1,100.0,0,0,1,14
Logan Thomas,8755,TE,WAS,1,0,32,80.3,0,0,2,7.1,8.8,100.0,0,0,0,3,34,,0,0,0,0.0,0.0,,0,0,0,15
Keith Smith,9302,FB,ATL,1,0,2,76.6,0,0,2,28.6,37.5,100.0,0,0,0,3,8,,0,0,0,0.0,0.0,,0,0,0,2
Austin Hooper,10715,TE,TEN,1,0,31,11.7,1,0,3,12.0,10.3,83.3,0,1,0,3,29,0.0,1,0,1,8.3,6.7,50.0,1,0,1,15
Ben Ellefson,27766,TE,MIN,1,0,18,53.5,1,0,3,75.0,75.0,83.3,0,1,0,3,4,,0,0,0,,,,0,0,0,0
Connor McGovern,41714,G,DAL,1,0,9,75.7,0,0,3,100.0,100.0,100.0,0,0,0,3,3,74.1,0,0,1,100.0,100.0,100.0,0,0,1,1
Jack Stoll,42058,TE,PHI,1,0,24,53.3,0,0,3,37.5,37.5,100.0,0,0,0,3,8,,0,0,0,0.0,0.0,,0,0,0,2
Ian Thomas,42130,TE,CAR,1,0,5,29.5,0,0,2,9.1,12.5,100.0,1,0,0,3,24,,0,0,0,0.0,0.0,,0,0,0,6
Dontrell Hilliard,45691,HB,TEN,1,0,31,78.7,0,0,3,33.3,30.0,100.0,0,0,0,3,10,78.1,0,0,2,28.6,25.0,100.0,0,0,2,8
Saquon Barkley,45791,HB,NYG,1,0,21,52.5,0,1,3,12.5,11.5,83.3,0,1,0,3,26,,0,0,0,0.0,0.0,,0,0,0,11
Josh Oliver,47083,TE,BLT,1,0,3,74.6,0,0,2,33.3,42.9,100.0,0,0,0,3,7,,0,0,0,0.0,0.0,,0,0,0,2
