player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Matthew Criddle,83178,S,BYU,4,0,0,100.0,0,0,128,66.6,67.9,73.4,,65.0,78.9,0,0,0,8,0.0,0,0,0,100.0,1,0,5,0,6,19,0,0,0,0,0,9,19,0,13,5,0,3,1,0,0,8,14,8.0
D'Angelo Mandell,83184,CB,BYU,8,5,0,45.5,0,0,128,63.7,60.8,13.8,48.4,57.1,63.5,0,1,0,40,17.6,3,1,2,68.0,5,0,39,252,140,298,4,0,0,4,0,1,294,1,157,1,3,9,11,1,0,74,21,14.8
Malik Moore,83185,S,BYU,4,1,0,50.0,0,0,128,56.7,62.9,81.8,,73.8,86.0,0,0,0,4,0.0,0,0,0,95.8,1,0,15,6,71,167,0,0,0,0,0,144,167,0,96,2,2,7,2,0,1,4,0,4.0
Hasaan Hypolite,83194,S,HOUSTON,9,9,0,81.0,0,0,182,46.5,40.7,85.1,60.0,28.4,28.4,0,0,0,60,35.0,14,1,2,158.3,17,0,176,7,262,430,1,0,0,1,0,137,429,1,167,109,6,17,21,0,7,300,123,17.6
LJ Wallace,83195,S,TULSA,8,7,0,66.7,1,0,320,46.3,48.0,0.0,,55.2,44.5,0,0,0,75,19.0,8,1,4,147.0,16,0,189,6,180,451,8,0,0,8,0,47,443,0,271,200,8,27,24,0,4,287,81,17.9
Trey Dean III,83208,S,FLORIDA,8,12,0,60.7,0,0,163,57.9,60.6,44.4,60.8,65.3,57.6,0,0,0,70,14.7,10,3,1,96.9,17,0,258,2,269,543,16,0,0,16,0,196,527,9,265,70,12,46,28,0,0,297,138,17.5
Shawn Dourseau,83216,S,E CAROLINA,9,5,0,69.2,0,0,156,54.0,55.5,83.4,56.5,59.4,47.9,0,0,0,43,22.6,7,1,0,111.9,9,0,64,1,129,226,2,0,0,2,0,110,224,3,94,49,8,19,13,0,0,179,59,19.9
Divaad Wilson,83218,S,UCF,9,2,0,61.9,0,1,323,76.6,70.3,37.5,63.4,57.1,66.9,1,1,3,26,12.9,4,3,2,38.3,13,0,122,5,241,421,45,0,0,45,0,143,376,15,165,104,8,25,21,2,0,122,73,9.4
Otis Reese,83219,S,OLE MISS,9,18,0,73.1,1,0,226,61.3,60.2,16.2,69.1,58.3,73.6,1,4,0,18,11.9,7,3,3,99.4,19,1,257,34,227,495,101,0,0,101,0,36,394,44,224,67,16,34,26,6,1,147,79,7.7
Christopher Smith,83220,S,GEORGIA,9,6,0,55.6,0,0,173,81.7,81.0,86.5,64.6,73.0,55.0,1,1,2,22,20.0,8,1,2,46.1,10,0,67,1,285,453,0,0,0,0,0,308,453,3,165,77,10,26,18,2,1,81,23,8.1
Hugh Nelson II,83221,CB,HAWAII,10,9,0,62.2,0,0,180,58.6,62.2,84.7,60.0,76.6,79.5,0,0,0,54,8.7,4,5,1,118.3,23,0,11,462,266,496,2,0,0,2,0,0,494,1,229,21,7,33,37,0,3,332,103,14.4
Delano Ware,83234,S,W MICHIGAN,10,9,0,75.0,1,1,347,59.0,61.3,89.2,61.0,64.2,54.1,1,4,2,39,20.3,12,0,4,106.0,24,0,198,6,326,664,26,0,0,26,0,80,638,20,318,354,10,38,32,5,3,278,115,11.6
Jartavius Martin,83236,CB,ILLINOIS,9,5,0,50.0,0,2,187,72.7,78.6,41.2,72.4,91.1,90.2,0,0,3,62,4.4,2,9,2,58.5,25,1,34,7,312,511,2,0,0,2,0,168,509,3,196,300,10,38,50,1,1,397,108,15.9
Ron Hardge III,83238,CB,OREGON ST,3,1,0,100.0,0,0,265,67.4,70.3,77.3,66.2,69.3,81.1,0,1,0,17,0.0,0,0,0,87.5,5,0,4,21,19,45,0,0,0,0,0,0,45,2,24,20,1,4,5,1,0,25,18,5.0
