player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Ryan Neal,49132,S,TB,5,36,6.0,6.0,30,0,158.3,6,6,1,83,39,2.31
Carlton Davis III,49335,CB,TB,4,12,6.0,3.0,30,0,70.8,2,4,0,26,11,2.17
Avonte Maddox,50543,CB,PHI,2,58,5.8,4.5,24,0,97.0,10,13,0,96,46,1.66
Kyle Dugger,90621,S,NE,7,51,5.7,5.1,19,0,138.3,9,10,1,92,22,1.8
Greg Stroman Jr.,49354,CB,CHI,5,84,5.6,4.7,6,1,76.6,15,18,0,143,67,1.7
Alontae Taylor,83469,CB,NO,7,186,5.5,3.8,20,0,104.9,34,49,3,289,118,1.55
Anthony Walker Jr.,11916,LB,CLV,6,11,5.5,5.5,8,0,116.7,2,2,0,24,20,2.18
Darnay Holmes,56247,CB,NYG,3,11,5.5,3.7,21,0,70.1,2,3,0,0,11,0.0
Pat Surtain II,83119,CB,DEN,4,11,5.5,1.8,10,1,6.9,2,6,0,24,21,2.18
Christian Harris,98996,LB,HST,5,11,5.5,3.7,13,0,107.6,2,3,0,36,35,3.27
Tre Hawkins III,145387,CB,NYG,4,11,5.5,3.7,21,0,93.8,2,3,0,26,13,2.36
Alex Anzalone,11831,LB,DET,7,37,5.3,4.1,11,0,94.4,7,9,0,60,23,1.62
Demario Davis,7079,LB,NO,6,16,5.3,4.0,20,0,79.2,3,4,0,14,14,0.88
Shaquille Leonard,49684,LB,IND,6,16,5.3,4.0,14,0,86.5,3,4,0,21,10,1.31
Troy Hill,9881,CB,CAR,6,62,5.2,3.6,5,1,56.3,12,17,0,81,48,1.31
Reed Blankenship,56065,S,PHI,5,26,5.2,3.3,24,0,67.2,5,8,0,25,17,0.96
Marcus Jones,55717,CB,NE,2,5,5.0,5.0,19,0,127.1,1,1,1,5,0,1.0
Damarri Mathis,56143,CB,DEN,4,5,5.0,2.5,10,0,56.3,1,2,0,4,6,0.8
Marte Mapu,56159,S,NE,3,10,5.0,5.0,19,0,118.8,2,2,0,56,46,5.6
Yetur Gross-Matos,56444,ED,CAR,4,5,5.0,5.0,5,0,104.2,1,1,0,9,0,1.8
Roderic Teamer,51405,S,LV,3,5,5.0,5.0,23,0,100.0,1,1,0,8,9,1.6
Tre Brown,55677,CB,SEA,3,5,5.0,5.0,29,0,100.0,1,1,0,8,2,1.6
Raheem Layne,55960,S,LAC,2,5,5.0,5.0,27,0,104.2,1,1,0,9,2,1.8
Devin Lloyd,58238,LB,JAX,4,30,5.0,3.3,15,0,80.3,6,9,0,49,11,1.63
Darius Slay,7817,CB,PHI,3,5,5.0,2.5,24,0,91.7,1,2,0,23,21,4.6
C.J. Mosley,8652,LB,NYJ,5,10,5.0,5.0,22,0,118.8,2,2,0,27,20,2.7
Jordan Hicks,9517,LB,MIN,3,5,5.0,5.0,18,0,87.5,1,1,0,5,1,1.0
Kyzir White,44485,LB,ARZ,7,20,5.0,4.0,1,0,113.3,4,5,0,56,57,2.8
Sam Franklin Jr.,43580,S,CAR,4,20,5.0,2.9,5,1,74.1,4,7,2,41,14,2.05
Adrian Amos,9575,S,NYJ,4,15,5.0,3.0,22,0,75.4,3,5,0,28,20,1.87
Quandre Diggs,9633,S,SEA,4,10,5.0,5.0,29,0,79.2,2,2,0,4,3,0.4
Byron Young,146932,ED,LA,5,10,5.0,5.0,26,0,102.1,2,2,0,17,6,1.7
Julian Blackmon,49434,S,IND,7,64,4.9,4.0,14,0,97.9,13,16,0,120,83,1.88
Nate Hobbs,55948,CB,LV,3,74,4.9,3.7,23,0,104.4,15,20,1,111,91,1.5
Juan Thornhill,50426,S,CLV,4,19,4.8,3.2,8,0,82.6,4,6,0,36,9,1.89
Camryn Bynum,38408,S,MIN,7,81,4.8,3.9,18,0,89.7,17,21,0,116,95,1.43
M.J. Stewart,49397,S,HST,2,19,4.8,3.2,13,0,75.0,4,6,0,25,10,1.32
Kwon Alexander,9557,LB,PIT,6,14,4.7,4.7,25,0,118.8,3,3,0,46,8,3.29
Bobby Okereke,50954,LB,NYG,6,14,4.7,3.5,21,0,80.2,3,4,0,15,13,1.07
Jordan Howden,83305,S,NO,3,9,4.5,4.5,20,0,112.5,2,2,0,22,13,2.44
Stephon Gilmore,7016,CB,DAL,4,9,4.5,3.0,9,0,119.4,2,3,1,16,0,1.78
Troy Andersen,57317,LB,ATL,2,9,4.5,3.0,2,0,91.0,2,3,0,24,6,2.67
Malik Hooker,11770,S,DAL,4,9,4.5,4.5,9,0,118.8,2,2,0,50,27,5.56
Denzel Ward,49558,CB,CLV,4,9,4.5,3.0,8,0,72.9,2,3,0,11,14,1.22
Josey Jewell,50720,LB,DEN,5,22,4.4,4.4,10,0,118.8,5,5,0,69,33,3.14
Josh Metellus,43395,S,MIN,7,106,4.4,4.2,18,0,113.2,24,25,1,199,135,1.88
Quincy Williams,49779,LB,NYJ,6,44,4.4,3.4,22,0,115.9,10,13,1,75,46,1.7
Mario Goodrich,76578,CB,PHI,3,44,4.4,4.4,24,0,148.8,10,10,2,102,55,2.32
J.C. Jackson,42781,CB,NE,5,13,4.3,3.3,19,0,116.7,3,4,0,71,39,5.46
Damone Clark,81282,LB,DAL,5,13,4.3,4.3,9,0,81.9,3,3,0,11,15,0.85
Siran Neal,27130,CB,BUF,3,13,4.3,4.3,4,0,116.7,3,3,0,36,3,2.77
Ernest Jones,81399,LB,LA,6,13,4.3,3.3,26,0,108.3,3,4,0,42,34,3.23
Joshua Williams,156083,CB,KC,4,4,4.0,4.0,16,0,87.5,1,1,0,5,1,1.25
Ashtyn Davis,49560,S,NYJ,5,20,4.0,4.0,22,0,95.8,5,5,0,35,32,1.75
Demetrius Flannigan-Fowles,49231,LB,SF,2,4,4.0,2.0,28,0,56.3,1,2,0,5,9,1.25
Eric Kendricks,9478,LB,LAC,4,16,4.0,4.0,27,0,118.8,4,4,0,54,16,3.38
Ronald Darby,9483,CB,BLT,4,4,4.0,2.0,3,0,58.3,1,2,0,7,3,1.75
