player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Chris Harris Jr.,6457,CB,NO,8,164,6.3,5.1,20,0,116.4,26,32,1,302,132,1.84
Jerome Baker,28091,LB,MIA,13,31,6.2,6.2,17,0,137.1,5,5,1,37,31,1.19
Eric Rowe,9480,S,MIA,10,98,6.1,4.9,17,0,94.4,16,20,0,133,79,1.36
AJ Parker,55983,CB,DET,3,49,6.1,4.9,11,0,152.1,8,10,1,130,39,2.65
Mike Hughes,34057,CB,DET,7,135,6.1,5.4,11,0,158.3,22,25,3,318,111,2.36
Ben Niemann,51099,LB,ARZ,8,12,6.0,4.0,1,0,70.1,2,3,0,8,9,0.67
Patrick Queen,57941,LB,BLT,11,24,6.0,6.0,3,0,88.5,4,4,0,21,3,0.88
Jordan Kunaszyk,38548,LB,CLV,2,6,6.0,3.0,8,0,56.3,1,2,0,3,2,0.5
Jeremiah Owusu-Koramoah,58089,LB,CLV,8,24,6.0,3.4,8,0,114.9,4,7,1,43,21,1.79
Azeez Al-Shaair,49792,LB,SF,9,30,6.0,6.0,28,0,114.2,5,5,0,57,38,1.9
Jahlani Tavai,51055,LB,NE,8,12,6.0,4.0,19,0,71.5,2,3,0,10,8,0.83
P.J. Locke,51189,S,DEN,6,18,6.0,3.6,10,0,72.1,3,5,0,24,16,1.33
John Johnson III,11847,S,CLV,13,48,6.0,4.8,8,0,95.4,8,10,0,69,19,1.44
Marshon Lattimore,11766,CB,NO,4,6,6.0,3.0,20,0,58.3,1,2,0,7,4,1.17
Chris Lammons,49368,CB,KC,1,6,6.0,6.0,16,0,108.3,1,1,0,10,4,1.67
Dylan Cole,24304,LB,TEN,10,24,6.0,4.0,31,0,81.3,4,6,0,34,10,1.42
Kyle Fuller,8649,CB,BLT,1,12,6.0,6.0,3,0,106.3,2,2,0,19,0,1.58
Charvarius Ward,43034,CB,SF,5,6,6.0,6.0,28,0,118.8,1,1,0,25,8,4.17
Brandon Jones,43049,S,MIA,7,36,6.0,4.0,17,0,81.3,6,9,0,51,26,1.42
Jalen Thompson,49116,S,ARZ,14,72,6.0,4.2,1,0,109.2,12,17,1,117,67,1.63
Eric Stokes,55912,CB,GB,5,6,6.0,6.0,12,0,143.8,1,1,1,9,0,1.5
Jeremy Chinn,43179,S,CAR,8,90,6.0,4.5,5,0,90.2,15,20,0,123,52,1.37
Bradley Chubb,48526,ED,MIA,6,6,6.0,6.0,17,0,118.8,1,1,0,24,1,4.0
Reed Blankenship,56065,S,PHI,3,6,6.0,3.0,24,0,56.3,1,2,0,4,2,0.67
Asante Samuel Jr.,76625,CB,LAC,5,6,6.0,6.0,27,0,116.7,1,1,0,12,8,2.0
Darren Hall,60742,CB,ATL,7,12,6.0,6.0,2,0,118.8,2,2,0,27,2,2.25
David Long,29367,LB,TEN,10,18,6.0,6.0,31,0,88.9,3,3,0,16,15,0.89
Joshuah Bledsoe,60691,S,NE,2,6,6.0,2.0,19,0,81.9,1,3,1,9,0,1.5
Terrel Bernard,57739,LB,BUF,4,6,6.0,3.0,4,0,68.8,1,2,0,12,4,2.0
Isaiah Oliver,50393,CB,ATL,9,107,5.9,4.5,2,0,86.8,18,24,0,128,65,1.2
Darrick Forrest,55087,S,WAS,11,35,5.8,3.9,32,0,93.3,6,9,0,77,27,2.2
Kenneth Murray,58099,LB,LAC,10,35,5.8,4.4,27,0,94.3,6,8,0,57,37,1.63
Bryan Cook,55940,S,KC,9,17,5.7,5.7,16,0,158.3,3,3,2,62,3,3.65
Jaylinn Hawkins,51423,S,ATL,12,45,5.6,5.0,2,1,57.2,8,9,0,65,52,1.44
Tre Herndon,50380,CB,JAX,6,62,5.6,4.1,15,0,126.3,11,15,1,147,39,2.37
Jimmie Ward,8665,S,SF,8,247,5.6,4.7,28,1,104.8,44,53,3,345,206,1.4
Ja'Whaun Bentley,50966,LB,NE,8,11,5.5,3.7,19,0,71.5,2,3,0,10,17,0.91
Mykal Walker,57834,LB,ATL,13,55,5.5,5.0,2,0,103.8,10,11,0,98,32,1.78
Lorenzo Carter,50126,ED,ATL,9,11,5.5,5.5,2,0,91.7,2,2,0,12,4,1.09
Chauncey Gardner-Johnson,49371,S,PHI,11,77,5.5,5.1,24,0,143.8,14,15,2,135,76,1.75
Juju Hughes,49545,S,DET,3,11,5.5,5.5,11,0,125.0,2,2,1,9,3,0.82
Roderic Teamer,51405,S,LV,10,44,5.5,4.9,23,0,106.0,8,9,0,85,40,1.93
Casey Hayward Jr.,7064,CB,ATL,5,11,5.5,2.8,2,0,86.5,2,4,0,41,27,3.73
