player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Jakob Johnson,32565,FB,LV,10,0,23,54.8,100.0,78,66.7,78,55.8,0,100.0,117,117,57.8,100.0,19,16.2,19
A.J. Green,6156,WR,ARZ,8,0,1,49.6,100.0,49,41.9,49,55.3,1,100.0,117,117,63.3,100.0,46,39.3,46
Corey Davis,11760,WR,NYJ,7,0,22,59.5,100.0,40,34.5,40,66.7,0,100.0,116,116,58.0,100.0,61,52.6,61
Tyre Phillips,59874,T,NYG,5,0,21,61.4,100.0,66,57.4,66,58.1,0,100.0,115,115,48.2,100.0,40,34.8,40
Baker Mayfield,46518,QB,CAR,7,0,5,60.3,98.5,64,55.7,65,60.2,0,93.5,115,123,60.0,94.0,47,40.9,50
Pat Freiermuth,84085,TE,PIT,9,0,25,72.0,100.0,29,25.2,29,58.6,1,100.0,115,115,61.1,100.0,60,52.2,60
Austin Hooper,10715,TE,TEN,10,0,31,47.5,100.0,31,27.2,31,47.3,0,100.0,114,114,55.4,100.0,72,63.2,72
Cam Sims,47908,WR,WAS,11,0,32,52.3,100.0,41,36.0,41,39.7,0,100.0,114,114,59.2,100.0,62,54.4,62
Coleman Shelton,39316,C,LA,6,0,26,53.5,100.0,46,40.4,46,49.4,1,100.0,114,114,42.9,100.0,63,55.3,63
Bernhard Raimann,77948,T,IND,7,0,14,65.5,100.0,53,46.5,53,73.0,1,100.0,114,114,79.7,100.0,50,43.9,50
Trey McBride,75916,TE,ARZ,10,0,1,37.0,100.0,61,54.0,61,41.6,0,100.0,113,113,57.6,100.0,35,31.0,35
Pharaoh Brown,12247,TE,CLV,9,0,8,48.1,100.0,54,47.8,54,53.9,0,100.0,113,113,60.4,100.0,45,39.8,45
Cody Hollister,12052,WR,TEN,10,0,31,49.5,100.0,43,38.4,43,54.0,2,100.0,112,112,60.2,100.0,56,50.0,56
Zach Pascal,12303,WR,PHI,10,0,24,65.4,100.0,47,42.0,47,70.2,0,99.1,112,113,60.7,100.0,47,42.0,47
Ko Kieft,41372,TE,TB,10,0,30,56.8,100.0,67,59.8,67,61.5,2,100.0,112,112,70.2,100.0,28,25.0,28
Tee Higgins,61211,WR,CIN,10,0,7,50.8,100.0,49,43.8,49,60.9,0,100.0,112,112,62.3,100.0,47,42.0,47
Nico Collins,61441,WR,HST,8,0,13,70.9,100.0,50,45.0,50,63.3,0,100.0,111,111,59.7,100.0,57,51.4,57
Robert Tonyan,12193,TE,GB,11,0,12,60.8,100.0,34,30.6,34,47.2,0,100.0,111,111,59.4,100.0,72,64.9,72
Billy Price,46795,C,ARZ,5,0,1,58.8,100.0,57,51.4,57,54.2,0,100.0,111,111,48.9,100.0,37,33.3,37
Phil Haynes,29244,G,SEA,8,0,29,55.7,100.0,29,26.1,29,66.6,1,100.0,111,111,82.9,100.0,68,61.3,68
