player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Josh Allen,50235,ED,JAX,11,12,2.3,1,1,15,55.1,78.6,49.8,75.3,79.6,65.6,9.1,3,3,206,213,5.8,12,18
Marquis Haynes,50244,ED,CAR,12,4,4.4,0,0,5,80.6,64.4,68.5,62.9,49.3,69.6,10.0,1,1,90,90,2.2,2,5
Marcus Davenport,50291,ED,NO,10,8,2.8,0,0,20,73.3,75.2,53.0,74.6,65.2,67.5,4.5,1,2,145,150,5.5,8,13
Christian Wilkins,50293,DI,MIA,11,14,1.3,2,0,17,68.1,76.3,25.9,73.9,71.8,70.0,4.2,2,5,210,217,11.4,24,32
Michael Ojemudia,50327,CB,DEN,1,0,,0,0,10,60.0,60.6,66.0,,60.0,,,0,0,1,1,0.0,0,0
Cornell Armstrong,50351,CB,ATL,3,0,9.3,0,0,2,50.9,53.9,82.5,,66.9,74.4,0.0,0,0,75,78,0.0,0,4
Nik Needham,50356,CB,MIA,6,1,5.0,1,0,17,66.5,63.7,26.8,46.3,60.0,76.8,12.5,1,2,107,109,2.8,3,6
Anthony Averett,50365,CB,LV,7,0,10.0,1,0,23,51.0,52.2,83.2,,56.7,46.0,25.0,1,1,108,109,0.0,0,3
Aaron Robinson,50370,CB,NYG,2,1,5.0,0,0,21,73.2,74.3,77.1,,70.4,80.0,0.0,0,0,29,30,0.0,0,2
Tre Herndon,50380,CB,JAX,5,0,7.5,0,0,15,50.3,47.8,82.1,,32.9,50.4,20.0,1,1,44,44,2.3,1,4
Isaiah Oliver,50393,CB,ATL,7,3,4.5,0,0,2,60.3,65.7,80.6,59.7,78.5,54.5,22.2,2,0,85,89,1.2,1,4
A.J. Green,50394,CB,CLV,6,0,2.0,0,0,8,49.9,48.7,80.7,59.1,46.5,54.2,50.0,1,0,28,29,3.6,1,1
Jeremy Reaves,50406,S,WAS,5,1,,0,0,32,64.9,68.7,74.1,,63.8,78.0,0.0,0,0,11,11,0.0,0,0
Josh Jackson,50417,CB,PIT,2,0,,0,0,25,60.4,63.4,79.8,,74.8,80.6,,0,1,28,29,0.0,0,0
Juan Thornhill,50426,S,KC,10,4,9.3,0,0,16,58.1,55.6,55.1,60.9,49.1,54.0,29.4,5,3,195,203,0.0,0,8
Emmanuel Moseley,50430,CB,SF,5,3,2.2,0,0,28,73.5,70.9,84.7,40.6,58.6,38.2,33.3,4,2,108,111,3.7,4,5
Jalen Davis,50431,CB,CIN,1,0,,0,0,7,57.6,54.6,76.1,54.1,50.8,71.6,,0,0,14,14,0.0,0,0
Michael Jackson,50437,CB,SEA,11,2,5.5,1,0,29,57.6,60.1,86.4,57.7,67.1,60.4,11.8,2,5,296,302,2.7,8,13
