"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"14","Keith Mitchell",22969178,9000,68.06,65.17,10.7,87.85,28,0.7283,0.0137,0.454,0.334,0.1828,0.0932,0.0548,0.0165,7,0.0855,89,1.83,-0.19,-0.03,11,2022-06-12,"RBC Canadian Open"
"15","Justin Rose",22969180,8800,62.79,61.91,9.4,85.5,27,0.6663,0.01,0.3635,0.2537,0.1265,0.0614,0.0354,0.0101,4,0.0598,119,1.15,-0.49,-0.07,9,2022-06-12,"RBC Canadian Open"
"16","Sahith Theegala",22969181,8700,65.77,59.44,10.9,83.5,26.5,0.6624,0.0098,0.3562,0.2429,0.1202,0.0556,0.0333,0.009,53,0.136,47,1.03,-0.45,-0.07,11,2022-06-12,"RBC Canadian Open"
"17","Jhonattan Vegas",22969182,8500,66.28,66.99,11.6,90,28.5,0.7008,0.0139,0.4117,0.2881,0.1479,0.0694,0.0391,0.0118,53,0.1527,61.5,1.39,0.18,0.03,12,2022-06-12,"RBC Canadian Open"
"18","Mackenzie Hughes",22969183,8400,56.17,53.49,8.8,80,25,0.637,0.0093,0.3199,0.2143,0.1003,0.046,0.0243,0.0072,28,0.0949,72.5,0.86,-0.24,-0.04,9,2022-06-12,"RBC Canadian Open"
"19","Rasmus Hojgaard",22969184,8300,70.71,59.93,5.5,84.5,26,0.6077,0.0073,0.289,0.188,0.0864,0.0369,0.0192,0.0052,100,0.1173,20.5,0.63,-0.38,-0.06,5,2022-06-12,"RBC Canadian Open"
"20","Brendon Todd",22969185,8200,58.06,59.65,16.7,83.5,26.5,0.6402,0.0073,0.3178,0.2116,0.0989,0.0448,0.0243,0.0064,13,0.1561,77.5,0.78,-0.16,-0.02,17,2022-06-12,"RBC Canadian Open"
"21","Aaron Rai",22969187,7900,57.74,62.48,11.6,85.5,27.5,0.6445,0.0077,0.3291,0.2187,0.1026,0.045,0.0241,0.0066,13,0.1239,83.5,0.84,0.05,0.01,12,2022-06-12,"RBC Canadian Open"
"22","Mark Hubbard",22969188,7900,69.72,60.61,5.4,84,27,0.6482,0.0082,0.3292,0.2172,0.1008,0.0457,0.0244,0.0059,44,0.1265,67.5,0.75,-0.04,-0.01,5,2022-06-12,"RBC Canadian Open"
"23","Cameron Champ",22969189,7800,51.77,50.25,8.4,77,24.5,0.6134,0.0072,0.2957,0.1964,0.0927,0.0431,0.0249,0.0069,100,0.0611,25.5,0.88,0.12,0.02,8,2022-06-12,"RBC Canadian Open"
"24","Adam Long",22969190,7800,56.19,53.79,8.7,79,25,0.6564,0.0133,0.3481,0.2406,0.1221,0.0576,0.0322,0.0097,21,0.0608,65.5,1.24,0.48,0.07,9,2022-06-12,"RBC Canadian Open"
"25","Patrick Rodgers",22969191,7700,55.29,58.44,7.3,83,26,0.6365,0.0079,0.3142,0.2066,0.0963,0.0418,0.0223,0.0054,18,0.0926,80.5,0.7,-0.03,0,7,2022-06-12,"RBC Canadian Open"
"26","J.J. Spaun",22969192,7700,60.34,56.37,8.9,82.5,25.5,0.6577,0.0127,0.3488,0.2372,0.117,0.0546,0.0291,0.0076,100,0.0787,24,0.99,0.26,0.04,9,2022-06-12,"RBC Canadian Open"
"27","Nick Taylor",22969193,7700,54.42,57.95,10.3,82.5,26,0.6085,0.0098,0.2874,0.1836,0.0827,0.0368,0.0191,0.0052,28,0.0642,75.5,0.68,-0.05,-0.01,10,2022-06-12,"RBC Canadian Open"
"28","Dean Burmester",22969194,7600,61.85,58.14,1.4,83,26,0.601,0.0062,0.2722,0.1739,0.0776,0.0342,0.0178,0.0046,100,0.0196,19,0.61,-0.08,-0.01,1,2022-06-12,"RBC Canadian Open"
"29","Dylan Frittelli",22969196,7600,55.05,53.12,9.2,79,24.5,0.6536,0.0118,0.3492,0.2368,0.1153,0.0522,0.0289,0.0084,61,0.0935,49.5,1.11,0.42,0.06,9,2022-06-12,"RBC Canadian Open"
"30","Austin Smotherman",22969197,7500,57.75,55.26,9.8,81,25.5,0.5596,0.0053,0.2328,0.1464,0.063,0.0268,0.0139,0.0036,44,0.0719,66.5,0.48,-0.18,-0.03,10,2022-06-12,"RBC Canadian Open"
"31","Tyler Duncan",22969198,7500,55.47,53.51,7.6,80,25,0.5724,0.0084,0.2483,0.1587,0.0695,0.0294,0.0152,0.0045,100,0.0754,30,0.6,-0.06,-0.01,8,2022-06-12,"RBC Canadian Open"
"32","Martin Laird",22969199,7500,53.86,56.11,4.7,80.5,25.5,0.5806,0.0049,0.2463,0.1565,0.0659,0.0273,0.0138,0.0032,100,0.0322,24.5,0.43,-0.23,-0.03,5,2022-06-12,"RBC Canadian Open"
"33","Alex Smalley",22969200,7500,55.52,59.91,6.5,84.5,27,0.6288,0.0081,0.312,0.2066,0.0954,0.0439,0.0232,0.0069,21,0.0593,81.5,0.92,0.26,0.04,7,2022-06-12,"RBC Canadian Open"
"34","Matt Wallace",22969201,7400,46.21,49.76,6.1,76.5,24.5,0.4821,0.0034,0.1548,0.0886,0.0346,0.0131,0.0069,0.0015,35,0.0454,66.5,0.2,-0.41,-0.06,6,2022-06-12,"RBC Canadian Open"
"35","Danny Willett",22969202,7400,49.12,53.35,1.9,79.5,25.5,0.5702,0.0062,0.2412,0.1511,0.064,0.0261,0.0135,0.0035,28,0.0222,75.5,0.47,-0.14,-0.02,2,2022-06-12,"RBC Canadian Open"
"36","Emiliano Grillo",22969203,7400,51.78,57.34,4.8,83,26,0.5864,0.0071,0.2608,0.1671,0.0755,0.0336,0.0182,0.0049,28,0.0713,76.5,0.66,0.05,0.01,5,2022-06-12,"RBC Canadian Open"
"37","John Huh",22969204,7400,55.12,53.68,4,80,25.5,0.5739,0.005,0.2436,0.1507,0.064,0.0265,0.0137,0.0032,25,0.036,70,0.43,-0.18,-0.03,4,2022-06-12,"RBC Canadian Open"
"38","David Lipsky",22969205,7300,55.48,63.51,8.3,86.5,28,0.6298,0.0107,0.3195,0.2146,0.1004,0.0444,0.0242,0.007,100,0.1749,25,0.96,0.4,0.06,8,2022-06-12,"RBC Canadian Open"
"39","Stephan Jaeger",22969206,7300,49.26,53.42,4.1,80,25.5,0.5954,0.0068,0.2717,0.1744,0.0786,0.0339,0.0185,0.0044,100,0.0576,21,0.6,0.04,0.01,4,2022-06-12,"RBC Canadian Open"
"40","Matthias Schwab",22969207,7300,58.79,62.14,6,85,27.5,0.6037,0.0091,0.2786,0.1782,0.0787,0.0332,0.0181,0.0042,100,0.117,16.5,0.58,0.02,0,6,2022-06-12,"RBC Canadian Open"
"41","Greyson Sigg",22969208,7300,55.62,53.76,1.4,79,25.5,0.5783,0.0054,0.2459,0.1538,0.0668,0.0264,0.0134,0.0034,100,0.0129,16,0.47,-0.09,-0.01,1,2022-06-12,"RBC Canadian Open"
"42","Ryan Armour",22969209,7300,47.38,56.92,5.2,82.5,25.5,0.5564,0.0053,0.2269,0.143,0.0607,0.025,0.013,0.0035,35,0.0334,62,0.48,-0.08,-0.01,5,2022-06-12,"RBC Canadian Open"
"43","Joseph Bramlett",22969210,7200,50.88,54.44,2.5,80.5,25,0.5645,0.0077,0.2373,0.1502,0.0649,0.0274,0.0143,0.0033,100,0.0134,16.5,0.46,-0.05,-0.01,2,2022-06-12,"RBC Canadian Open"
