player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Naquan Jones,44363,DI,TEN,6,0,0,31,52.2,0,0,48,100.0,2.1,1,0,0.0,0,50,50,0,0,50.9,0,0,18,100.0,0.0,0,0.0,0,20,20,0
Isaiahh Loudermilk,44416,ED,PIT,3,0,0,25,52.0,0,0,28,100.0,3.6,1,0,0.0,0,30,30,0,0,52.6,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Kyzir White,44485,LB,PHI,8,0,0,24,53.8,0,1,15,5.8,13.3,2,3,3.3,0,277,16,1,0,57.3,0,1,9,6.3,22.2,2,5.6,0,159,10,1
Rashard Lawrence,44515,DI,ARZ,5,0,0,1,58.2,0,2,54,100.0,7.4,4,0,1.9,0,57,57,2,0,57.3,0,2,20,100.0,10.0,2,5.0,0,21,21,2
Trysten Hill,44519,DI,ARZ,7,0,0,1,63.6,2,2,70,98.6,12.9,9,1,2.9,0,71,70,4,0,78.3,2,0,21,100.0,33.3,7,4.8,0,21,21,2
Brian Burns,44522,ED,CAR,10,1,1,5,68.7,7,27,286,85.4,14.3,41,3,8.4,7,356,304,41,0,67.8,2,14,129,91.4,18.6,24,10.1,5,151,138,21
Ross Blacklock,44526,DI,MIN,8,0,0,18,52.9,0,8,70,100.0,12.9,9,0,5.7,0,76,76,8,0,60.1,0,7,43,100.0,20.9,9,8.1,0,47,47,7
D.J. Wonnum,44550,ED,MIN,7,0,0,18,60.0,2,14,135,92.2,14.8,20,0,8.9,4,154,142,20,0,63.0,1,10,76,90.8,18.4,14,12.5,4,87,79,15
Raekwon Davis,44582,DI,MIA,8,0,0,17,61.8,1,3,148,97.6,6.1,9,2,2.0,1,165,161,5,0,61.8,1,1,37,97.7,10.8,4,5.4,1,43,42,3
Jonah Williams,44597,DI,LA,4,0,0,26,54.3,0,0,11,100.0,0.0,0,0,0.0,0,11,11,0,0,57.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Leki Fotu,44614,DI,ARZ,9,0,0,1,50.0,1,2,113,98.4,3.5,4,2,1.3,0,123,121,3,0,52.4,1,1,43,100.0,4.7,2,2.3,0,46,46,2
Terrell Burgess,45255,S,LA,3,0,0,26,60.0,0,0,1,2.3,0.0,0,0,0.0,0,43,1,0,0,,0,0,0,0.0,,0,,0,15,0,0
